51 0 AP890908-0222    1 17.06233 BM25_short 
51 0 AP890410-0255   42 8.83968 BM25_short 
51 0 AP890412-0286   43 8.83968 BM25_short 
51 0 AP890427-0306   44 8.83968 BM25_short 
51 0 AP890606-0198   45 8.83968 BM25_short 
51 0 AP890708-0097   46 8.83968 BM25_short 
51 0 AP890906-0284   47 8.83968 BM25_short 
51 0 AP890721-0245   48 8.82309 BM25_short 
51 0 AP890506-0013   49 8.76759 BM25_short 
51 0 AP890901-0154   50 8.73777 BM25_short 
51 0 AP890207-0230   51 8.71424 BM25_short 
51 0 AP890601-0339   52 8.70632 BM25_short 
51 0 AP890920-0246   53 8.70632 BM25_short 
51 0 AP891211-0325   54 8.70632 BM25_short 
51 0 AP890108-0032   55 8.61643 BM25_short 
51 0 AP890310-0316   56 8.61643 BM25_short 
51 0 AP890729-0071   57 8.61643 BM25_short 
51 0 AP891219-0249   58 8.57173 BM25_short 
51 0 AP890410-0121   59 8.41612 BM25_short 
51 0 AP891011-0163   60 8.41612 BM25_short 
51 0 AP890816-0187   61 8.32966 BM25_short 
51 0 AP890428-0090   62 8.26510 BM25_short 
51 0 AP890707-0209   63 8.26510 BM25_short 
51 0 AP890222-0111   64 8.24454 BM25_short 
51 0 AP890418-0079   65 8.24454 BM25_short 
51 0 AP890618-0075   66 8.24454 BM25_short 
51 0 AP890622-0084   67 8.24454 BM25_short 
51 0 AP890821-0246   68 8.24454 BM25_short 
51 0 AP890928-0294   69 8.24454 BM25_short 
51 0 AP890712-0120   70 8.23222 BM25_short 
51 0 AP890519-0076   71 8.23199 BM25_short 
51 0 AP890702-0030   72 8.23199 BM25_short 
51 0 AP890914-0250   73 8.23199 BM25_short 
51 0 AP890523-0235   74 8.22044 BM25_short 
51 0 AP891221-0216   75 8.22044 BM25_short 
51 0 AP890503-0044   76 8.16308 BM25_short 
51 0 AP890607-0014   77 8.16308 BM25_short 
51 0 AP891130-0010   78 8.16308 BM25_short 
51 0 AP891208-0192   79 8.16308 BM25_short 
51 0 AP890411-0010   80 7.89146 BM25_short 
51 0 AP890612-0011   81 7.89146 BM25_short 
51 0 AP890628-0005   82 7.89146 BM25_short 
51 0 AP891002-0199   83 7.89146 BM25_short 
51 0 AP890108-0068   84 7.87041 BM25_short 
51 0 AP890314-0278   85 7.87041 BM25_short 
51 0 AP890407-0285   86 7.87041 BM25_short 
51 0 AP890515-0080   87 7.87041 BM25_short 
51 0 AP891018-0174   88 7.87041 BM25_short 
51 0 AP891103-0204   89 7.87041 BM25_short 
51 0 AP891207-0121   90 7.87041 BM25_short 
51 0 AP890412-0226   91 7.83336 BM25_short 
51 0 AP890801-0228   92 7.83336 BM25_short 
51 0 AP890908-0034   93 7.83336 BM25_short 
51 0 AP891007-0018   94 7.83336 BM25_short 
51 0 AP891019-0216   95 7.83336 BM25_short 
51 0 AP891003-0103   96 7.81865 BM25_short 
51 0 AP890418-0312   97 7.77172 BM25_short 
51 0 AP891101-0286   98 7.77172 BM25_short 
51 0 AP890121-0095   99 7.69485 BM25_short 
51 0 AP890315-0137  100 7.69485 BM25_short 
51 0 AP890322-0207  101 7.69485 BM25_short 
51 0 AP890502-0093  102 7.69485 BM25_short 
51 0 AP890813-0052  103 7.69485 BM25_short 
51 0 AP890929-0032  104 7.69485 BM25_short 
51 0 AP890929-0165  105 7.69485 BM25_short 
51 0 AP891017-0271  106 7.69485 BM25_short 
51 0 AP891220-0125  107 7.69485 BM25_short 
51 0 AP890918-0116  108 7.59192 BM25_short 
51 0 AP891024-0145  109 7.59192 BM25_short 
51 0 AP891128-0218  110 7.59192 BM25_short 
51 0 AP891129-0025  111 7.59192 BM25_short 
51 0 AP891218-0055  112 7.59192 BM25_short 
51 0 AP890117-0018  113 7.57794 BM25_short 
51 0 AP890125-0094  114 7.57794 BM25_short 
51 0 AP890206-0170  115 7.57794 BM25_short 
51 0 AP890223-0299  116 7.57794 BM25_short 
51 0 AP890310-0265  117 7.57794 BM25_short 
51 0 AP890327-0161  118 7.57794 BM25_short 
51 0 AP890418-0241  119 7.57794 BM25_short 
51 0 AP890701-0050  120 7.57794 BM25_short 
51 0 AP890723-0009  121 7.57794 BM25_short 
51 0 AP890911-0278  122 7.57794 BM25_short 
51 0 AP891120-0065  123 7.57794 BM25_short 
51 0 AP890523-0040  124 7.47102 BM25_short 
51 0 AP891020-0203  125 7.47102 BM25_short 
51 0 AP890105-0233  126 7.44358 BM25_short 
51 0 AP890110-0304  127 7.44358 BM25_short 
51 0 AP890413-0262  128 7.44358 BM25_short 
51 0 AP890418-0290  129 7.44358 BM25_short 
51 0 AP890703-0072  130 7.44358 BM25_short 
51 0 AP890703-0134  131 7.44358 BM25_short 
51 0 AP890823-0099  132 7.44358 BM25_short 
51 0 AP890110-0016  133 7.38587 BM25_short 
51 0 AP890115-0012  134 7.38587 BM25_short 
51 0 AP890330-0021  135 7.38587 BM25_short 
51 0 AP890427-0221  136 7.38587 BM25_short 
51 0 AP890506-0006  137 7.38587 BM25_short 
51 0 AP890606-0044  138 7.38587 BM25_short 
51 0 AP890907-0159  139 7.38587 BM25_short 
51 0 AP891002-0261  140 7.38587 BM25_short 
51 0 AP891006-0104  141 7.38587 BM25_short 
51 0 AP891018-0037  142 7.38587 BM25_short 
51 0 AP891110-0023  143 7.38587 BM25_short 
51 0 AP890119-0027  144 7.29020 BM25_short 
51 0 AP890317-0131  145 7.29020 BM25_short 
51 0 AP890419-0189  146 7.29020 BM25_short 
51 0 AP890914-0069  147 7.29020 BM25_short 
51 0 AP891030-0178  148 7.29020 BM25_short 
51 0 AP891219-0192  149 7.29020 BM25_short 
51 0 AP890811-0028  150 7.20884 BM25_short 
51 0 AP891027-0233  151 7.20884 BM25_short 
51 0 AP890516-0165  152 6.97300 BM25_short 
51 0 AP890103-0010  153 6.82244 BM25_short 
51 0 AP890104-0279  154 6.82244 BM25_short 
51 0 AP890110-0165  155 6.82244 BM25_short 
51 0 AP890122-0100  156 6.82244 BM25_short 
51 0 AP890204-0175  157 6.82244 BM25_short 
51 0 AP890223-0164  158 6.82244 BM25_short 
51 0 AP890223-0281  159 6.82244 BM25_short 
51 0 AP890227-0132  160 6.82244 BM25_short 
51 0 AP890301-0211  161 6.82244 BM25_short 
51 0 AP890302-0175  162 6.82244 BM25_short 
51 0 AP890313-0233  163 6.82244 BM25_short 
51 0 AP890405-0282  164 6.82244 BM25_short 
51 0 AP890408-0097  165 6.82244 BM25_short 
51 0 AP890504-0182  166 6.82244 BM25_short 
51 0 AP890607-0108  167 6.82244 BM25_short 
51 0 AP890627-0148  168 6.82244 BM25_short 
51 0 AP890812-0133  169 6.82244 BM25_short 
51 0 AP891026-0232  170 6.82244 BM25_short 
51 0 AP891117-0018  171 6.82244 BM25_short 
51 0 AP891215-0125  172 6.82244 BM25_short 
51 0 AP891219-0108  173 6.82244 BM25_short 
51 0 AP890130-0021  174 6.74379 BM25_short 
51 0 AP890329-0113  175 6.74379 BM25_short 
51 0 AP890404-0239  176 6.74379 BM25_short 
51 0 AP890428-0054  177 6.74379 BM25_short 
51 0 AP890428-0191  178 6.74379 BM25_short 
51 0 AP890608-0149  179 6.74379 BM25_short 
51 0 AP890614-0249  180 6.74379 BM25_short 
51 0 AP890619-0259  181 6.74379 BM25_short 
51 0 AP890624-0007  182 6.74379 BM25_short 
51 0 AP890627-0100  183 6.74379 BM25_short 
51 0 AP890717-0014  184 6.74379 BM25_short 
51 0 AP890907-0273  185 6.74379 BM25_short 
51 0 AP890914-0041  186 6.74379 BM25_short 
51 0 AP890920-0049  187 6.74379 BM25_short 
51 0 AP890928-0135  188 6.74379 BM25_short 
51 0 AP890929-0181  189 6.74379 BM25_short 
51 0 AP891013-0069  190 6.74379 BM25_short 
51 0 AP891129-0178  191 6.74379 BM25_short 
51 0 AP891217-0040  192 6.74379 BM25_short 
51 0 AP890112-0007  193 6.70161 BM25_short 
51 0 AP890210-0048  194 6.70161 BM25_short 
51 0 AP890301-0257  195 6.70161 BM25_short 
51 0 AP890413-0014  196 6.70161 BM25_short 
51 0 AP890503-0254  197 6.70161 BM25_short 
51 0 AP890724-0067  198 6.70161 BM25_short 
51 0 AP890726-0019  199 6.70161 BM25_short 
51 0 AP890802-0237  200 6.70161 BM25_short 
51 0 AP891002-0120  201 6.70161 BM25_short 
51 0 AP891111-0084  202 6.70161 BM25_short 
51 0 AP890128-0159  203 6.59615 BM25_short 
51 0 AP890206-0237  204 6.59615 BM25_short 
51 0 AP890207-0277  205 6.59615 BM25_short 
51 0 AP890208-0268  206 6.59615 BM25_short 
51 0 AP890209-0229  207 6.59615 BM25_short 
51 0 AP890223-0276  208 6.59615 BM25_short 
51 0 AP890224-0066  209 6.59615 BM25_short 
51 0 AP890306-0244  210 6.59615 BM25_short 
51 0 AP890323-0197  211 6.59615 BM25_short 
51 0 AP890406-0263  212 6.59615 BM25_short 
51 0 AP890428-0002  213 6.59615 BM25_short 
51 0 AP890504-0256  214 6.59615 BM25_short 
51 0 AP890516-0077  215 6.59615 BM25_short 
51 0 AP890609-0270  216 6.59615 BM25_short 
51 0 AP890613-0247  217 6.59615 BM25_short 
51 0 AP890614-0287  218 6.59615 BM25_short 
51 0 AP890707-0114  219 6.59615 BM25_short 
51 0 AP890714-0212  220 6.59615 BM25_short 
51 0 AP890723-0061  221 6.59615 BM25_short 
51 0 AP890724-0045  222 6.59615 BM25_short 
51 0 AP890906-0311  223 6.59615 BM25_short 
51 0 AP891209-0045  224 6.59615 BM25_short 
51 0 AP890217-0158  225 6.42331 BM25_short 
51 0 AP890419-0227  226 6.42331 BM25_short 
51 0 AP890517-0089  227 6.42331 BM25_short 
51 0 AP890929-0096  228 6.42331 BM25_short 
51 0 AP891006-0222  229 6.42331 BM25_short 
51 0 AP890108-0094  230 6.36311 BM25_short 
51 0 AP890109-0144  231 6.36311 BM25_short 
51 0 AP890210-0202  232 6.36311 BM25_short 
51 0 AP890522-0084  233 6.36311 BM25_short 
51 0 AP890605-0084  234 6.36311 BM25_short 
51 0 AP891003-0060  235 6.36311 BM25_short 
51 0 AP891030-0194  236 6.36311 BM25_short 
51 0 AP890110-0048  237 6.35343 BM25_short 
51 0 AP890125-0184  238 6.35343 BM25_short 
51 0 AP890125-0185  239 6.35343 BM25_short 
51 0 AP890131-0123  240 6.35343 BM25_short 
51 0 AP890217-0022  241 6.35343 BM25_short 
51 0 AP890425-0029  242 6.35343 BM25_short 
51 0 AP890502-0207  243 6.35343 BM25_short 
51 0 AP890509-0155  244 6.35343 BM25_short 
51 0 AP890512-0039  245 6.35343 BM25_short 
51 0 AP890518-0116  246 6.35343 BM25_short 
51 0 AP890525-0163  247 6.35343 BM25_short 
51 0 AP890619-0026  248 6.35343 BM25_short 
51 0 AP890624-0023  249 6.35343 BM25_short 
51 0 AP890726-0269  250 6.35343 BM25_short 
51 0 AP890727-0192  251 6.35343 BM25_short 
51 0 AP890802-0097  252 6.35343 BM25_short 
51 0 AP890805-0010  253 6.35343 BM25_short 
51 0 AP890927-0152  254 6.35343 BM25_short 
51 0 AP891004-0135  255 6.35343 BM25_short 
51 0 AP891024-0197  256 6.35343 BM25_short 
51 0 AP891122-0035  257 6.35343 BM25_short 
51 0 AP891122-0148  258 6.35343 BM25_short 
51 0 AP891219-0166  259 6.35343 BM25_short 
51 0 AP890521-0093  260 6.28623 BM25_short 
51 0 AP890323-0016  261 5.99819 BM25_short 
51 0 AP890428-0224  262 5.99819 BM25_short 
51 0 AP890526-0152  263 5.99819 BM25_short 
51 0 AP890623-0029  264 5.99819 BM25_short 
51 0 AP890628-0021  265 5.99819 BM25_short 
51 0 AP890808-0010  266 5.99819 BM25_short 
51 0 AP890919-0084  267 5.99819 BM25_short 
51 0 AP890920-0009  268 5.99819 BM25_short 
51 0 AP891004-0231  269 5.99819 BM25_short 
51 0 AP891018-0047  270 5.99819 BM25_short 
51 0 AP891112-0040  271 5.99819 BM25_short 
51 0 AP891129-0157  272 5.99819 BM25_short 
51 0 AP891206-0009  273 5.99819 BM25_short 
51 0 AP891208-0020  274 5.99819 BM25_short 
51 0 AP891221-0118  275 5.99819 BM25_short 
51 0 AP891221-0129  276 5.99819 BM25_short 
51 0 AP890131-0301  277 5.94157 BM25_short 
51 0 AP890227-0288  278 5.94157 BM25_short 
51 0 AP890228-0177  279 5.94157 BM25_short 
51 0 AP890301-0076  280 5.94157 BM25_short 
51 0 AP890306-0264  281 5.94157 BM25_short 
51 0 AP890406-0027  282 5.94157 BM25_short 
51 0 AP890426-0268  283 5.94157 BM25_short 
51 0 AP890509-0269  284 5.94157 BM25_short 
51 0 AP890511-0035  285 5.94157 BM25_short 
51 0 AP890608-0032  286 5.94157 BM25_short 
51 0 AP890619-0204  287 5.94157 BM25_short 
51 0 AP890719-0300  288 5.94157 BM25_short 
51 0 AP890816-0246  289 5.94157 BM25_short 
51 0 AP891002-0334  290 5.94157 BM25_short 
51 0 AP891017-0091  291 5.94157 BM25_short 
51 0 AP891103-0231  292 5.94157 BM25_short 
51 0 AP891128-0199  293 5.94157 BM25_short 
51 0 AP890117-0087  294 5.84863 BM25_short 
51 0 AP890131-0178  295 5.84863 BM25_short 
51 0 AP890207-0133  296 5.84863 BM25_short 
51 0 AP890307-0140  297 5.84863 BM25_short 
51 0 AP890329-0255  298 5.84863 BM25_short 
51 0 AP890427-0275  299 5.84863 BM25_short 
51 0 AP890601-0260  300 5.84863 BM25_short 
51 0 AP890626-0112  301 5.84863 BM25_short 
51 0 AP890704-0174  302 5.84863 BM25_short 
51 0 AP890724-0005  303 5.84863 BM25_short 
51 0 AP890901-0071  304 5.84863 BM25_short 
51 0 AP890906-0116  305 5.84863 BM25_short 
51 0 AP891005-0128  306 5.84863 BM25_short 
51 0 AP891009-0123  307 5.84863 BM25_short 
51 0 AP891109-0201  308 5.84863 BM25_short 
51 0 AP891208-0263  309 5.84863 BM25_short 
51 0 AP890109-0007  310 5.74493 BM25_short 
51 0 AP890109-0098  311 5.74493 BM25_short 
51 0 AP890109-0187  312 5.74493 BM25_short 
51 0 AP890110-0033  313 5.74493 BM25_short 
51 0 AP890114-0004  314 5.74493 BM25_short 
51 0 AP890126-0243  315 5.74493 BM25_short 
51 0 AP890411-0011  316 5.74493 BM25_short 
51 0 AP890420-0016  317 5.74493 BM25_short 
51 0 AP890427-0195  318 5.74493 BM25_short 
51 0 AP890525-0093  319 5.74493 BM25_short 
51 0 AP890526-0012  320 5.74493 BM25_short 
51 0 AP890605-0085  321 5.74493 BM25_short 
51 0 AP890615-0177  322 5.74493 BM25_short 
51 0 AP890622-0003  323 5.74493 BM25_short 
51 0 AP890628-0169  324 5.74493 BM25_short 
51 0 AP890712-0032  325 5.74493 BM25_short 
51 0 AP890715-0053  326 5.74493 BM25_short 
51 0 AP890725-0269  327 5.74493 BM25_short 
51 0 AP890726-0130  328 5.74493 BM25_short 
51 0 AP890807-0163  329 5.74493 BM25_short 
51 0 AP890905-0132  330 5.74493 BM25_short 
51 0 AP890913-0036  331 5.74493 BM25_short 
51 0 AP890921-0158  332 5.74493 BM25_short 
51 0 AP890927-0025  333 5.74493 BM25_short 
51 0 AP890930-0029  334 5.74493 BM25_short 
51 0 AP891010-0009  335 5.74493 BM25_short 
51 0 AP891014-0013  336 5.74493 BM25_short 
51 0 AP891102-0199  337 5.74493 BM25_short 
51 0 AP891110-0213  338 5.74493 BM25_short 
51 0 AP891129-0234  339 5.74493 BM25_short 
51 0 AP891204-0277  340 5.74493 BM25_short 
51 0 AP891207-0179  341 5.74493 BM25_short 
51 0 AP891212-0198  342 5.74493 BM25_short 
51 0 AP890314-0027  343 5.72518 BM25_short 
51 0 AP890628-0214  344 5.72518 BM25_short 
51 0 AP890526-0222  345 5.61970 BM25_short 
51 0 AP890103-0117  346 5.15360 BM25_short 
51 0 AP890112-0126  347 5.15360 BM25_short 
51 0 AP890112-0243  348 5.15360 BM25_short 
51 0 AP890117-0252  349 5.15360 BM25_short 
51 0 AP890207-0240  350 5.15360 BM25_short 
51 0 AP890207-0251  351 5.15360 BM25_short 
51 0 AP890208-0146  352 5.15360 BM25_short 
51 0 AP890211-0169  353 5.15360 BM25_short 
51 0 AP890306-0253  354 5.15360 BM25_short 
51 0 AP890411-0191  355 5.15360 BM25_short 
51 0 AP890427-0258  356 5.15360 BM25_short 
51 0 AP890518-0101  357 5.15360 BM25_short 
51 0 AP890519-0140  358 5.15360 BM25_short 
51 0 AP890607-0086  359 5.15360 BM25_short 
51 0 AP890623-0269  360 5.15360 BM25_short 
51 0 AP890720-0240  361 5.15360 BM25_short 
51 0 AP890803-0196  362 5.15360 BM25_short 
51 0 AP890804-0141  363 5.15360 BM25_short 
51 0 AP890816-0029  364 5.15360 BM25_short 
51 0 AP890816-0147  365 5.15360 BM25_short 
51 0 AP891002-0137  366 5.15360 BM25_short 
51 0 AP891002-0339  367 5.15360 BM25_short 
51 0 AP891013-0165  368 5.15360 BM25_short 
51 0 AP891101-0042  369 5.15360 BM25_short 
51 0 AP891116-0258  370 5.15360 BM25_short 
51 0 AP891121-0110  371 5.15360 BM25_short 
51 0 AP891129-0271  372 5.15360 BM25_short 
51 0 AP891219-0213  373 5.15360 BM25_short 
51 0 AP891222-0290  374 5.15360 BM25_short 
51 0 AP890102-0116  375 5.09089 BM25_short 
51 0 AP890108-0009  376 5.09089 BM25_short 
51 0 AP890109-0100  377 5.09089 BM25_short 
51 0 AP890110-0178  378 5.09089 BM25_short 
51 0 AP890110-0197  379 5.09089 BM25_short 
51 0 AP890111-0166  380 5.09089 BM25_short 
51 0 AP890118-0078  381 5.09089 BM25_short 
51 0 AP890127-0163  382 5.09089 BM25_short 
51 0 AP890130-0234  383 5.09089 BM25_short 
51 0 AP890209-0158  384 5.09089 BM25_short 
51 0 AP890215-0002  385 5.09089 BM25_short 
51 0 AP890224-0128  386 5.09089 BM25_short 
51 0 AP890228-0134  387 5.09089 BM25_short 
51 0 AP890320-0144  388 5.09089 BM25_short 
51 0 AP890322-0212  389 5.09089 BM25_short 
51 0 AP890327-0138  390 5.09089 BM25_short 
51 0 AP890403-0048  391 5.09089 BM25_short 
51 0 AP890404-0155  392 5.09089 BM25_short 
51 0 AP890407-0231  393 5.09089 BM25_short 
51 0 AP890416-0036  394 5.09089 BM25_short 
51 0 AP890503-0307  395 5.09089 BM25_short 
51 0 AP890510-0266  396 5.09089 BM25_short 
51 0 AP890515-0141  397 5.09089 BM25_short 
51 0 AP890614-0129  398 5.09089 BM25_short 
51 0 AP890614-0132  399 5.09089 BM25_short 
51 0 AP890623-0158  400 5.09089 BM25_short 
51 0 AP890628-0040  401 5.09089 BM25_short 
51 0 AP890630-0178  402 5.09089 BM25_short 
51 0 AP890703-0007  403 5.09089 BM25_short 
51 0 AP890711-0050  404 5.09089 BM25_short 
51 0 AP890711-0112  405 5.09089 BM25_short 
51 0 AP890711-0135  406 5.09089 BM25_short 
51 0 AP890719-0241  407 5.09089 BM25_short 
51 0 AP890720-0027  408 5.09089 BM25_short 
51 0 AP890803-0159  409 5.09089 BM25_short 
51 0 AP890804-0075  410 5.09089 BM25_short 
51 0 AP890808-0172  411 5.09089 BM25_short 
51 0 AP890809-0195  412 5.09089 BM25_short 
51 0 AP890811-0144  413 5.09089 BM25_short 
51 0 AP890823-0173  414 5.09089 BM25_short 
51 0 AP890829-0186  415 5.09089 BM25_short 
51 0 AP890901-0221  416 5.09089 BM25_short 
51 0 AP890922-0024  417 5.09089 BM25_short 
51 0 AP890923-0004  418 5.09089 BM25_short 
51 0 AP890927-0158  419 5.09089 BM25_short 
51 0 AP890928-0186  420 5.09089 BM25_short 
51 0 AP890928-0202  421 5.09089 BM25_short 
51 0 AP891003-0186  422 5.09089 BM25_short 
51 0 AP891012-0047  423 5.09089 BM25_short 
51 0 AP891012-0312  424 5.09089 BM25_short 
51 0 AP891013-0068  425 5.09089 BM25_short 
51 0 AP891023-0137  426 5.09089 BM25_short 
51 0 AP891025-0252  427 5.09089 BM25_short 
51 0 AP891101-0033  428 5.09089 BM25_short 
51 0 AP891102-0020  429 5.09089 BM25_short 
51 0 AP891110-0064  430 5.09089 BM25_short 
51 0 AP891111-0009  431 5.09089 BM25_short 
51 0 AP891111-0010  432 5.09089 BM25_short 
51 0 AP891113-0165  433 5.09089 BM25_short 
51 0 AP891115-0136  434 5.09089 BM25_short 
51 0 AP891122-0216  435 5.09089 BM25_short 
51 0 AP891206-0199  436 5.09089 BM25_short 
51 0 AP891207-0233  437 5.09089 BM25_short 
51 0 AP891211-0178  438 5.09089 BM25_short 
51 0 AP891211-0314  439 5.09089 BM25_short 
51 0 AP891220-0110  440 5.09089 BM25_short 
51 0 AP890109-0198  441 4.98382 BM25_short 
51 0 AP890713-0026  442 4.98382 BM25_short 
51 0 AP891005-0185  443 4.98382 BM25_short 
51 0 AP890108-0096  444 4.95749 BM25_short 
51 0 AP890111-0138  445 4.95749 BM25_short 
51 0 AP890127-0165  446 4.95749 BM25_short 
51 0 AP890131-0097  447 4.95749 BM25_short 
51 0 AP890202-0195  448 4.95749 BM25_short 
51 0 AP890221-0003  449 4.95749 BM25_short 
51 0 AP890303-0040  450 4.95749 BM25_short 
51 0 AP890304-0074  451 4.95749 BM25_short 
51 0 AP890322-0114  452 4.95749 BM25_short 
51 0 AP890410-0049  453 4.95749 BM25_short 
51 0 AP890418-0315  454 4.95749 BM25_short 
51 0 AP890419-0026  455 4.95749 BM25_short 
51 0 AP890426-0083  456 4.95749 BM25_short 
51 0 AP890427-0259  457 4.95749 BM25_short 
51 0 AP890512-0222  458 4.95749 BM25_short 
51 0 AP890606-0169  459 4.95749 BM25_short 
51 0 AP890612-0008  460 4.95749 BM25_short 
51 0 AP890615-0232  461 4.95749 BM25_short 
51 0 AP890621-0107  462 4.95749 BM25_short 
51 0 AP890623-0279  463 4.95749 BM25_short 
51 0 AP890624-0045  464 4.95749 BM25_short 
51 0 AP890628-0187  465 4.95749 BM25_short 
51 0 AP890704-0088  466 4.95749 BM25_short 
51 0 AP890710-0252  467 4.95749 BM25_short 
51 0 AP890711-0155  468 4.95749 BM25_short 
51 0 AP890713-0014  469 4.95749 BM25_short 
51 0 AP890725-0183  470 4.95749 BM25_short 
51 0 AP890801-0149  471 4.95749 BM25_short 
51 0 AP890802-0203  472 4.95749 BM25_short 
51 0 AP890819-0020  473 4.95749 BM25_short 
51 0 AP890901-0172  474 4.95749 BM25_short 
51 0 AP890905-0017  475 4.95749 BM25_short 
51 0 AP890917-0002  476 4.95749 BM25_short 
51 0 AP891004-0025  477 4.95749 BM25_short 
51 0 AP891006-0017  478 4.95749 BM25_short 
51 0 AP891110-0196  479 4.95749 BM25_short 
51 0 AP891116-0209  480 4.95749 BM25_short 
51 0 AP891124-0188  481 4.95749 BM25_short 
51 0 AP891129-0240  482 4.95749 BM25_short 
51 0 AP891212-0080  483 4.95749 BM25_short 
51 0 AP891214-0023  484 4.95749 BM25_short 
51 0 AP891218-0128  485 4.95749 BM25_short 
51 0 AP890104-0147  486 4.58569 BM25_short 
51 0 AP890105-0168  487 4.58569 BM25_short 
51 0 AP890109-0074  488 4.58569 BM25_short 
51 0 AP890109-0084  489 4.58569 BM25_short 
51 0 AP890109-0191  490 4.58569 BM25_short 
51 0 AP890111-0015  491 4.58569 BM25_short 
51 0 AP890117-0157  492 4.58569 BM25_short 
51 0 AP890118-0248  493 4.58569 BM25_short 
51 0 AP890119-0006  494 4.58569 BM25_short 
51 0 AP890119-0193  495 4.58569 BM25_short 
51 0 AP890124-0161  496 4.58569 BM25_short 
51 0 AP890127-0162  497 4.58569 BM25_short 
51 0 AP890129-0060  498 4.58569 BM25_short 
51 0 AP890130-0133  499 4.58569 BM25_short 
51 0 AP890130-0207  500 4.58569 BM25_short 
51 0 AP890131-0281  501 4.58569 BM25_short 
51 0 AP890202-0156  502 4.58569 BM25_short 
51 0 AP890210-0075  503 4.58569 BM25_short 
51 0 AP890212-0094  504 4.58569 BM25_short 
51 0 AP890216-0029  505 4.58569 BM25_short 
51 0 AP890216-0120  506 4.58569 BM25_short 
51 0 AP890301-0039  507 4.58569 BM25_short 
51 0 AP890301-0217  508 4.58569 BM25_short 
51 0 AP890301-0230  509 4.58569 BM25_short 
51 0 AP890302-0032  510 4.58569 BM25_short 
51 0 AP890308-0145  511 4.58569 BM25_short 
51 0 AP890308-0151  512 4.58569 BM25_short 
51 0 AP890313-0008  513 4.58569 BM25_short 
51 0 AP890316-0176  514 4.58569 BM25_short 
51 0 AP890406-0151  515 4.58569 BM25_short 
51 0 AP890407-0263  516 4.58569 BM25_short 
51 0 AP890420-0110  517 4.58569 BM25_short 
51 0 AP890425-0230  518 4.58569 BM25_short 
51 0 AP890510-0161  519 4.58569 BM25_short 
51 0 AP890518-0201  520 4.58569 BM25_short 
51 0 AP890518-0243  521 4.58569 BM25_short 
51 0 AP890525-0161  522 4.58569 BM25_short 
51 0 AP890605-0001  523 4.58569 BM25_short 
51 0 AP890616-0219  524 4.58569 BM25_short 
51 0 AP890619-0134  525 4.58569 BM25_short 
51 0 AP890621-0156  526 4.58569 BM25_short 
51 0 AP890622-0111  527 4.58569 BM25_short 
51 0 AP890629-0046  528 4.58569 BM25_short 
51 0 AP890629-0254  529 4.58569 BM25_short 
51 0 AP890718-0185  530 4.58569 BM25_short 
51 0 AP890724-0059  531 4.58569 BM25_short 
51 0 AP890724-0142  532 4.58569 BM25_short 
51 0 AP890724-0159  533 4.58569 BM25_short 
51 0 AP890727-0268  534 4.58569 BM25_short 
51 0 AP890803-0210  535 4.58569 BM25_short 
51 0 AP890805-0028  536 4.58569 BM25_short 
51 0 AP890814-0108  537 4.58569 BM25_short 
