51 0 AP890518-0275    1 0.54291 VSM_long 
51 0 AP890212-0094  124 0.13003 VSM_long 
51 0 AP890407-0163  125 0.12887 VSM_long 
51 0 AP890707-0114  126 0.12840 VSM_long 
51 0 AP890211-0169  127 0.12774 VSM_long 
51 0 AP890703-0072  128 0.12734 VSM_long 
51 0 AP890507-0009  129 0.12727 VSM_long 
51 0 AP890817-0220  130 0.12591 VSM_long 
51 0 AP890428-0198  131 0.12532 VSM_long 
51 0 AP891128-0199  132 0.12491 VSM_long 
51 0 AP890408-0097  133 0.12451 VSM_long 
51 0 AP890617-0120  134 0.12431 VSM_long 
51 0 AP891102-0199  135 0.12346 VSM_long 
51 0 AP890821-0016  136 0.12336 VSM_long 
51 0 AP891215-0260  137 0.12288 VSM_long 
51 0 AP890406-0194  138 0.12250 VSM_long 
51 0 AP890219-0106  139 0.12245 VSM_long 
51 0 AP890117-0018  140 0.12242 VSM_long 
51 0 AP890519-0268  141 0.12222 VSM_long 
51 0 AP890501-0072  142 0.12112 VSM_long 
51 0 AP890519-0245  143 0.12087 VSM_long 
51 0 AP890721-0245  144 0.12021 VSM_long 
51 0 AP890428-0191  145 0.11967 VSM_long 
51 0 AP891207-0246  146 0.11963 VSM_long 
51 0 AP890429-0131  147 0.11937 VSM_long 
51 0 AP890521-0093  148 0.11916 VSM_long 
51 0 AP890816-0029  149 0.11855 VSM_long 
51 0 AP890328-0148  150 0.11802 VSM_long 
51 0 AP890925-0086  151 0.11747 VSM_long 
51 0 AP891214-0052  152 0.11743 VSM_long 
51 0 AP890112-0197  153 0.11701 VSM_long 
51 0 AP890601-0339  154 0.11533 VSM_long 
51 0 AP890726-0303  155 0.11510 VSM_long 
51 0 AP890201-0003  156 0.11431 VSM_long 
51 0 AP891026-0232  157 0.11426 VSM_long 
51 0 AP890208-0259  158 0.11409 VSM_long 
51 0 AP890206-0170  159 0.11404 VSM_long 
51 0 AP890928-0100  160 0.11292 VSM_long 
51 0 AP890330-0095  161 0.11276 VSM_long 
51 0 AP891120-0014  162 0.11275 VSM_long 
51 0 AP890908-0122  163 0.11152 VSM_long 
51 0 AP890329-0011  164 0.11129 VSM_long 
51 0 AP890323-0256  165 0.11128 VSM_long 
51 0 AP890406-0027  166 0.11118 VSM_long 
51 0 AP890621-0238  167 0.11098 VSM_long 
51 0 AP890306-0253  168 0.10941 VSM_long 
51 0 AP891214-0236  169 0.10822 VSM_long 
51 0 AP890228-0028  170 0.10740 VSM_long 
51 0 AP890408-0099  171 0.10737 VSM_long 
51 0 AP890519-0140  172 0.10697 VSM_long 
51 0 AP890628-0005  173 0.10665 VSM_long 
51 0 AP890714-0215  174 0.10665 VSM_long 
51 0 AP890323-0016  175 0.10630 VSM_long 
51 0 AP890221-0070  176 0.10627 VSM_long 
51 0 AP890617-0031  177 0.10549 VSM_long 
51 0 AP890418-0079  178 0.10516 VSM_long 
51 0 AP890130-0021  179 0.10511 VSM_long 
51 0 AP890614-0287  180 0.10476 VSM_long 
51 0 AP890120-0278  181 0.10436 VSM_long 
51 0 AP890130-0207  182 0.10406 VSM_long 
51 0 AP891020-0203  183 0.10351 VSM_long 
51 0 AP891116-0209  184 0.10329 VSM_long 
51 0 AP890109-0007  185 0.10302 VSM_long 
51 0 AP890428-0090  186 0.10296 VSM_long 
51 0 AP890124-0120  187 0.10244 VSM_long 
51 0 AP890123-0201  188 0.10237 VSM_long 
51 0 AP890726-0019  189 0.10147 VSM_long 
51 0 AP890330-0161  190 0.10126 VSM_long 
51 0 AP890502-0093  191 0.10110 VSM_long 
51 0 AP890523-0018  192 0.10105 VSM_long 
51 0 AP890301-0257  193 0.10029 VSM_long 
51 0 AP891002-0339  194 0.10008 VSM_long 
51 0 AP890214-0115  195 0.09998 VSM_long 
51 0 AP890929-0096  196 0.09918 VSM_long 
51 0 AP890427-0306  197 0.09915 VSM_long 
51 0 AP891129-0271  198 0.09840 VSM_long 
51 0 AP890211-0129  199 0.09781 VSM_long 
51 0 AP890124-0034  200 0.09765 VSM_long 
51 0 AP890527-0109  201 0.09757 VSM_long 
51 0 AP890404-0247  202 0.09753 VSM_long 
51 0 AP890619-0204  203 0.09738 VSM_long 
51 0 AP890623-0269  204 0.09728 VSM_long 
51 0 AP890726-0139  205 0.09678 VSM_long 
51 0 AP890716-0011  206 0.09625 VSM_long 
51 0 AP890518-0101  207 0.09582 VSM_long 
51 0 AP891219-0166  208 0.09565 VSM_long 
51 0 AP890103-0246  209 0.09564 VSM_long 
51 0 AP890804-0141  210 0.09532 VSM_long 
51 0 AP891011-0233  211 0.09528 VSM_long 
51 0 AP890405-0021  212 0.09501 VSM_long 
51 0 AP890104-0157  213 0.09477 VSM_long 
51 0 AP890410-0121  214 0.09470 VSM_long 
51 0 AP891220-0110  215 0.09468 VSM_long 
51 0 AP890426-0087  216 0.09464 VSM_long 
51 0 AP890208-0310  217 0.09449 VSM_long 
51 0 AP891208-0190  218 0.09445 VSM_long 
51 0 AP890131-0301  219 0.09428 VSM_long 
51 0 AP890413-0014  220 0.09424 VSM_long 
51 0 AP890628-0214  221 0.09400 VSM_long 
51 0 AP890502-0157  222 0.09365 VSM_long 
51 0 AP890204-0035  223 0.09267 VSM_long 
51 0 AP891027-0233  224 0.09197 VSM_long 
51 0 AP890723-0009  225 0.09166 VSM_long 
51 0 AP890131-0265  226 0.09146 VSM_long 
51 0 AP891208-0227  227 0.09144 VSM_long 
51 0 AP890907-0167  228 0.09112 VSM_long 
51 0 AP890718-0229  229 0.09112 VSM_long 
51 0 AP890412-0226  230 0.09077 VSM_long 
51 0 AP890421-0158  231 0.09076 VSM_long 
51 0 AP890315-0136  232 0.09067 VSM_long 
51 0 AP890503-0211  233 0.09065 VSM_long 
51 0 AP891011-0086  234 0.09055 VSM_long 
51 0 AP890228-0083  235 0.09045 VSM_long 
51 0 AP890814-0108  236 0.09009 VSM_long 
51 0 AP890605-0084  237 0.09002 VSM_long 
51 0 AP890626-0112  238 0.08990 VSM_long 
51 0 AP891002-0334  239 0.08986 VSM_long 
51 0 AP891222-0290  240 0.08972 VSM_long 
51 0 AP890217-0133  241 0.08942 VSM_long 
51 0 AP890218-0004  242 0.08906 VSM_long 
51 0 AP891004-0231  243 0.08874 VSM_long 
51 0 AP891110-0099  244 0.08873 VSM_long 
51 0 AP890928-0214  245 0.08848 VSM_long 
51 0 AP890509-0179  246 0.08847 VSM_long 
51 0 AP890407-0012  247 0.08826 VSM_long 
51 0 AP890911-0285  248 0.08823 VSM_long 
51 0 AP890920-0131  249 0.08811 VSM_long 
51 0 AP891108-0149  250 0.08811 VSM_long 
51 0 AP890818-0153  251 0.08786 VSM_long 
51 0 AP890125-0184  252 0.08774 VSM_long 
51 0 AP890808-0010  253 0.08772 VSM_long 
51 0 AP890107-0086  254 0.08771 VSM_long 
51 0 AP890125-0094  255 0.08763 VSM_long 
51 0 AP891120-0065  256 0.08763 VSM_long 
51 0 AP890920-0101  257 0.08756 VSM_long 
51 0 AP890419-0189  258 0.08726 VSM_long 
51 0 AP891007-0006  259 0.08719 VSM_long 
51 0 AP891122-0216  260 0.08708 VSM_long 
51 0 AP891025-0281  261 0.08699 VSM_long 
51 0 AP890201-0131  262 0.08696 VSM_long 
51 0 AP890106-0202  263 0.08692 VSM_long 
51 0 AP890217-0022  264 0.08686 VSM_long 
51 0 AP890719-0295  265 0.08686 VSM_long 
51 0 AP891219-0249  266 0.08685 VSM_long 
51 0 AP890327-0138  267 0.08669 VSM_long 
51 0 AP890420-0016  268 0.08636 VSM_long 
51 0 AP890504-0168  269 0.08631 VSM_long 
51 0 AP890428-0093  270 0.08599 VSM_long 
51 0 AP890920-0049  271 0.08577 VSM_long 
51 0 AP890501-0128  272 0.08564 VSM_long 
51 0 AP891123-0030  273 0.08517 VSM_long 
51 0 AP891215-0258  274 0.08516 VSM_long 
51 0 AP890725-0183  275 0.08488 VSM_long 
51 0 AP890526-0004  276 0.08478 VSM_long 
51 0 AP890128-0078  277 0.08467 VSM_long 
51 0 AP890322-0207  278 0.08455 VSM_long 
51 0 AP890326-0020  279 0.08444 VSM_long 
51 0 AP891129-0122  280 0.08418 VSM_long 
51 0 AP890810-0114  281 0.08386 VSM_long 
51 0 AP890516-0077  282 0.08356 VSM_long 
51 0 AP890911-0252  283 0.08354 VSM_long 
51 0 AP890211-0028  284 0.08337 VSM_long 
51 0 AP890202-0195  285 0.08330 VSM_long 
51 0 AP891102-0031  286 0.08323 VSM_long 
51 0 AP890927-0017  287 0.08309 VSM_long 
51 0 AP890608-0149  288 0.08301 VSM_long 
51 0 AP890314-0027  289 0.08293 VSM_long 
51 0 AP890410-0028  290 0.08274 VSM_long 
51 0 AP890323-0197  291 0.08269 VSM_long 
51 0 AP891206-0012  292 0.08269 VSM_long 
51 0 AP890313-0194  293 0.08268 VSM_long 
51 0 AP890330-0264  294 0.08264 VSM_long 
51 0 AP891115-0297  295 0.08248 VSM_long 
51 0 AP890418-0241  296 0.08238 VSM_long 
51 0 AP890112-0243  297 0.08223 VSM_long 
51 0 AP891202-0124  298 0.08222 VSM_long 
51 0 AP890921-0252  299 0.08202 VSM_long 
51 0 AP891216-0124  300 0.08167 VSM_long 
51 0 AP890506-0013  301 0.08166 VSM_long 
51 0 AP890907-0273  302 0.08159 VSM_long 
51 0 AP890425-0156  303 0.08158 VSM_long 
51 0 AP890226-0061  304 0.08148 VSM_long 
51 0 AP890313-0224  305 0.08140 VSM_long 
51 0 AP890607-0227  306 0.08137 VSM_long 
51 0 AP891024-0145  307 0.08111 VSM_long 
51 0 AP890811-0205  308 0.08110 VSM_long 
51 0 AP890823-0072  309 0.08110 VSM_long 
51 0 AP891129-0017  310 0.08105 VSM_long 
51 0 AP890411-0010  311 0.08084 VSM_long 
51 0 AP890517-0089  312 0.08075 VSM_long 
51 0 AP890111-0078  313 0.08065 VSM_long 
51 0 AP890310-0146  314 0.08050 VSM_long 
51 0 AP890211-0061  315 0.08043 VSM_long 
51 0 AP890324-0249  316 0.08034 VSM_long 
51 0 AP890802-0203  317 0.08014 VSM_long 
51 0 AP890112-0007  318 0.08009 VSM_long 
51 0 AP890714-0233  319 0.07997 VSM_long 
51 0 AP890503-0144  320 0.07968 VSM_long 
51 0 AP891026-0001  321 0.07968 VSM_long 
51 0 AP890502-0083  322 0.07966 VSM_long 
51 0 AP890506-0111  323 0.07957 VSM_long 
51 0 AP890427-0238  324 0.07941 VSM_long 
51 0 AP890607-0014  325 0.07930 VSM_long 
51 0 AP890726-0243  326 0.07915 VSM_long 
51 0 AP890830-0028  327 0.07904 VSM_long 
51 0 AP890710-0155  328 0.07901 VSM_long 
51 0 AP890112-0126  329 0.07897 VSM_long 
51 0 AP890726-0252  330 0.07886 VSM_long 
51 0 AP890630-0056  331 0.07886 VSM_long 
51 0 AP890612-0011  332 0.07869 VSM_long 
51 0 AP890308-0035  333 0.07862 VSM_long 
51 0 AP890111-0217  334 0.07853 VSM_long 
51 0 AP891221-0216  335 0.07842 VSM_long 
51 0 AP891106-0079  336 0.07839 VSM_long 
51 0 AP890326-0054  337 0.07837 VSM_long 
51 0 AP891110-0035  338 0.07834 VSM_long 
51 0 AP891206-0009  339 0.07824 VSM_long 
51 0 AP890511-0154  340 0.07788 VSM_long 
51 0 AP890907-0264  341 0.07772 VSM_long 
51 0 AP890628-0021  342 0.07751 VSM_long 
51 0 AP890214-0001  343 0.07741 VSM_long 
51 0 AP890428-0071  344 0.07737 VSM_long 
51 0 AP890120-0265  345 0.07729 VSM_long 
51 0 AP890227-0122  346 0.07729 VSM_long 
51 0 AP890215-0065  347 0.07728 VSM_long 
51 0 AP890105-0164  348 0.07709 VSM_long 
51 0 AP890727-0199  349 0.07707 VSM_long 
51 0 AP890113-0083  350 0.07705 VSM_long 
51 0 AP890313-0144  351 0.07687 VSM_long 
51 0 AP890503-0165  352 0.07675 VSM_long 
51 0 AP890716-0049  353 0.07672 VSM_long 
51 0 AP890213-0144  354 0.07656 VSM_long 
51 0 AP890512-0156  355 0.07653 VSM_long 
51 0 AP890301-0213  356 0.07643 VSM_long 
51 0 AP890617-0021  357 0.07633 VSM_long 
51 0 AP890617-0025  358 0.07633 VSM_long 
51 0 AP890110-0186  359 0.07619 VSM_long 
51 0 AP890306-0295  360 0.07562 VSM_long 
51 0 AP890320-0168  361 0.07552 VSM_long 
51 0 AP890102-0094  362 0.07550 VSM_long 
51 0 AP891107-0266  363 0.07544 VSM_long 
51 0 AP890407-0039  364 0.07540 VSM_long 
51 0 AP890508-0219  365 0.07528 VSM_long 
51 0 AP890609-0148  366 0.07488 VSM_long 
51 0 AP890305-0051  367 0.07487 VSM_long 
51 0 AP890414-0219  368 0.07477 VSM_long 
51 0 AP890522-0084  369 0.07467 VSM_long 
51 0 AP890306-0081  370 0.07449 VSM_long 
51 0 AP890721-0158  371 0.07448 VSM_long 
51 0 AP890227-0291  372 0.07430 VSM_long 
51 0 AP890227-0313  373 0.07430 VSM_long 
51 0 AP890911-0278  374 0.07423 VSM_long 
51 0 AP890604-0055  375 0.07410 VSM_long 
51 0 AP890201-0038  376 0.07410 VSM_long 
51 0 AP890115-0012  377 0.07394 VSM_long 
51 0 AP890503-0183  378 0.07369 VSM_long 
51 0 AP890110-0012  379 0.07355 VSM_long 
51 0 AP890308-0159  380 0.07323 VSM_long 
51 0 AP890201-0175  381 0.07309 VSM_long 
51 0 AP890505-0170  382 0.07302 VSM_long 
51 0 AP890425-0230  383 0.07285 VSM_long 
51 0 AP890713-0145  384 0.07279 VSM_long 
51 0 AP891204-0198  385 0.07262 VSM_long 
51 0 AP890429-0016  386 0.07258 VSM_long 
51 0 AP890420-0110  387 0.07256 VSM_long 
51 0 AP890914-0017  388 0.07251 VSM_long 
51 0 AP891212-0267  389 0.07243 VSM_long 
51 0 AP890213-0133  390 0.07204 VSM_long 
51 0 AP890315-0161  391 0.07197 VSM_long 
51 0 AP891108-0222  392 0.07192 VSM_long 
51 0 AP890511-0035  393 0.07190 VSM_long 
51 0 AP890105-0068  394 0.07182 VSM_long 
51 0 AP891127-0195  395 0.07175 VSM_long 
51 0 AP890627-0242  396 0.07171 VSM_long 
51 0 AP890103-0024  397 0.07167 VSM_long 
51 0 AP890105-0034  398 0.07165 VSM_long 
51 0 AP890407-0182  399 0.07160 VSM_long 
51 0 AP890929-0044  400 0.07157 VSM_long 
51 0 AP890918-0116  401 0.07153 VSM_long 
51 0 AP890118-0248  402 0.07138 VSM_long 
51 0 AP890119-0006  403 0.07138 VSM_long 
51 0 AP890407-0097  404 0.07137 VSM_long 
51 0 AP890525-0112  405 0.07122 VSM_long 
51 0 AP891220-0027  406 0.07104 VSM_long 
51 0 AP890109-0113  407 0.07092 VSM_long 
51 0 AP890210-0048  408 0.07089 VSM_long 
51 0 AP890113-0185  409 0.07088 VSM_long 
51 0 AP891025-0099  410 0.07082 VSM_long 
51 0 AP890525-0216  411 0.07081 VSM_long 
51 0 AP891025-0294  412 0.07071 VSM_long 
51 0 AP891115-0024  413 0.07058 VSM_long 
51 0 AP890316-0195  414 0.07057 VSM_long 
51 0 AP890224-0197  415 0.07055 VSM_long 
51 0 AP890324-0122  416 0.07039 VSM_long 
51 0 AP890510-0043  417 0.07038 VSM_long 
51 0 AP890128-0144  418 0.07034 VSM_long 
51 0 AP890514-0029  419 0.07026 VSM_long 
51 0 AP891124-0192  420 0.07018 VSM_long 
51 0 AP890406-0263  421 0.07011 VSM_long 
51 0 AP890723-0061  422 0.07011 VSM_long 
51 0 AP890525-0238  423 0.06989 VSM_long 
51 0 AP890720-0048  424 0.06982 VSM_long 
51 0 AP890528-0081  425 0.06976 VSM_long 
51 0 AP891227-0189  426 0.06973 VSM_long 
51 0 AP890601-0126  427 0.06970 VSM_long 
51 0 AP890405-0209  428 0.06967 VSM_long 
51 0 AP891025-0252  429 0.06958 VSM_long 
51 0 AP890525-0288  430 0.06955 VSM_long 
51 0 AP890421-0159  431 0.06950 VSM_long 
51 0 AP890109-0189  432 0.06948 VSM_long 
51 0 AP890105-0005  433 0.06947 VSM_long 
51 0 AP890124-0140  434 0.06942 VSM_long 
51 0 AP890323-0123  435 0.06934 VSM_long 
51 0 AP891123-0082  436 0.06908 VSM_long 
51 0 AP890822-0172  437 0.06905 VSM_long 
51 0 AP890110-0191  438 0.06894 VSM_long 
51 0 AP890427-0241  439 0.06890 VSM_long 
51 0 AP890813-0052  440 0.06889 VSM_long 
51 0 AP890921-0184  441 0.06881 VSM_long 
51 0 AP891207-0179  442 0.06877 VSM_long 
51 0 AP891212-0198  443 0.06877 VSM_long 
51 0 AP891208-0192  444 0.06873 VSM_long 
51 0 AP891013-0069  445 0.06870 VSM_long 
51 0 AP890726-0240  446 0.06866 VSM_long 
51 0 AP890815-0023  447 0.06862 VSM_long 
51 0 AP890427-0275  448 0.06845 VSM_long 
51 0 AP890805-0106  449 0.06820 VSM_long 
51 0 AP890114-0082  450 0.06817 VSM_long 
51 0 AP890118-0041  451 0.06816 VSM_long 
51 0 AP891108-0212  452 0.06805 VSM_long 
51 0 AP890311-0105  453 0.06799 VSM_long 
51 0 AP891201-0004  454 0.06786 VSM_long 
51 0 AP891103-0248  455 0.06780 VSM_long 
51 0 AP890123-0154  456 0.06778 VSM_long 
51 0 AP890501-0269  457 0.06772 VSM_long 
51 0 AP890518-0091  458 0.06766 VSM_long 
51 0 AP890210-0090  459 0.06757 VSM_long 
51 0 AP890106-0049  460 0.06752 VSM_long 
51 0 AP891006-0033  461 0.06744 VSM_long 
51 0 AP891215-0078  462 0.06744 VSM_long 
51 0 AP890328-0227  463 0.06735 VSM_long 
51 0 AP890928-0202  464 0.06734 VSM_long 
51 0 AP891213-0166  465 0.06733 VSM_long 
51 0 AP891031-0177  466 0.06727 VSM_long 
51 0 AP890425-0124  467 0.06727 VSM_long 
51 0 AP890503-0307  468 0.06726 VSM_long 
51 0 AP891127-0103  469 0.06725 VSM_long 
51 0 AP890218-0088  470 0.06723 VSM_long 
51 0 AP890414-0262  471 0.06717 VSM_long 
51 0 AP891009-0074  472 0.06707 VSM_long 
51 0 AP890130-0034  473 0.06706 VSM_long 
51 0 AP890213-0020  474 0.06672 VSM_long 
51 0 AP890107-0057  475 0.06641 VSM_long 
51 0 AP890102-0118  476 0.06640 VSM_long 
51 0 AP890814-0134  477 0.06631 VSM_long 
51 0 AP890110-0033  478 0.06620 VSM_long 
51 0 AP890111-0242  479 0.06616 VSM_long 
51 0 AP890310-0159  480 0.06615 VSM_long 
51 0 AP891208-0255  481 0.06607 VSM_long 
51 0 AP890929-0047  482 0.06605 VSM_long 
51 0 AP890210-0149  483 0.06602 VSM_long 
51 0 AP891214-0015  484 0.06591 VSM_long 
51 0 AP891026-0114  485 0.06591 VSM_long 
51 0 AP890609-0270  486 0.06590 VSM_long 
51 0 AP890613-0247  487 0.06590 VSM_long 
51 0 AP891209-0045  488 0.06590 VSM_long 
51 0 AP890820-0083  489 0.06573 VSM_long 
51 0 AP890307-0126  490 0.06572 VSM_long 
51 0 AP891003-0130  491 0.06571 VSM_long 
51 0 AP890418-0177  492 0.06571 VSM_long 
51 0 AP890721-0194  493 0.06554 VSM_long 
51 0 AP890606-0042  494 0.06553 VSM_long 
51 0 AP890314-0247  495 0.06545 VSM_long 
51 0 AP890712-0090  496 0.06540 VSM_long 
51 0 AP890405-0282  497 0.06533 VSM_long 
51 0 AP891019-0234  498 0.06532 VSM_long 
51 0 AP890110-0048  499 0.06530 VSM_long 
51 0 AP890504-0025  500 0.06517 VSM_long 
51 0 AP890820-0008  501 0.06515 VSM_long 
51 0 AP890920-0246  502 0.06505 VSM_long 
51 0 AP891128-0104  503 0.06498 VSM_long 
51 0 AP890712-0120  504 0.06494 VSM_long 
51 0 AP891028-0066  505 0.06491 VSM_long 
51 0 AP890222-0128  506 0.06491 VSM_long 
51 0 AP890303-0022  507 0.06487 VSM_long 
51 0 AP890130-0051  508 0.06475 VSM_long 
51 0 AP890221-0013  509 0.06461 VSM_long 
51 0 AP890628-0029  510 0.06451 VSM_long 
51 0 AP890505-0123  511 0.06442 VSM_long 
51 0 AP890108-0068  512 0.06431 VSM_long 
51 0 AP890707-0178  513 0.06430 VSM_long 
51 0 AP890311-0051  514 0.06418 VSM_long 
51 0 AP890724-0019  515 0.06410 VSM_long 
51 0 AP890126-0167  516 0.06404 VSM_long 
51 0 AP890612-0119  517 0.06399 VSM_long 
51 0 AP891128-0016  518 0.06399 VSM_long 
51 0 AP890120-0043  519 0.06397 VSM_long 
51 0 AP890307-0154  520 0.06396 VSM_long 
51 0 AP890710-0074  521 0.06395 VSM_long 
51 0 AP890823-0099  522 0.06394 VSM_long 
51 0 AP890313-0021  523 0.06384 VSM_long 
51 0 AP890810-0041  524 0.06381 VSM_long 
51 0 AP890916-0089  525 0.06358 VSM_long 
51 0 AP890105-0284  526 0.06350 VSM_long 
51 0 AP890114-0087  527 0.06348 VSM_long 
51 0 AP890314-0043  528 0.06347 VSM_long 
51 0 AP891205-0002  529 0.06344 VSM_long 
51 0 AP890319-0103  530 0.06336 VSM_long 
51 0 AP890301-0115  531 0.06335 VSM_long 
51 0 AP890616-0090  532 0.06334 VSM_long 
51 0 AP891116-0094  533 0.06333 VSM_long 
51 0 AP890120-0161  534 0.06326 VSM_long 
51 0 AP890615-0022  535 0.06319 VSM_long 
51 0 AP890606-0018  536 0.06313 VSM_long 
51 0 AP890525-0019  537 0.06309 VSM_long 
