51 0 AP891126-0082    1 0.44663 TREC_long 
154 0 AP890607-0227  104 0.13251 TREC_long 
155 0 AP891011-0181  105 0.13221 TREC_long 
156 0 AP890914-0250  106 0.13200 TREC_long 
157 0 AP891219-0191  107 0.13129 TREC_long 
158 0 AP890221-0070  108 0.13105 TREC_long 
159 0 AP890210-0090  109 0.13049 TREC_long 
160 0 AP891019-0162  110 0.13045 TREC_long 
161 0 AP891202-0124  111 0.13032 TREC_long 
162 0 AP890130-0207  112 0.13002 TREC_long 
163 0 AP890119-0139  113 0.12997 TREC_long 
164 0 AP890814-0080  114 0.12997 TREC_long 
165 0 AP890602-0007  115 0.12922 TREC_long 
166 0 AP890127-0117  116 0.12861 TREC_long 
167 0 AP891203-0009  117 0.12843 TREC_long 
168 0 AP890727-0268  118 0.12792 TREC_long 
169 0 AP891006-0237  119 0.12757 TREC_long 
170 0 AP890407-0267  120 0.12733 TREC_long 
171 0 AP890109-0007  121 0.12710 TREC_long 
172 0 AP890210-0149  122 0.12692 TREC_long 
173 0 AP890410-0121  123 0.12624 TREC_long 
174 0 AP890926-0106  124 0.12595 TREC_long 
175 0 AP891123-0030  125 0.12543 TREC_long 
176 0 AP890623-0059  126 0.12517 TREC_long 
177 0 AP891006-0033  127 0.12516 TREC_long 
178 0 AP891017-0269  128 0.12502 TREC_long 
179 0 AP890921-0226  129 0.12477 TREC_long 
180 0 AP890125-0184  130 0.12436 TREC_long 
181 0 AP890617-0025  131 0.12428 TREC_long 
182 0 AP890617-0021  132 0.12428 TREC_long 
183 0 AP890426-0260  133 0.12390 TREC_long 
184 0 AP891014-0130  134 0.12368 TREC_long 
185 0 AP890531-0287  135 0.12322 TREC_long 
186 0 AP890525-0287  136 0.12268 TREC_long 
187 0 AP890123-0090  137 0.12235 TREC_long 
188 0 AP890906-0144  138 0.12138 TREC_long 
189 0 AP891023-0264  139 0.12138 TREC_long 
190 0 AP890521-0093  140 0.12138 TREC_long 
191 0 AP890508-0131  141 0.12133 TREC_long 
192 0 AP890618-0075  142 0.12115 TREC_long 
193 0 AP891028-0147  143 0.12058 TREC_long 
194 0 AP890721-0158  144 0.12014 TREC_long 
195 0 AP890608-0149  145 0.12010 TREC_long 
196 0 AP890427-0221  146 0.12006 TREC_long 
197 0 AP890210-0130  147 0.11989 TREC_long 
198 0 AP890627-0231  148 0.11958 TREC_long 
199 0 AP891127-0256  149 0.11913 TREC_long 
200 0 AP890718-0229  150 0.11880 TREC_long 
201 0 AP891027-0233  151 0.11848 TREC_long 
202 0 AP891219-0186  152 0.11828 TREC_long 
203 0 AP890702-0065  153 0.11828 TREC_long 
204 0 AP890405-0290  154 0.11828 TREC_long 
205 0 AP890906-0264  155 0.11826 TREC_long 
206 0 AP890912-0095  156 0.11809 TREC_long 
207 0 AP891114-0149  157 0.11806 TREC_long 
208 0 AP890523-0235  158 0.11769 TREC_long 
209 0 AP890517-0064  159 0.11726 TREC_long 
210 0 AP890113-0249  160 0.11721 TREC_long 
211 0 AP890801-0223  161 0.11716 TREC_long 
212 0 AP890717-0106  162 0.11688 TREC_long 
213 0 AP890413-0262  163 0.11670 TREC_long 
214 0 AP890211-0129  164 0.11649 TREC_long 
215 0 AP891212-0194  165 0.11641 TREC_long 
216 0 AP890410-0255  166 0.11622 TREC_long 
217 0 AP890208-0310  167 0.11598 TREC_long 
218 0 AP890412-0226  168 0.11582 TREC_long 
219 0 AP890609-0248  169 0.11565 TREC_long 
220 0 AP890522-0084  170 0.11469 TREC_long 
221 0 AP890801-0113  171 0.11432 TREC_long 
222 0 AP891020-0116  172 0.11426 TREC_long 
223 0 AP890208-0152  173 0.11426 TREC_long 
224 0 AP890517-0266  174 0.11426 TREC_long 
225 0 AP891024-0191  175 0.11423 TREC_long 
226 0 AP890817-0223  176 0.11318 TREC_long 
227 0 AP890525-0019  177 0.11316 TREC_long 
228 0 AP890526-0221  178 0.11311 TREC_long 
229 0 AP891208-0192  179 0.11301 TREC_long 
230 0 AP890208-0268  180 0.11300 TREC_long 
231 0 AP890408-0097  181 0.11280 TREC_long 
232 0 AP890131-0265  182 0.11257 TREC_long 
233 0 AP890421-0052  183 0.11257 TREC_long 
234 0 AP891221-0061  184 0.11256 TREC_long 
235 0 AP890425-0156  185 0.11251 TREC_long 
236 0 AP890207-0251  186 0.11247 TREC_long 
237 0 AP890601-0339  187 0.11232 TREC_long 
238 0 AP890615-0272  188 0.11230 TREC_long 
239 0 AP890103-0246  189 0.11227 TREC_long 
240 0 AP891227-0189  190 0.11226 TREC_long 
241 0 AP890306-0295  191 0.11209 TREC_long 
242 0 AP890301-0230  192 0.11153 TREC_long 
243 0 AP890120-0265  193 0.11151 TREC_long 
244 0 AP890418-0079  194 0.11149 TREC_long 
245 0 AP890209-0221  195 0.11129 TREC_long 
246 0 AP890306-0276  196 0.11127 TREC_long 
247 0 AP890915-0220  197 0.11106 TREC_long 
248 0 AP890502-0093  198 0.11103 TREC_long 
249 0 AP891212-0100  199 0.11097 TREC_long 
250 0 AP890126-0076  200 0.11096 TREC_long 
251 0 AP890112-0197  201 0.11079 TREC_long 
252 0 AP890206-0237  202 0.11070 TREC_long 
253 0 AP890828-0183  203 0.11070 TREC_long 
254 0 AP890428-0151  204 0.11066 TREC_long 
255 0 AP890908-0118  205 0.10968 TREC_long 
256 0 AP890418-0312  206 0.10965 TREC_long 
257 0 AP890622-0274  207 0.10931 TREC_long 
258 0 AP890611-0083  208 0.10928 TREC_long 
259 0 AP891125-0005  209 0.10923 TREC_long 
260 0 AP890517-0085  210 0.10921 TREC_long 
261 0 AP890706-0020  211 0.10889 TREC_long 
262 0 AP890310-0016  212 0.10888 TREC_long 
263 0 AP890708-0136  213 0.10858 TREC_long 
264 0 AP890216-0273  214 0.10843 TREC_long 
265 0 AP890907-0222  215 0.10843 TREC_long 
266 0 AP890419-0230  216 0.10841 TREC_long 
267 0 AP890703-0112  217 0.10815 TREC_long 
268 0 AP891107-0266  218 0.10811 TREC_long 
269 0 AP890420-0110  219 0.10805 TREC_long 
270 0 AP890503-0211  220 0.10804 TREC_long 
271 0 AP890526-0246  221 0.10798 TREC_long 
272 0 AP890421-0076  222 0.10790 TREC_long 
273 0 AP891024-0197  223 0.10744 TREC_long 
274 0 AP890503-0314  224 0.10725 TREC_long 
275 0 AP890630-0056  225 0.10711 TREC_long 
276 0 AP890813-0052  226 0.10699 TREC_long 
277 0 AP890907-0259  227 0.10694 TREC_long 
278 0 AP890612-0267  228 0.10693 TREC_long 
279 0 AP890716-0080  229 0.10667 TREC_long 
280 0 AP890118-0101  230 0.10667 TREC_long 
281 0 AP890817-0220  231 0.10654 TREC_long 
282 0 AP890405-0282  232 0.10641 TREC_long 
283 0 AP890721-0203  233 0.10617 TREC_long 
284 0 AP890627-0100  234 0.10612 TREC_long 
285 0 AP890921-0169  235 0.10606 TREC_long 
286 0 AP890602-0166  236 0.10585 TREC_long 
287 0 AP890530-0069  237 0.10576 TREC_long 
288 0 AP890104-0099  238 0.10557 TREC_long 
289 0 AP890226-0101  239 0.10538 TREC_long 
290 0 AP890104-0090  240 0.10524 TREC_long 
291 0 AP890207-0240  241 0.10504 TREC_long 
292 0 AP890520-0011  242 0.10477 TREC_long 
293 0 AP891109-0220  243 0.10473 TREC_long 
294 0 AP891114-0277  244 0.10473 TREC_long 
295 0 AP890330-0264  245 0.10466 TREC_long 
296 0 AP890728-0198  246 0.10464 TREC_long 
297 0 AP890130-0230  247 0.10441 TREC_long 
298 0 AP890919-0232  248 0.10428 TREC_long 
299 0 AP890503-0144  249 0.10398 TREC_long 
300 0 AP890330-0021  250 0.10396 TREC_long 
301 0 AP890121-0095  251 0.10382 TREC_long 
302 0 AP891224-0033  252 0.10381 TREC_long 
303 0 AP890511-0104  253 0.10369 TREC_long 
304 0 AP890629-0167  254 0.10361 TREC_long 
305 0 AP890629-0298  255 0.10361 TREC_long 
306 0 AP890407-0012  256 0.10317 TREC_long 
307 0 AP891004-0135  257 0.10306 TREC_long 
308 0 AP890916-0034  258 0.10299 TREC_long 
309 0 AP891201-0004  259 0.10289 TREC_long 
310 0 AP890315-0295  260 0.10287 TREC_long 
311 0 AP890125-0109  261 0.10286 TREC_long 
312 0 AP890405-0286  262 0.10259 TREC_long 
313 0 AP891212-0227  263 0.10248 TREC_long 
314 0 AP890914-0135  264 0.10248 TREC_long 
315 0 AP890816-0246  265 0.10224 TREC_long 
316 0 AP890203-0242  266 0.10207 TREC_long 
317 0 AP890218-0004  267 0.10201 TREC_long 
318 0 AP890301-0182  268 0.10169 TREC_long 
319 0 AP890424-0095  269 0.10165 TREC_long 
320 0 AP890710-0021  270 0.10158 TREC_long 
321 0 AP890418-0325  271 0.10156 TREC_long 
322 0 AP890217-0103  272 0.10137 TREC_long 
323 0 AP891024-0145  273 0.10123 TREC_long 
324 0 AP890621-0103  274 0.10112 TREC_long 
325 0 AP890428-0097  275 0.10070 TREC_long 
326 0 AP891102-0199  276 0.10069 TREC_long 
327 0 AP890725-0269  277 0.10026 TREC_long 
328 0 AP890503-0309  278 0.10011 TREC_long 
329 0 AP890126-0167  279 0.10008 TREC_long 
330 0 AP890505-0114  280 0.09978 TREC_long 
331 0 AP890508-0113  281 0.09952 TREC_long 
332 0 AP891208-0174  282 0.09950 TREC_long 
333 0 AP890124-0120  283 0.09948 TREC_long 
334 0 AP891006-0159  284 0.09946 TREC_long 
335 0 AP890325-0023  285 0.09946 TREC_long 
336 0 AP890214-0229  286 0.09946 TREC_long 
337 0 AP890328-0217  287 0.09931 TREC_long 
338 0 AP891223-0051  288 0.09931 TREC_long 
339 0 AP890215-0162  289 0.09931 TREC_long 
340 0 AP890906-0284  290 0.09930 TREC_long 
341 0 AP891006-0277  291 0.09911 TREC_long 
342 0 AP890427-0306  292 0.09910 TREC_long 
343 0 AP890420-0173  293 0.09909 TREC_long 
344 0 AP890828-0231  294 0.09901 TREC_long 
345 0 AP890906-0311  295 0.09875 TREC_long 
346 0 AP891026-0148  296 0.09873 TREC_long 
347 0 AP890108-0068  297 0.09840 TREC_long 
348 0 AP890418-0290  298 0.09804 TREC_long 
349 0 AP890626-0112  299 0.09782 TREC_long 
350 0 AP890307-0123  300 0.09766 TREC_long 
351 0 AP890723-0009  301 0.09754 TREC_long 
352 0 AP890925-0086  302 0.09749 TREC_long 
353 0 AP891109-0180  303 0.09747 TREC_long 
354 0 AP891127-0034  304 0.09747 TREC_long 
355 0 AP891004-0186  305 0.09747 TREC_long 
356 0 AP891010-0163  306 0.09739 TREC_long 
357 0 AP890201-0258  307 0.09739 TREC_long 
358 0 AP890609-0148  308 0.09714 TREC_long 
359 0 AP890612-0011  309 0.09689 TREC_long 
360 0 AP890510-0176  310 0.09677 TREC_long 
361 0 AP891206-0012  311 0.09670 TREC_long 
362 0 AP890718-0042  312 0.09656 TREC_long 
363 0 AP890502-0180  313 0.09656 TREC_long 
364 0 AP891228-0205  314 0.09653 TREC_long 
365 0 AP890815-0023  315 0.09644 TREC_long 
366 0 AP891217-0037  316 0.09635 TREC_long 
367 0 AP891012-0262  317 0.09615 TREC_long 
368 0 AP890504-0182  318 0.09609 TREC_long 
369 0 AP890417-0169  319 0.09604 TREC_long 
370 0 AP891207-0028  320 0.09601 TREC_long 
371 0 AP890111-0142  321 0.09587 TREC_long 
372 0 AP890422-0133  322 0.09585 TREC_long 
373 0 AP891214-0052  323 0.09571 TREC_long 
374 0 AP890408-0099  324 0.09568 TREC_long 
375 0 AP890104-0060  325 0.09544 TREC_long 
376 0 AP891011-0163  326 0.09540 TREC_long 
377 0 AP890105-0068  327 0.09535 TREC_long 
378 0 AP890609-0226  328 0.09529 TREC_long 
379 0 AP890920-0038  329 0.09520 TREC_long 
380 0 AP890617-0089  330 0.09510 TREC_long 
381 0 AP890518-0295  331 0.09502 TREC_long 
382 0 AP891110-0131  332 0.09482 TREC_long 
383 0 AP890322-0207  333 0.09469 TREC_long 
384 0 AP890907-0151  334 0.09457 TREC_long 
385 0 AP890328-0092  335 0.09449 TREC_long 
386 0 AP890124-0034  336 0.09447 TREC_long 
387 0 AP891215-0258  337 0.09443 TREC_long 
388 0 AP890320-0297  338 0.09438 TREC_long 
389 0 AP890928-0156  339 0.09424 TREC_long 
390 0 AP891012-0324  340 0.09419 TREC_long 
391 0 AP890920-0052  341 0.09380 TREC_long 
392 0 AP891122-0216  342 0.09363 TREC_long 
393 0 AP891002-0261  343 0.09361 TREC_long 
394 0 AP890411-0010  344 0.09357 TREC_long 
395 0 AP891018-0174  345 0.09355 TREC_long 
396 0 AP891012-0303  346 0.09324 TREC_long 
397 0 AP890714-0275  347 0.09324 TREC_long 
398 0 AP890924-0091  348 0.09323 TREC_long 
399 0 AP890616-0111  349 0.09315 TREC_long 
400 0 AP890607-0229  350 0.09301 TREC_long 
401 0 AP891220-0157  351 0.09299 TREC_long 
402 0 AP891108-0055  352 0.09298 TREC_long 
403 0 AP891127-0003  353 0.09294 TREC_long 
404 0 AP891228-0049  354 0.09294 TREC_long 
405 0 AP890622-0312  355 0.09281 TREC_long 
406 0 AP890425-0029  356 0.09279 TREC_long 
407 0 AP890718-0255  357 0.09278 TREC_long 
408 0 AP890527-0075  358 0.09277 TREC_long 
409 0 AP891106-0168  359 0.09276 TREC_long 
410 0 AP890301-0276  360 0.09276 TREC_long 
411 0 AP891130-0214  361 0.09273 TREC_long 
412 0 AP891021-0077  362 0.09262 TREC_long 
413 0 AP890320-0151  363 0.09262 TREC_long 
414 0 AP891020-0274  364 0.09258 TREC_long 
415 0 AP891124-0114  365 0.09255 TREC_long 
416 0 AP890515-0080  366 0.09242 TREC_long 
417 0 AP890726-0159  367 0.09239 TREC_long 
418 0 AP890629-0047  368 0.09239 TREC_long 
419 0 AP890111-0242  369 0.09230 TREC_long 
420 0 AP890310-0324  370 0.09230 TREC_long 
421 0 AP890428-0191  371 0.09223 TREC_long 
422 0 AP891109-0305  372 0.09218 TREC_long 
423 0 AP890607-0014  373 0.09210 TREC_long 
424 0 AP891011-0086  374 0.09206 TREC_long 
425 0 AP890208-0259  375 0.09198 TREC_long 
426 0 AP890807-0035  376 0.09196 TREC_long 
427 0 AP890315-0292  377 0.09196 TREC_long 
428 0 AP890218-0088  378 0.09195 TREC_long 
429 0 AP890628-0005  379 0.09185 TREC_long 
430 0 AP890310-0291  380 0.09185 TREC_long 
431 0 AP890108-0032  381 0.09176 TREC_long 
432 0 AP891020-0211  382 0.09169 TREC_long 
433 0 AP890203-0167  383 0.09165 TREC_long 
434 0 AP890407-0039  384 0.09159 TREC_long 
435 0 AP890929-0032  385 0.09144 TREC_long 
436 0 AP890530-0122  386 0.09135 TREC_long 
437 0 AP890901-0164  387 0.09121 TREC_long 
438 0 AP890412-0076  388 0.09117 TREC_long 
439 0 AP890520-0016  389 0.09115 TREC_long 
440 0 AP890626-0139  390 0.09100 TREC_long 
441 0 AP890130-0119  391 0.09100 TREC_long 
442 0 AP890615-0246  392 0.09098 TREC_long 
443 0 AP890725-0175  393 0.09093 TREC_long 
444 0 AP890526-0214  394 0.09090 TREC_long 
445 0 AP890428-0214  395 0.09090 TREC_long 
446 0 AP890130-0076  396 0.09087 TREC_long 
447 0 AP890117-0018  397 0.09084 TREC_long 
448 0 AP890414-0029  398 0.09071 TREC_long 
449 0 AP890215-0168  399 0.09071 TREC_long 
450 0 AP891012-0259  400 0.09056 TREC_long 
451 0 AP890302-0214  401 0.09054 TREC_long 
452 0 AP891102-0031  402 0.09036 TREC_long 
453 0 AP890409-0026  403 0.09028 TREC_long 
454 0 AP890327-0030  404 0.09013 TREC_long 
455 0 AP890612-0290  405 0.08991 TREC_long 
456 0 AP890729-0071  406 0.08987 TREC_long 
457 0 AP891204-0277  407 0.08985 TREC_long 
458 0 AP890628-0137  408 0.08982 TREC_long 
459 0 AP891017-0276  409 0.08965 TREC_long 
460 0 AP891107-0163  410 0.08964 TREC_long 
461 0 AP890314-0280  411 0.08961 TREC_long 
462 0 AP890328-0131  412 0.08961 TREC_long 
463 0 AP890415-0079  413 0.08956 TREC_long 
464 0 AP890614-0279  414 0.08950 TREC_long 
465 0 AP891014-0094  415 0.08949 TREC_long 
466 0 AP890131-0031  416 0.08945 TREC_long 
467 0 AP890725-0119  417 0.08932 TREC_long 
468 0 AP891117-0214  418 0.08930 TREC_long 
469 0 AP890519-0076  419 0.08929 TREC_long 
470 0 AP890108-0018  420 0.08926 TREC_long 
471 0 AP890619-0134  421 0.08923 TREC_long 
472 0 AP890227-0124  422 0.08922 TREC_long 
473 0 AP891127-0136  423 0.08918 TREC_long 
474 0 AP891128-0187  424 0.08918 TREC_long 
475 0 AP890531-0173  425 0.08918 TREC_long 
476 0 AP891102-0246  426 0.08918 TREC_long 
477 0 AP891220-0124  427 0.08918 TREC_long 
478 0 AP891101-0126  428 0.08915 TREC_long 
479 0 AP890226-0061  429 0.08914 TREC_long 
480 0 AP890127-0155  430 0.08904 TREC_long 
481 0 AP890707-0178  431 0.08883 TREC_long 
482 0 AP890227-0067  432 0.08858 TREC_long 
483 0 AP890228-0028  433 0.08857 TREC_long 
484 0 AP891025-0252  434 0.08856 TREC_long 
485 0 AP891026-0140  435 0.08848 TREC_long 
486 0 AP890614-0221  436 0.08846 TREC_long 
487 0 AP890530-0281  437 0.08839 TREC_long 
488 0 AP890531-0263  438 0.08839 TREC_long 
489 0 AP890104-0279  439 0.08829 TREC_long 
490 0 AP890220-0164  440 0.08815 TREC_long 
491 0 AP891019-0216  441 0.08805 TREC_long 
492 0 AP890430-0036  442 0.08793 TREC_long 
493 0 AP890313-0119  443 0.08782 TREC_long 
494 0 AP890718-0259  444 0.08781 TREC_long 
495 0 AP891119-0065  445 0.08771 TREC_long 
496 0 AP890525-0288  446 0.08769 TREC_long 
497 0 AP890726-0303  447 0.08765 TREC_long 
498 0 AP890310-0265  448 0.08764 TREC_long 
499 0 AP890929-0165  449 0.08758 TREC_long 
500 0 AP890105-0150  450 0.08756 TREC_long 
501 0 AP891118-0172  451 0.08749 TREC_long 
502 0 AP891223-0008  452 0.08749 TREC_long 
503 0 AP890711-0152  453 0.08749 TREC_long 
504 0 AP890329-0113  454 0.08748 TREC_long 
505 0 AP890928-0202  455 0.08738 TREC_long 
506 0 AP891121-0269  456 0.08736 TREC_long 
507 0 AP890216-0272  457 0.08736 TREC_long 
508 0 AP890718-0266  458 0.08736 TREC_long 
509 0 AP890308-0077  459 0.08736 TREC_long 
510 0 AP891003-0091  460 0.08733 TREC_long 
511 0 AP891111-0015  461 0.08719 TREC_long 
512 0 AP890505-0220  462 0.08717 TREC_long 
513 0 AP891030-0205  463 0.08714 TREC_long 
514 0 AP891220-0250  464 0.08711 TREC_long 
515 0 AP890921-0227  465 0.08702 TREC_long 
516 0 AP891025-0164  466 0.08700 TREC_long 
517 0 AP891127-0176  467 0.08690 TREC_long 
518 0 AP890427-0190  468 0.08690 TREC_long 
519 0 AP890910-0011  469 0.08690 TREC_long 
520 0 AP890921-0010  470 0.08690 TREC_long 
521 0 AP890421-0253  471 0.08684 TREC_long 
522 0 AP890119-0334  472 0.08684 TREC_long 
523 0 AP890414-0145  473 0.08684 TREC_long 
524 0 AP891012-0293  474 0.08682 TREC_long 
525 0 AP891128-0189  475 0.08673 TREC_long 
526 0 AP890506-0014  476 0.08669 TREC_long 
527 0 AP890606-0142  477 0.08664 TREC_long 
528 0 AP890326-0080  478 0.08664 TREC_long 
529 0 AP890706-0148  479 0.08664 TREC_long 
530 0 AP890707-0203  480 0.08664 TREC_long 
531 0 AP890725-0201  481 0.08664 TREC_long 
532 0 AP890102-0027  482 0.08664 TREC_long 
533 0 AP890802-0192  483 0.08664 TREC_long 
534 0 AP890502-0303  484 0.08664 TREC_long 
535 0 AP890322-0055  485 0.08660 TREC_long 
536 0 AP890228-0082  486 0.08660 TREC_long 
537 0 AP890518-0116  487 0.08654 TREC_long 
538 0 AP890814-0108  488 0.08646 TREC_long 
539 0 AP890109-0090  489 0.08644 TREC_long 
540 0 AP890117-0252  490 0.08644 TREC_long 
541 0 AP891216-0124  491 0.08616 TREC_long 
542 0 AP891223-0101  492 0.08605 TREC_long 
543 0 AP890705-0206  493 0.08605 TREC_long 
544 0 AP890816-0147  494 0.08603 TREC_long 
545 0 AP890304-0156  495 0.08603 TREC_long 
546 0 AP890805-0106  496 0.08603 TREC_long 
547 0 AP891016-0088  497 0.08601 TREC_long 
548 0 AP890327-0120  498 0.08585 TREC_long 
549 0 AP890123-0154  499 0.08585 TREC_long 
550 0 AP890410-0028  500 0.08585 TREC_long 
551 0 AP890425-0098  501 0.08574 TREC_long 
552 0 AP890501-0245  502 0.08554 TREC_long 
553 0 AP890814-0134  503 0.08552 TREC_long 
554 0 AP890131-0136  504 0.08529 TREC_long 
555 0 AP890510-0015  505 0.08527 TREC_long 
556 0 AP891103-0204  506 0.08525 TREC_long 
557 0 AP890112-0177  507 0.08519 TREC_long 
558 0 AP890105-0081  508 0.08518 TREC_long 
559 0 AP891230-0028  509 0.08515 TREC_long 
560 0 AP891217-0059  510 0.08515 TREC_long 
561 0 AP890208-0182  511 0.08506 TREC_long 
562 0 AP891030-0194  512 0.08499 TREC_long 
563 0 AP890210-0167  513 0.08497 TREC_long 
564 0 AP890617-0134  514 0.08491 TREC_long 
565 0 AP890525-0238  515 0.08489 TREC_long 
566 0 AP890419-0227  516 0.08485 TREC_long 
567 0 AP890718-0111  517 0.08473 TREC_long 
568 0 AP890505-0151  518 0.08469 TREC_long 
569 0 AP891009-0074  519 0.08464 TREC_long 
570 0 AP891120-0194  520 0.08449 TREC_long 
571 0 AP890427-0258  521 0.08446 TREC_long 
572 0 AP891113-0170  522 0.08444 TREC_long 
573 0 AP890702-0030  523 0.08440 TREC_long 
574 0 AP890219-0106  524 0.08440 TREC_long 
575 0 AP890420-0034  525 0.08433 TREC_long 
576 0 AP890520-0077  526 0.08429 TREC_long 
577 0 AP890726-0254  527 0.08429 TREC_long 
578 0 AP890301-0289  528 0.08429 TREC_long 
579 0 AP890306-0270  529 0.08429 TREC_long 
580 0 AP890206-0081  530 0.08428 TREC_long 
581 0 AP890821-0136  531 0.08426 TREC_long 
582 0 AP890803-0196  532 0.08414 TREC_long 
583 0 AP890427-0275  533 0.08401 TREC_long 
584 0 AP890427-0150  534 0.08399 TREC_long 
585 0 AP891129-0124  535 0.08391 TREC_long 
586 0 AP890410-0240  536 0.08391 TREC_long 
587 0 AP890420-0017  537 0.08391 TREC_long 
