51 0 AP890518-0275    1 29.14379 LMwJMS_long 
51 0 AP890227-0288   53 19.20708 LMwJMS_long 
51 0 AP890207-0251   54 19.19159 LMwJMS_long 
51 0 AP890419-0227   55 19.14345 LMwJMS_long 
51 0 AP890207-0230   56 19.10060 LMwJMS_long 
51 0 AP891117-0214   57 19.03723 LMwJMS_long 
51 0 AP890816-0147   58 19.02157 LMwJMS_long 
51 0 AP890427-0258   59 18.78545 LMwJMS_long 
51 0 AP890504-0256   60 18.67831 LMwJMS_long 
51 0 AP890803-0196   61 18.63080 LMwJMS_long 
51 0 AP890117-0252   62 18.60268 LMwJMS_long 
51 0 AP891017-0091   63 18.25720 LMwJMS_long 
51 0 AP890110-0304   64 18.14166 LMwJMS_long 
51 0 AP890207-0277   65 18.04343 LMwJMS_long 
51 0 AP890310-0265   66 17.94069 LMwJMS_long 
51 0 AP890702-0030   67 17.92530 LMwJMS_long 
51 0 AP890217-0158   68 17.90737 LMwJMS_long 
51 0 AP890105-0233   69 17.87991 LMwJMS_long 
51 0 AP890427-0221   70 17.76367 LMwJMS_long 
51 0 AP890602-0272   71 17.76040 LMwJMS_long 
51 0 AP890222-0111   72 17.60888 LMwJMS_long 
51 0 AP891101-0042   73 17.55318 LMwJMS_long 
51 0 AP891006-0222   74 17.54446 LMwJMS_long 
51 0 AP890913-0264   75 17.50134 LMwJMS_long 
51 0 AP891118-0182   76 17.37958 LMwJMS_long 
51 0 AP890511-0222   77 17.29955 LMwJMS_long 
51 0 AP890419-0224   78 17.20813 LMwJMS_long 
51 0 AP890411-0191   79 17.02517 LMwJMS_long 
51 0 AP890627-0100   80 16.85845 LMwJMS_long 
51 0 AP890413-0243   81 16.77295 LMwJMS_long 
51 0 AP891013-0165   82 16.73591 LMwJMS_long 
51 0 AP890617-0120   83 16.63777 LMwJMS_long 
51 0 AP890329-0213   84 16.54750 LMwJMS_long 
51 0 AP890722-0154   85 16.36875 LMwJMS_long 
51 0 AP890519-0268   86 16.36517 LMwJMS_long 
51 0 AP890703-0134   87 16.30248 LMwJMS_long 
51 0 AP891207-0246   88 16.25535 LMwJMS_long 
51 0 AP890618-0075   89 16.15654 LMwJMS_long 
51 0 AP890209-0234   90 16.08869 LMwJMS_long 
51 0 AP891011-0275   91 16.08525 LMwJMS_long 
51 0 AP890407-0285   92 16.02268 LMwJMS_long 
51 0 AP890322-0331   93 15.80406 LMwJMS_long 
51 0 AP891127-0256   94 15.74383 LMwJMS_long 
51 0 AP890818-0180   95 15.44609 LMwJMS_long 
51 0 AP890323-0256   96 15.36486 LMwJMS_long 
51 0 AP890117-0018   97 15.31615 LMwJMS_long 
51 0 AP890107-0160   98 15.26586 LMwJMS_long 
51 0 AP890906-0311   99 15.23925 LMwJMS_long 
51 0 AP890601-0339  100 15.21967 LMwJMS_long 
51 0 AP890519-0076  101 15.07449 LMwJMS_long 
51 0 AP891128-0199  102 15.05329 LMwJMS_long 
51 0 AP890719-0300  103 15.04342 LMwJMS_long 
51 0 AP891123-0040  104 15.01055 LMwJMS_long 
51 0 AP890418-0079  105 14.97684 LMwJMS_long 
51 0 AP890428-0002  106 14.86369 LMwJMS_long 
51 0 AP890526-0222  107 14.81811 LMwJMS_long 
51 0 AP890816-0246  108 14.77791 LMwJMS_long 
51 0 AP890228-0162  109 14.74412 LMwJMS_long 
51 0 AP890427-0306  110 14.62777 LMwJMS_long 
51 0 AP891117-0207  111 14.56296 LMwJMS_long 
51 0 AP890314-0278  112 14.38866 LMwJMS_long 
51 0 AP890720-0240  113 14.37445 LMwJMS_long 
51 0 AP890714-0212  114 14.33927 LMwJMS_long 
51 0 AP890310-0316  115 14.33831 LMwJMS_long 
51 0 AP890723-0009  116 14.29023 LMwJMS_long 
51 0 AP890707-0114  117 14.25524 LMwJMS_long 
51 0 AP891219-0192  118 14.15932 LMwJMS_long 
51 0 AP890908-0122  119 14.15378 LMwJMS_long 
51 0 AP890206-0170  120 13.98660 LMwJMS_long 
51 0 AP890707-0209  121 13.98505 LMwJMS_long 
51 0 AP890125-0094  122 13.89793 LMwJMS_long 
51 0 AP891120-0065  123 13.89793 LMwJMS_long 
51 0 AP890703-0072  124 13.82354 LMwJMS_long 
51 0 AP890614-0287  125 13.78311 LMwJMS_long 
51 0 AP890818-0153  126 13.63943 LMwJMS_long 
51 0 AP891215-0260  127 13.63615 LMwJMS_long 
51 0 AP890512-0081  128 13.59836 LMwJMS_long 
51 0 AP890518-0034  129 13.51913 LMwJMS_long 
51 0 AP890712-0032  130 13.49179 LMwJMS_long 
51 0 AP891020-0203  131 13.46221 LMwJMS_long 
51 0 AP890608-0032  132 13.46001 LMwJMS_long 
51 0 AP890901-0154  133 13.41814 LMwJMS_long 
51 0 AP890330-0021  134 13.29733 LMwJMS_long 
51 0 AP890131-0301  135 13.24616 LMwJMS_long 
51 0 AP890418-0241  136 13.24328 LMwJMS_long 
51 0 AP891126-0084  137 13.18791 LMwJMS_long 
51 0 AP891030-0205  138 13.14552 LMwJMS_long 
51 0 AP891002-0334  139 13.09873 LMwJMS_long 
51 0 AP890810-0244  140 13.05215 LMwJMS_long 
51 0 AP890406-0027  141 12.97091 LMwJMS_long 
51 0 AP890328-0148  142 12.95672 LMwJMS_long 
51 0 AP890518-0101  143 12.92863 LMwJMS_long 
51 0 AP891002-0339  144 12.86155 LMwJMS_long 
51 0 AP890408-0097  145 12.85757 LMwJMS_long 
51 0 AP890224-0116  146 12.83384 LMwJMS_long 
51 0 AP891026-0232  147 12.79460 LMwJMS_long 
51 0 AP890816-0029  148 12.77984 LMwJMS_long 
51 0 AP891214-0052  149 12.77728 LMwJMS_long 
51 0 AP890112-0243  150 12.77698 LMwJMS_long 
51 0 AP890630-0056  151 12.76918 LMwJMS_long 
51 0 AP890621-0238  152 12.71735 LMwJMS_long 
51 0 AP890519-0245  153 12.71429 LMwJMS_long 
51 0 AP890201-0003  154 12.66006 LMwJMS_long 
51 0 AP890212-0094  155 12.59249 LMwJMS_long 
51 0 AP890406-0263  156 12.58635 LMwJMS_long 
51 0 AP890723-0061  157 12.58635 LMwJMS_long 
51 0 AP890425-0029  158 12.57496 LMwJMS_long 
51 0 AP890527-0075  159 12.52443 LMwJMS_long 
51 0 AP890726-0303  160 12.50846 LMwJMS_long 
51 0 AP890112-0197  161 12.47457 LMwJMS_long 
51 0 AP890623-0269  162 12.45656 LMwJMS_long 
51 0 AP890817-0220  163 12.44454 LMwJMS_long 
51 0 AP891129-0271  164 12.42426 LMwJMS_long 
51 0 AP890112-0126  165 12.38216 LMwJMS_long 
51 0 AP890507-0009  166 12.15208 LMwJMS_long 
51 0 AP890719-0295  167 12.10303 LMwJMS_long 
51 0 AP890219-0106  168 12.08342 LMwJMS_long 
51 0 AP890306-0253  169 12.05371 LMwJMS_long 
51 0 AP891003-0130  170 12.04138 LMwJMS_long 
51 0 AP890925-0086  171 12.00575 LMwJMS_long 
51 0 AP890920-0246  172 12.00107 LMwJMS_long 
51 0 AP890609-0270  173 11.95146 LMwJMS_long 
51 0 AP890613-0247  174 11.95146 LMwJMS_long 
51 0 AP891209-0045  175 11.95146 LMwJMS_long 
51 0 AP890928-0100  176 11.89715 LMwJMS_long 
51 0 AP890428-0198  177 11.88862 LMwJMS_long 
51 0 AP890804-0141  178 11.83404 LMwJMS_long 
51 0 AP890911-0278  179 11.82118 LMwJMS_long 
51 0 AP890517-0089  180 11.81100 LMwJMS_long 
51 0 AP890516-0077  181 11.75276 LMwJMS_long 
51 0 AP890103-0246  182 11.73991 LMwJMS_long 
51 0 AP891102-0199  183 11.66252 LMwJMS_long 
51 0 AP890211-0169  184 11.65865 LMwJMS_long 
51 0 AP891120-0014  185 11.65660 LMwJMS_long 
51 0 AP890221-0070  186 11.65632 LMwJMS_long 
51 0 AP891122-0216  187 11.65511 LMwJMS_long 
51 0 AP890619-0204  188 11.63752 LMwJMS_long 
51 0 AP890715-0047  189 11.61429 LMwJMS_long 
51 0 AP890519-0140  190 11.55120 LMwJMS_long 
51 0 AP890130-0207  191 11.49959 LMwJMS_long 
51 0 AP890929-0096  192 11.49278 LMwJMS_long 
51 0 AP890823-0099  193 11.46029 LMwJMS_long 
51 0 AP890201-0131  194 11.45995 LMwJMS_long 
51 0 AP890124-0120  195 11.42273 LMwJMS_long 
51 0 AP891222-0290  196 11.41039 LMwJMS_long 
51 0 AP890502-0093  197 11.38839 LMwJMS_long 
51 0 AP890622-0084  198 11.38626 LMwJMS_long 
51 0 AP890323-0197  199 11.38400 LMwJMS_long 
51 0 AP890721-0245  200 11.37155 LMwJMS_long 
51 0 AP890626-0112  201 11.36805 LMwJMS_long 
51 0 AP891202-0124  202 11.36373 LMwJMS_long 
51 0 AP890306-0244  203 11.35910 LMwJMS_long 
51 0 AP890123-0201  204 11.35180 LMwJMS_long 
51 0 AP890522-0084  205 11.32172 LMwJMS_long 
51 0 AP890718-0229  206 11.30289 LMwJMS_long 
51 0 AP890327-0138  207 11.29818 LMwJMS_long 
51 0 AP890617-0089  208 11.28468 LMwJMS_long 
51 0 AP890211-0129  209 11.27998 LMwJMS_long 
51 0 AP890208-0259  210 11.24132 LMwJMS_long 
51 0 AP891103-0231  211 11.18895 LMwJMS_long 
51 0 AP890821-0016  212 11.18245 LMwJMS_long 
51 0 AP890428-0191  213 11.13344 LMwJMS_long 
51 0 AP890605-0084  214 11.11166 LMwJMS_long 
51 0 AP890109-0007  215 11.08722 LMwJMS_long 
51 0 AP890811-0205  216 11.04612 LMwJMS_long 
51 0 AP890823-0072  217 11.04612 LMwJMS_long 
51 0 AP890814-0108  218 11.04373 LMwJMS_long 
51 0 AP890130-0021  219 11.04227 LMwJMS_long 
51 0 AP890208-0310  220 11.04068 LMwJMS_long 
51 0 AP890721-0158  221 11.03616 LMwJMS_long 
51 0 AP890429-0131  222 10.98979 LMwJMS_long 
51 0 AP890228-0028  223 10.98202 LMwJMS_long 
51 0 AP890428-0090  224 10.92877 LMwJMS_long 
51 0 AP890204-0035  225 10.92583 LMwJMS_long 
51 0 AP891214-0236  226 10.92157 LMwJMS_long 
51 0 AP890128-0078  227 10.90772 LMwJMS_long 
51 0 AP890408-0099  228 10.88852 LMwJMS_long 
51 0 AP890111-0078  229 10.88117 LMwJMS_long 
51 0 AP890120-0278  230 10.87554 LMwJMS_long 
51 0 AP890716-0011  231 10.86865 LMwJMS_long 
51 0 AP891027-0233  232 10.86035 LMwJMS_long 
51 0 AP891220-0110  233 10.85980 LMwJMS_long 
51 0 AP890406-0194  234 10.82606 LMwJMS_long 
51 0 AP890125-0184  235 10.81788 LMwJMS_long 
51 0 AP890407-0163  236 10.81628 LMwJMS_long 
51 0 AP890523-0018  237 10.80226 LMwJMS_long 
51 0 AP890211-0061  238 10.80105 LMwJMS_long 
51 0 AP890617-0031  239 10.73671 LMwJMS_long 
51 0 AP890120-0265  240 10.72214 LMwJMS_long 
51 0 AP891219-0249  241 10.70706 LMwJMS_long 
51 0 AP890111-0217  242 10.66112 LMwJMS_long 
51 0 AP890327-0161  243 10.65993 LMwJMS_long 
51 0 AP890701-0050  244 10.65993 LMwJMS_long 
51 0 AP890306-0264  245 10.62330 LMwJMS_long 
51 0 AP890511-0035  246 10.60498 LMwJMS_long 
51 0 AP890607-0227  247 10.59122 LMwJMS_long 
51 0 AP891208-0227  248 10.58325 LMwJMS_long 
51 0 AP890427-0238  249 10.56075 LMwJMS_long 
51 0 AP891007-0006  250 10.49204 LMwJMS_long 
51 0 AP890501-0072  251 10.46606 LMwJMS_long 
51 0 AP890304-0016  252 10.44442 LMwJMS_long 
51 0 AP890628-0005  253 10.40810 LMwJMS_long 
51 0 AP891219-0166  254 10.39791 LMwJMS_long 
51 0 AP891205-0002  255 10.39770 LMwJMS_long 
51 0 AP890419-0189  256 10.39372 LMwJMS_long 
51 0 AP890427-0275  257 10.36933 LMwJMS_long 
51 0 AP891110-0035  258 10.36346 LMwJMS_long 
51 0 AP890329-0011  259 10.35319 LMwJMS_long 
51 0 AP891206-0012  260 10.33630 LMwJMS_long 
51 0 AP891116-0209  261 10.33096 LMwJMS_long 
51 0 AP890609-0148  262 10.32992 LMwJMS_long 
51 0 AP890527-0109  263 10.32232 LMwJMS_long 
51 0 AP890209-0229  264 10.30687 LMwJMS_long 
51 0 AP890223-0276  265 10.30463 LMwJMS_long 
51 0 AP891213-0166  266 10.29972 LMwJMS_long 
51 0 AP890301-0257  267 10.28525 LMwJMS_long 
51 0 AP890502-0157  268 10.27938 LMwJMS_long 
51 0 AP890330-0095  269 10.25962 LMwJMS_long 
51 0 AP890628-0029  270 10.25753 LMwJMS_long 
51 0 AP891004-0231  271 10.25534 LMwJMS_long 
51 0 AP890305-0051  272 10.25364 LMwJMS_long 
51 0 AP890104-0157  273 10.24099 LMwJMS_long 
51 0 AP890521-0093  274 10.23880 LMwJMS_long 
51 0 AP890426-0087  275 10.22558 LMwJMS_long 
51 0 AP891123-0030  276 10.22352 LMwJMS_long 
51 0 AP890425-0230  277 10.22057 LMwJMS_long 
51 0 AP890830-0028  278 10.20677 LMwJMS_long 
51 0 AP890131-0265  279 10.20565 LMwJMS_long 
51 0 AP890503-0211  280 10.19003 LMwJMS_long 
51 0 AP890907-0273  281 10.18003 LMwJMS_long 
51 0 AP890110-0048  282 10.14137 LMwJMS_long 
51 0 AP890513-0118  283 10.13129 LMwJMS_long 
51 0 AP890410-0028  284 10.12443 LMwJMS_long 
51 0 AP890323-0016  285 10.12030 LMwJMS_long 
51 0 AP890110-0012  286 10.10208 LMwJMS_long 
51 0 AP891011-0086  287 10.09306 LMwJMS_long 
51 0 AP890714-0215  288 10.06764 LMwJMS_long 
51 0 AP891102-0031  289 10.05699 LMwJMS_long 
51 0 AP890412-0226  290 10.05323 LMwJMS_long 
51 0 AP890425-0251  291 10.04815 LMwJMS_long 
51 0 AP890405-0021  292 10.04351 LMwJMS_long 
51 0 AP890211-0028  293 10.04199 LMwJMS_long 
51 0 AP890719-0241  294 10.01964 LMwJMS_long 
51 0 AP890712-0120  295 10.00777 LMwJMS_long 
51 0 AP890124-0034  296 9.99629 LMwJMS_long 
51 0 AP890920-0131  297 9.99167 LMwJMS_long 
51 0 AP891208-0190  298 9.98623 LMwJMS_long 
51 0 AP890504-0168  299 9.97845 LMwJMS_long 
51 0 AP890407-0012  300 9.97301 LMwJMS_long 
51 0 AP890612-0267  301 9.96910 LMwJMS_long 
51 0 AP890110-0186  302 9.93765 LMwJMS_long 
51 0 AP890407-0039  303 9.92723 LMwJMS_long 
51 0 AP890502-0083  304 9.90344 LMwJMS_long 
51 0 AP891115-0024  305 9.89582 LMwJMS_long 
51 0 AP890102-0118  306 9.88761 LMwJMS_long 
51 0 AP890421-0158  307 9.88251 LMwJMS_long 
51 0 AP890503-0307  308 9.86723 LMwJMS_long 
51 0 AP890118-0248  309 9.83011 LMwJMS_long 
51 0 AP890119-0006  310 9.83011 LMwJMS_long 
51 0 AP890218-0004  311 9.82143 LMwJMS_long 
51 0 AP890208-0146  312 9.81913 LMwJMS_long 
51 0 AP890607-0086  313 9.81913 LMwJMS_long 
51 0 AP890805-0106  314 9.81506 LMwJMS_long 
51 0 AP890426-0268  315 9.81245 LMwJMS_long 
51 0 AP891002-0137  316 9.79245 LMwJMS_long 
51 0 AP890405-0282  317 9.78814 LMwJMS_long 
51 0 AP890128-0159  318 9.77280 LMwJMS_long 
51 0 AP890224-0066  319 9.77280 LMwJMS_long 
51 0 AP890724-0045  320 9.77280 LMwJMS_long 
51 0 AP890413-0014  321 9.75196 LMwJMS_long 
51 0 AP891219-0213  322 9.75103 LMwJMS_long 
51 0 AP890428-0071  323 9.74836 LMwJMS_long 
51 0 AP890525-0112  324 9.72573 LMwJMS_long 
51 0 AP890518-0116  325 9.72148 LMwJMS_long 
51 0 AP890914-0017  326 9.71382 LMwJMS_long 
51 0 AP890212-0064  327 9.71080 LMwJMS_long 
51 0 AP890113-0083  328 9.71020 LMwJMS_long 
51 0 AP891116-0258  329 9.70666 LMwJMS_long 
51 0 AP890130-0051  330 9.70159 LMwJMS_long 
51 0 AP890512-0156  331 9.69935 LMwJMS_long 
51 0 AP890410-0121  332 9.68587 LMwJMS_long 
51 0 AP890114-0082  333 9.67495 LMwJMS_long 
51 0 AP890616-0111  334 9.67231 LMwJMS_long 
51 0 AP891221-0156  335 9.67217 LMwJMS_long 
51 0 AP890506-0111  336 9.66333 LMwJMS_long 
51 0 AP890330-0264  337 9.64676 LMwJMS_long 
51 0 AP890228-0083  338 9.62227 LMwJMS_long 
51 0 AP890820-0008  339 9.61725 LMwJMS_long 
51 0 AP891101-0126  340 9.61176 LMwJMS_long 
51 0 AP890828-0183  341 9.60686 LMwJMS_long 
51 0 AP891107-0163  342 9.59157 LMwJMS_long 
51 0 AP890515-0108  343 9.58622 LMwJMS_long 
51 0 AP890315-0136  344 9.57312 LMwJMS_long 
51 0 AP890217-0133  345 9.57255 LMwJMS_long 
51 0 AP890813-0052  346 9.56437 LMwJMS_long 
51 0 AP890407-0321  347 9.56098 LMwJMS_long 
51 0 AP890330-0161  348 9.55603 LMwJMS_long 
51 0 AP890326-0054  349 9.53650 LMwJMS_long 
51 0 AP890322-0207  350 9.53369 LMwJMS_long 
51 0 AP891216-0124  351 9.51836 LMwJMS_long 
51 0 AP890306-0295  352 9.50852 LMwJMS_long 
51 0 AP890103-0024  353 9.49813 LMwJMS_long 
51 0 AP890604-0055  354 9.49406 LMwJMS_long 
51 0 AP891203-0009  355 9.47569 LMwJMS_long 
51 0 AP890118-0041  356 9.46492 LMwJMS_long 
51 0 AP891004-0135  357 9.44878 LMwJMS_long 
51 0 AP890911-0285  358 9.43704 LMwJMS_long 
51 0 AP890608-0149  359 9.43306 LMwJMS_long 
51 0 AP890615-0022  360 9.41213 LMwJMS_long 
51 0 AP890808-0010  361 9.39440 LMwJMS_long 
51 0 AP890616-0077  362 9.39291 LMwJMS_long 
51 0 AP890107-0086  363 9.38936 LMwJMS_long 
51 0 AP890726-0252  364 9.37421 LMwJMS_long 
51 0 AP890815-0023  365 9.37361 LMwJMS_long 
51 0 AP891110-0099  366 9.35046 LMwJMS_long 
51 0 AP890311-0051  367 9.34599 LMwJMS_long 
51 0 AP890501-0128  368 9.34526 LMwJMS_long 
51 0 AP890313-0144  369 9.33073 LMwJMS_long 
51 0 AP890506-0013  370 9.30118 LMwJMS_long 
51 0 AP891201-0004  371 9.29310 LMwJMS_long 
51 0 AP891011-0233  372 9.28657 LMwJMS_long 
51 0 AP891215-0258  373 9.27562 LMwJMS_long 
51 0 AP890926-0106  374 9.26809 LMwJMS_long 
51 0 AP890509-0179  375 9.24859 LMwJMS_long 
51 0 AP890307-0123  376 9.24001 LMwJMS_long 
51 0 AP891108-0149  377 9.23302 LMwJMS_long 
51 0 AP890510-0161  378 9.21932 LMwJMS_long 
51 0 AP890103-0117  379 9.21828 LMwJMS_long 
51 0 AP890428-0093  380 9.21751 LMwJMS_long 
51 0 AP890111-0142  381 9.21409 LMwJMS_long 
51 0 AP890226-0061  382 9.21264 LMwJMS_long 
51 0 AP890710-0155  383 9.21199 LMwJMS_long 
51 0 AP890407-0182  384 9.18846 LMwJMS_long 
51 0 AP890318-0036  385 9.18672 LMwJMS_long 
51 0 AP890525-0216  386 9.18115 LMwJMS_long 
51 0 AP890617-0021  387 9.17695 LMwJMS_long 
51 0 AP890617-0025  388 9.17695 LMwJMS_long 
51 0 AP890217-0022  389 9.17625 LMwJMS_long 
51 0 AP891221-0216  390 9.17398 LMwJMS_long 
51 0 AP890313-0224  391 9.17277 LMwJMS_long 
51 0 AP890810-0114  392 9.15342 LMwJMS_long 
51 0 AP890208-0128  393 9.15105 LMwJMS_long 
51 0 AP890227-0291  394 9.14909 LMwJMS_long 
51 0 AP890227-0313  395 9.14909 LMwJMS_long 
51 0 AP890420-0110  396 9.14441 LMwJMS_long 
51 0 AP890726-0139  397 9.14012 LMwJMS_long 
51 0 AP890929-0032  398 9.13553 LMwJMS_long 
51 0 AP890511-0104  399 9.13051 LMwJMS_long 
51 0 AP890510-0043  400 9.13034 LMwJMS_long 
51 0 AP891208-0255  401 9.12168 LMwJMS_long 
51 0 AP891108-0222  402 9.11330 LMwJMS_long 
51 0 AP891006-0033  403 9.10937 LMwJMS_long 
51 0 AP890110-0191  404 9.09927 LMwJMS_long 
51 0 AP890105-0068  405 9.09718 LMwJMS_long 
51 0 AP890907-0264  406 9.08782 LMwJMS_long 
51 0 AP890921-0181  407 9.08076 LMwJMS_long 
51 0 AP890202-0195  408 9.07374 LMwJMS_long 
51 0 AP890213-0133  409 9.06821 LMwJMS_long 
51 0 AP890122-0038  410 9.06706 LMwJMS_long 
51 0 AP891018-0161  411 9.05786 LMwJMS_long 
51 0 AP891107-0266  412 9.05227 LMwJMS_long 
51 0 AP890724-0019  413 9.05151 LMwJMS_long 
51 0 AP890310-0159  414 9.04777 LMwJMS_long 
51 0 AP890814-0134  415 9.03923 LMwJMS_long 
51 0 AP890102-0094  416 9.03829 LMwJMS_long 
51 0 AP890122-0100  417 9.01901 LMwJMS_long 
51 0 AP890920-0101  418 8.99658 LMwJMS_long 
51 0 AP891127-0195  419 8.98426 LMwJMS_long 
51 0 AP890928-0202  420 8.98286 LMwJMS_long 
51 0 AP891207-0179  421 8.98109 LMwJMS_long 
51 0 AP891212-0198  422 8.98109 LMwJMS_long 
51 0 AP890404-0247  423 8.97820 LMwJMS_long 
51 0 AP890405-0286  424 8.97028 LMwJMS_long 
51 0 AP890809-0129  425 8.96208 LMwJMS_long 
51 0 AP891114-0149  426 8.92717 LMwJMS_long 
51 0 AP891024-0145  427 8.92320 LMwJMS_long 
51 0 AP891025-0252  428 8.92255 LMwJMS_long 
51 0 AP890222-0238  429 8.92184 LMwJMS_long 
51 0 AP890326-0020  430 8.91494 LMwJMS_long 
51 0 AP891104-0083  431 8.90604 LMwJMS_long 
51 0 AP891220-0027  432 8.89564 LMwJMS_long 
51 0 AP890920-0049  433 8.89517 LMwJMS_long 
51 0 AP891123-0082  434 8.87092 LMwJMS_long 
51 0 AP891025-0281  435 8.86656 LMwJMS_long 
51 0 AP890214-0115  436 8.86057 LMwJMS_long 
51 0 AP891031-0128  437 8.85738 LMwJMS_long 
51 0 AP890420-0016  438 8.84849 LMwJMS_long 
51 0 AP890507-0051  439 8.84377 LMwJMS_long 
51 0 AP890504-0025  440 8.84368 LMwJMS_long 
51 0 AP890612-0011  441 8.83566 LMwJMS_long 
51 0 AP890323-0123  442 8.82931 LMwJMS_long 
51 0 AP890710-0021  443 8.82835 LMwJMS_long 
51 0 AP891129-0122  444 8.82747 LMwJMS_long 
51 0 AP890726-0019  445 8.82452 LMwJMS_long 
51 0 AP890831-0142  446 8.82393 LMwJMS_long 
51 0 AP890907-0167  447 8.82051 LMwJMS_long 
51 0 AP890814-0207  448 8.82003 LMwJMS_long 
51 0 AP891019-0234  449 8.81913 LMwJMS_long 
51 0 AP890727-0042  450 8.81108 LMwJMS_long 
51 0 AP890411-0066  451 8.79896 LMwJMS_long 
51 0 AP890718-0148  452 8.79875 LMwJMS_long 
51 0 AP890131-0123  453 8.79861 LMwJMS_long 
51 0 AP891125-0005  454 8.79254 LMwJMS_long 
51 0 AP890311-0123  455 8.78691 LMwJMS_long 
51 0 AP890115-0012  456 8.78109 LMwJMS_long 
51 0 AP891004-0262  457 8.77160 LMwJMS_long 
51 0 AP890129-0050  458 8.76479 LMwJMS_long 
51 0 AP890822-0051  459 8.76442 LMwJMS_long 
51 0 AP890119-0254  460 8.76050 LMwJMS_long 
51 0 AP890302-0001  461 8.75696 LMwJMS_long 
51 0 AP891115-0297  462 8.75369 LMwJMS_long 
51 0 AP891206-0009  463 8.75202 LMwJMS_long 
51 0 AP890123-0154  464 8.74856 LMwJMS_long 
51 0 AP890503-0144  465 8.74087 LMwJMS_long 
51 0 AP890603-0150  466 8.74024 LMwJMS_long 
51 0 AP890706-0020  467 8.73476 LMwJMS_long 
51 0 AP890929-0044  468 8.73306 LMwJMS_long 
51 0 AP890411-0010  469 8.72524 LMwJMS_long 
51 0 AP891010-0171  470 8.70903 LMwJMS_long 
51 0 AP890110-0033  471 8.70550 LMwJMS_long 
51 0 AP890825-0022  472 8.70048 LMwJMS_long 
51 0 AP890612-0134  473 8.69955 LMwJMS_long 
51 0 AP890727-0268  474 8.69914 LMwJMS_long 
51 0 AP890306-0081  475 8.69425 LMwJMS_long 
51 0 AP890714-0233  476 8.69421 LMwJMS_long 
51 0 AP890113-0185  477 8.69040 LMwJMS_long 
51 0 AP890123-0020  478 8.68131 LMwJMS_long 
51 0 AP891208-0192  479 8.68041 LMwJMS_long 
51 0 AP891002-0261  480 8.67162 LMwJMS_long 
51 0 AP890317-0055  481 8.66729 LMwJMS_long 
