51 0 AP890908-0222    1 0.95151 VSM_short 
51 0 AP890619-0259  233 0.14498 VSM_short 
51 0 AP890624-0007  234 0.14498 VSM_short 
51 0 AP890627-0100  235 0.14498 VSM_short 
51 0 AP890717-0014  236 0.14498 VSM_short 
51 0 AP890907-0273  237 0.14498 VSM_short 
51 0 AP890914-0041  238 0.14498 VSM_short 
51 0 AP890920-0049  239 0.14498 VSM_short 
51 0 AP890928-0135  240 0.14498 VSM_short 
51 0 AP890929-0181  241 0.14498 VSM_short 
51 0 AP891013-0069  242 0.14498 VSM_short 
51 0 AP891129-0178  243 0.14498 VSM_short 
51 0 AP891217-0040  244 0.14498 VSM_short 
51 0 AP890112-0007  245 0.13951 VSM_short 
51 0 AP890117-0087  246 0.13951 VSM_short 
51 0 AP890131-0178  247 0.13951 VSM_short 
51 0 AP890207-0133  248 0.13951 VSM_short 
51 0 AP890210-0048  249 0.13951 VSM_short 
51 0 AP890301-0257  250 0.13951 VSM_short 
51 0 AP890307-0140  251 0.13951 VSM_short 
51 0 AP890329-0255  252 0.13951 VSM_short 
51 0 AP890413-0014  253 0.13951 VSM_short 
51 0 AP890427-0275  254 0.13951 VSM_short 
51 0 AP890503-0254  255 0.13951 VSM_short 
51 0 AP890601-0260  256 0.13951 VSM_short 
51 0 AP890626-0112  257 0.13951 VSM_short 
51 0 AP890704-0174  258 0.13951 VSM_short 
51 0 AP890724-0005  259 0.13951 VSM_short 
51 0 AP890724-0067  260 0.13951 VSM_short 
51 0 AP890726-0019  261 0.13951 VSM_short 
51 0 AP890802-0237  262 0.13951 VSM_short 
51 0 AP890901-0071  263 0.13951 VSM_short 
51 0 AP890906-0116  264 0.13951 VSM_short 
51 0 AP891002-0120  265 0.13951 VSM_short 
51 0 AP891005-0128  266 0.13951 VSM_short 
51 0 AP891009-0123  267 0.13951 VSM_short 
51 0 AP891109-0201  268 0.13951 VSM_short 
51 0 AP891111-0084  269 0.13951 VSM_short 
51 0 AP891208-0263  270 0.13951 VSM_short 
51 0 AP890110-0048  271 0.13811 VSM_short 
51 0 AP890125-0184  272 0.13811 VSM_short 
51 0 AP890125-0185  273 0.13811 VSM_short 
51 0 AP890131-0123  274 0.13811 VSM_short 
51 0 AP890217-0022  275 0.13811 VSM_short 
51 0 AP890425-0029  276 0.13811 VSM_short 
51 0 AP890502-0207  277 0.13811 VSM_short 
51 0 AP890509-0155  278 0.13811 VSM_short 
51 0 AP890512-0039  279 0.13811 VSM_short 
51 0 AP890518-0116  280 0.13811 VSM_short 
51 0 AP890525-0163  281 0.13811 VSM_short 
51 0 AP890619-0026  282 0.13811 VSM_short 
51 0 AP890624-0023  283 0.13811 VSM_short 
51 0 AP890726-0269  284 0.13811 VSM_short 
51 0 AP890727-0192  285 0.13811 VSM_short 
51 0 AP890802-0097  286 0.13811 VSM_short 
51 0 AP890805-0010  287 0.13811 VSM_short 
51 0 AP890927-0152  288 0.13811 VSM_short 
51 0 AP891004-0135  289 0.13811 VSM_short 
51 0 AP891024-0197  290 0.13811 VSM_short 
51 0 AP891122-0035  291 0.13811 VSM_short 
51 0 AP891122-0148  292 0.13811 VSM_short 
51 0 AP891219-0166  293 0.13811 VSM_short 
51 0 AP890103-0117  294 0.12943 VSM_short 
51 0 AP890112-0126  295 0.12943 VSM_short 
51 0 AP890112-0243  296 0.12943 VSM_short 
51 0 AP890117-0252  297 0.12943 VSM_short 
51 0 AP890207-0240  298 0.12943 VSM_short 
51 0 AP890207-0251  299 0.12943 VSM_short 
51 0 AP890208-0146  300 0.12943 VSM_short 
51 0 AP890211-0169  301 0.12943 VSM_short 
51 0 AP890306-0253  302 0.12943 VSM_short 
51 0 AP890411-0191  303 0.12943 VSM_short 
51 0 AP890427-0258  304 0.12943 VSM_short 
51 0 AP890518-0101  305 0.12943 VSM_short 
51 0 AP890519-0140  306 0.12943 VSM_short 
51 0 AP890607-0086  307 0.12943 VSM_short 
51 0 AP890623-0269  308 0.12943 VSM_short 
51 0 AP890720-0240  309 0.12943 VSM_short 
51 0 AP890803-0196  310 0.12943 VSM_short 
51 0 AP890804-0141  311 0.12943 VSM_short 
51 0 AP890816-0029  312 0.12943 VSM_short 
51 0 AP890816-0147  313 0.12943 VSM_short 
51 0 AP891002-0137  314 0.12943 VSM_short 
51 0 AP891002-0339  315 0.12943 VSM_short 
51 0 AP891013-0165  316 0.12943 VSM_short 
51 0 AP891101-0042  317 0.12943 VSM_short 
51 0 AP891116-0258  318 0.12943 VSM_short 
51 0 AP891121-0110  319 0.12943 VSM_short 
51 0 AP891129-0271  320 0.12943 VSM_short 
51 0 AP891219-0213  321 0.12943 VSM_short 
51 0 AP891222-0290  322 0.12943 VSM_short 
51 0 AP890521-0093  323 0.12478 VSM_short 
51 0 AP890323-0016  324 0.12082 VSM_short 
51 0 AP890428-0224  325 0.12082 VSM_short 
51 0 AP890526-0152  326 0.12082 VSM_short 
51 0 AP890623-0029  327 0.12082 VSM_short 
51 0 AP890628-0021  328 0.12082 VSM_short 
51 0 AP890808-0010  329 0.12082 VSM_short 
51 0 AP890919-0084  330 0.12082 VSM_short 
51 0 AP890920-0009  331 0.12082 VSM_short 
51 0 AP891004-0231  332 0.12082 VSM_short 
51 0 AP891018-0047  333 0.12082 VSM_short 
51 0 AP891112-0040  334 0.12082 VSM_short 
51 0 AP891129-0157  335 0.12082 VSM_short 
51 0 AP891206-0009  336 0.12082 VSM_short 
51 0 AP891208-0020  337 0.12082 VSM_short 
51 0 AP891221-0118  338 0.12082 VSM_short 
51 0 AP891221-0129  339 0.12082 VSM_short 
51 0 AP890109-0007  340 0.11838 VSM_short 
51 0 AP890109-0098  341 0.11838 VSM_short 
51 0 AP890109-0187  342 0.11838 VSM_short 
51 0 AP890110-0033  343 0.11838 VSM_short 
51 0 AP890114-0004  344 0.11838 VSM_short 
51 0 AP890126-0243  345 0.11838 VSM_short 
51 0 AP890411-0011  346 0.11838 VSM_short 
51 0 AP890420-0016  347 0.11838 VSM_short 
51 0 AP890427-0195  348 0.11838 VSM_short 
51 0 AP890525-0093  349 0.11838 VSM_short 
51 0 AP890526-0012  350 0.11838 VSM_short 
51 0 AP890605-0085  351 0.11838 VSM_short 
51 0 AP890615-0177  352 0.11838 VSM_short 
51 0 AP890622-0003  353 0.11838 VSM_short 
51 0 AP890628-0169  354 0.11838 VSM_short 
51 0 AP890712-0032  355 0.11838 VSM_short 
51 0 AP890715-0053  356 0.11838 VSM_short 
51 0 AP890725-0269  357 0.11838 VSM_short 
51 0 AP890726-0130  358 0.11838 VSM_short 
51 0 AP890807-0163  359 0.11838 VSM_short 
51 0 AP890905-0132  360 0.11838 VSM_short 
51 0 AP890913-0036  361 0.11838 VSM_short 
51 0 AP890921-0158  362 0.11838 VSM_short 
51 0 AP890927-0025  363 0.11838 VSM_short 
51 0 AP890930-0029  364 0.11838 VSM_short 
51 0 AP891010-0009  365 0.11838 VSM_short 
51 0 AP891014-0013  366 0.11838 VSM_short 
51 0 AP891102-0199  367 0.11838 VSM_short 
51 0 AP891110-0213  368 0.11838 VSM_short 
51 0 AP891129-0234  369 0.11838 VSM_short 
51 0 AP891204-0277  370 0.11838 VSM_short 
51 0 AP891207-0179  371 0.11838 VSM_short 
51 0 AP891212-0198  372 0.11838 VSM_short 
51 0 AP890102-0116  373 0.11161 VSM_short 
51 0 AP890108-0009  374 0.11161 VSM_short 
51 0 AP890109-0100  375 0.11161 VSM_short 
51 0 AP890110-0178  376 0.11161 VSM_short 
51 0 AP890110-0197  377 0.11161 VSM_short 
51 0 AP890111-0166  378 0.11161 VSM_short 
51 0 AP890118-0078  379 0.11161 VSM_short 
51 0 AP890127-0163  380 0.11161 VSM_short 
51 0 AP890130-0234  381 0.11161 VSM_short 
51 0 AP890209-0158  382 0.11161 VSM_short 
51 0 AP890215-0002  383 0.11161 VSM_short 
51 0 AP890224-0128  384 0.11161 VSM_short 
51 0 AP890228-0134  385 0.11161 VSM_short 
51 0 AP890314-0027  386 0.11161 VSM_short 
51 0 AP890320-0144  387 0.11161 VSM_short 
51 0 AP890322-0212  388 0.11161 VSM_short 
51 0 AP890327-0138  389 0.11161 VSM_short 
51 0 AP890403-0048  390 0.11161 VSM_short 
51 0 AP890404-0155  391 0.11161 VSM_short 
51 0 AP890407-0231  392 0.11161 VSM_short 
51 0 AP890416-0036  393 0.11161 VSM_short 
51 0 AP890503-0307  394 0.11161 VSM_short 
51 0 AP890510-0266  395 0.11161 VSM_short 
51 0 AP890515-0141  396 0.11161 VSM_short 
51 0 AP890614-0129  397 0.11161 VSM_short 
51 0 AP890614-0132  398 0.11161 VSM_short 
51 0 AP890623-0158  399 0.11161 VSM_short 
51 0 AP890628-0040  400 0.11161 VSM_short 
51 0 AP890628-0214  401 0.11161 VSM_short 
51 0 AP890630-0178  402 0.11161 VSM_short 
51 0 AP890703-0007  403 0.11161 VSM_short 
51 0 AP890711-0050  404 0.11161 VSM_short 
51 0 AP890711-0112  405 0.11161 VSM_short 
51 0 AP890711-0135  406 0.11161 VSM_short 
51 0 AP890719-0241  407 0.11161 VSM_short 
51 0 AP890720-0027  408 0.11161 VSM_short 
51 0 AP890803-0159  409 0.11161 VSM_short 
51 0 AP890804-0075  410 0.11161 VSM_short 
51 0 AP890808-0172  411 0.11161 VSM_short 
51 0 AP890809-0195  412 0.11161 VSM_short 
51 0 AP890811-0144  413 0.11161 VSM_short 
51 0 AP890823-0173  414 0.11161 VSM_short 
51 0 AP890829-0186  415 0.11161 VSM_short 
51 0 AP890901-0221  416 0.11161 VSM_short 
51 0 AP890922-0024  417 0.11161 VSM_short 
51 0 AP890923-0004  418 0.11161 VSM_short 
51 0 AP890927-0158  419 0.11161 VSM_short 
51 0 AP890928-0186  420 0.11161 VSM_short 
51 0 AP890928-0202  421 0.11161 VSM_short 
51 0 AP891003-0186  422 0.11161 VSM_short 
51 0 AP891012-0047  423 0.11161 VSM_short 
51 0 AP891012-0312  424 0.11161 VSM_short 
51 0 AP891013-0068  425 0.11161 VSM_short 
51 0 AP891023-0137  426 0.11161 VSM_short 
51 0 AP891025-0252  427 0.11161 VSM_short 
51 0 AP891101-0033  428 0.11161 VSM_short 
51 0 AP891102-0020  429 0.11161 VSM_short 
51 0 AP891110-0064  430 0.11161 VSM_short 
51 0 AP891111-0009  431 0.11161 VSM_short 
51 0 AP891111-0010  432 0.11161 VSM_short 
51 0 AP891113-0165  433 0.11161 VSM_short 
51 0 AP891115-0136  434 0.11161 VSM_short 
51 0 AP891122-0216  435 0.11161 VSM_short 
51 0 AP891206-0199  436 0.11161 VSM_short 
51 0 AP891207-0233  437 0.11161 VSM_short 
51 0 AP891211-0178  438 0.11161 VSM_short 
51 0 AP891211-0314  439 0.11161 VSM_short 
51 0 AP891220-0110  440 0.11161 VSM_short 
51 0 AP890107-0160  441 0.10786 VSM_short 
51 0 AP890111-0078  442 0.10786 VSM_short 
51 0 AP890111-0217  443 0.10786 VSM_short 
51 0 AP890201-0003  444 0.10786 VSM_short 
51 0 AP890305-0051  445 0.10786 VSM_short 
51 0 AP890322-0331  446 0.10786 VSM_short 
51 0 AP890323-0256  447 0.10786 VSM_short 
51 0 AP890329-0213  448 0.10786 VSM_short 
51 0 AP890407-0321  449 0.10786 VSM_short 
51 0 AP890413-0243  450 0.10786 VSM_short 
51 0 AP890419-0224  451 0.10786 VSM_short 
51 0 AP890425-0251  452 0.10786 VSM_short 
51 0 AP890427-0238  453 0.10786 VSM_short 
51 0 AP890511-0222  454 0.10786 VSM_short 
51 0 AP890519-0268  455 0.10786 VSM_short 
51 0 AP890602-0272  456 0.10786 VSM_short 
51 0 AP890603-0150  457 0.10786 VSM_short 
51 0 AP890617-0120  458 0.10786 VSM_short 
51 0 AP890621-0238  459 0.10786 VSM_short 
51 0 AP890626-0236  460 0.10786 VSM_short 
51 0 AP890719-0295  461 0.10786 VSM_short 
51 0 AP890722-0154  462 0.10786 VSM_short 
51 0 AP890727-0042  463 0.10786 VSM_short 
51 0 AP890810-0244  464 0.10786 VSM_short 
51 0 AP890811-0205  465 0.10786 VSM_short 
51 0 AP890818-0180  466 0.10786 VSM_short 
51 0 AP890823-0072  467 0.10786 VSM_short 
51 0 AP890920-0131  468 0.10786 VSM_short 
51 0 AP891011-0275  469 0.10786 VSM_short 
51 0 AP891117-0207  470 0.10786 VSM_short 
51 0 AP891118-0182  471 0.10786 VSM_short 
51 0 AP891207-0246  472 0.10786 VSM_short 
51 0 AP891208-0227  473 0.10786 VSM_short 
51 0 AP890108-0096  474 0.09865 VSM_short 
51 0 AP890111-0138  475 0.09865 VSM_short 
51 0 AP890127-0165  476 0.09865 VSM_short 
51 0 AP890131-0097  477 0.09865 VSM_short 
51 0 AP890202-0195  478 0.09865 VSM_short 
51 0 AP890221-0003  479 0.09865 VSM_short 
51 0 AP890303-0040  480 0.09865 VSM_short 
51 0 AP890304-0074  481 0.09865 VSM_short 
51 0 AP890322-0114  482 0.09865 VSM_short 
51 0 AP890410-0049  483 0.09865 VSM_short 
51 0 AP890418-0315  484 0.09865 VSM_short 
51 0 AP890419-0026  485 0.09865 VSM_short 
51 0 AP890426-0083  486 0.09865 VSM_short 
51 0 AP890427-0259  487 0.09865 VSM_short 
51 0 AP890512-0222  488 0.09865 VSM_short 
51 0 AP890606-0169  489 0.09865 VSM_short 
51 0 AP890612-0008  490 0.09865 VSM_short 
51 0 AP890615-0232  491 0.09865 VSM_short 
51 0 AP890621-0107  492 0.09865 VSM_short 
51 0 AP890623-0279  493 0.09865 VSM_short 
51 0 AP890624-0045  494 0.09865 VSM_short 
51 0 AP890628-0187  495 0.09865 VSM_short 
51 0 AP890704-0088  496 0.09865 VSM_short 
51 0 AP890710-0252  497 0.09865 VSM_short 
51 0 AP890711-0155  498 0.09865 VSM_short 
51 0 AP890713-0014  499 0.09865 VSM_short 
51 0 AP890725-0183  500 0.09865 VSM_short 
51 0 AP890801-0149  501 0.09865 VSM_short 
51 0 AP890802-0203  502 0.09865 VSM_short 
51 0 AP890819-0020  503 0.09865 VSM_short 
51 0 AP890901-0172  504 0.09865 VSM_short 
51 0 AP890905-0017  505 0.09865 VSM_short 
51 0 AP890917-0002  506 0.09865 VSM_short 
51 0 AP891004-0025  507 0.09865 VSM_short 
51 0 AP891006-0017  508 0.09865 VSM_short 
51 0 AP891110-0196  509 0.09865 VSM_short 
51 0 AP891116-0209  510 0.09865 VSM_short 
51 0 AP891124-0188  511 0.09865 VSM_short 
51 0 AP891129-0240  512 0.09865 VSM_short 
51 0 AP891212-0080  513 0.09865 VSM_short 
51 0 AP891214-0023  514 0.09865 VSM_short 
51 0 AP891218-0128  515 0.09865 VSM_short 
51 0 AP890104-0147  516 0.09766 VSM_short 
51 0 AP890105-0168  517 0.09766 VSM_short 
51 0 AP890109-0074  518 0.09766 VSM_short 
51 0 AP890109-0084  519 0.09766 VSM_short 
51 0 AP890109-0191  520 0.09766 VSM_short 
51 0 AP890111-0015  521 0.09766 VSM_short 
51 0 AP890117-0157  522 0.09766 VSM_short 
51 0 AP890118-0248  523 0.09766 VSM_short 
51 0 AP890119-0006  524 0.09766 VSM_short 
51 0 AP890119-0193  525 0.09766 VSM_short 
51 0 AP890124-0161  526 0.09766 VSM_short 
51 0 AP890127-0162  527 0.09766 VSM_short 
51 0 AP890129-0060  528 0.09766 VSM_short 
51 0 AP890130-0133  529 0.09766 VSM_short 
51 0 AP890130-0207  530 0.09766 VSM_short 
51 0 AP890131-0281  531 0.09766 VSM_short 
51 0 AP890202-0156  532 0.09766 VSM_short 
51 0 AP890210-0075  533 0.09766 VSM_short 
51 0 AP890212-0094  534 0.09766 VSM_short 
51 0 AP890216-0029  535 0.09766 VSM_short 
51 0 AP890216-0120  536 0.09766 VSM_short 
51 0 AP890301-0039  537 0.09766 VSM_short 
