51 0 AP890503-0279    1 0.26778 TREC_short 
149 0 AP891024-0145   99 0.04303 TREC_short 
150 0 AP891128-0218  100 0.04303 TREC_short 
151 0 AP891129-0025  101 0.04303 TREC_short 
152 0 AP891218-0055  102 0.04303 TREC_short 
153 0 AP890918-0116  103 0.04303 TREC_short 
154 0 AP890705-0196  104 0.04224 TREC_short 
155 0 AP891030-0178  105 0.04217 TREC_short 
156 0 AP890317-0131  106 0.04217 TREC_short 
157 0 AP890119-0027  107 0.04217 TREC_short 
158 0 AP891219-0192  108 0.04217 TREC_short 
159 0 AP890419-0189  109 0.04217 TREC_short 
160 0 AP890914-0069  110 0.04217 TREC_short 
161 0 AP890522-0084  111 0.04131 TREC_short 
162 0 AP891018-0037  112 0.04131 TREC_short 
163 0 AP891030-0194  113 0.04131 TREC_short 
164 0 AP890605-0084  114 0.04131 TREC_short 
165 0 AP890606-0044  115 0.04131 TREC_short 
166 0 AP891110-0023  116 0.04131 TREC_short 
167 0 AP890210-0202  117 0.04131 TREC_short 
168 0 AP890330-0021  118 0.04131 TREC_short 
169 0 AP890115-0012  119 0.04131 TREC_short 
170 0 AP890108-0094  120 0.04131 TREC_short 
171 0 AP890109-0144  121 0.04131 TREC_short 
172 0 AP890427-0221  122 0.04131 TREC_short 
173 0 AP890110-0016  123 0.04131 TREC_short 
174 0 AP890907-0159  124 0.04131 TREC_short 
175 0 AP890506-0006  125 0.04131 TREC_short 
176 0 AP891002-0261  126 0.04131 TREC_short 
177 0 AP891003-0060  127 0.04131 TREC_short 
178 0 AP891006-0104  128 0.04131 TREC_short 
179 0 AP890901-0154  129 0.04017 TREC_short 
180 0 AP890310-0265  130 0.03719 TREC_short 
181 0 AP890206-0170  131 0.03719 TREC_short 
182 0 AP891120-0065  132 0.03719 TREC_short 
183 0 AP890327-0161  133 0.03719 TREC_short 
184 0 AP890701-0050  134 0.03719 TREC_short 
185 0 AP890125-0094  135 0.03719 TREC_short 
186 0 AP890723-0009  136 0.03719 TREC_short 
187 0 AP890418-0241  137 0.03719 TREC_short 
188 0 AP890223-0299  138 0.03719 TREC_short 
189 0 AP890117-0018  139 0.03719 TREC_short 
190 0 AP890911-0278  140 0.03719 TREC_short 
191 0 AP890204-0175  141 0.03672 TREC_short 
192 0 AP890313-0233  142 0.03672 TREC_short 
193 0 AP891026-0232  143 0.03672 TREC_short 
194 0 AP890110-0165  144 0.03672 TREC_short 
195 0 AP890607-0108  145 0.03672 TREC_short 
196 0 AP891117-0018  146 0.03672 TREC_short 
197 0 AP890122-0100  147 0.03672 TREC_short 
198 0 AP891215-0125  148 0.03672 TREC_short 
199 0 AP891219-0108  149 0.03672 TREC_short 
200 0 AP890627-0148  150 0.03672 TREC_short 
201 0 AP890104-0279  151 0.03672 TREC_short 
202 0 AP890405-0282  152 0.03672 TREC_short 
203 0 AP890408-0097  153 0.03672 TREC_short 
204 0 AP890103-0010  154 0.03672 TREC_short 
205 0 AP890223-0164  155 0.03672 TREC_short 
206 0 AP890223-0281  156 0.03672 TREC_short 
207 0 AP890812-0133  157 0.03672 TREC_short 
208 0 AP890227-0132  158 0.03672 TREC_short 
209 0 AP890301-0211  159 0.03672 TREC_short 
210 0 AP890504-0182  160 0.03672 TREC_short 
211 0 AP890302-0175  161 0.03672 TREC_short 
212 0 AP890702-0030  162 0.03645 TREC_short 
213 0 AP890914-0250  163 0.03645 TREC_short 
214 0 AP890519-0076  164 0.03645 TREC_short 
215 0 AP891027-0233  165 0.03586 TREC_short 
216 0 AP890811-0028  166 0.03586 TREC_short 
217 0 AP890207-0230  167 0.03570 TREC_short 
218 0 AP890518-0275  168 0.03405 TREC_short 
219 0 AP890127-0117  169 0.03228 TREC_short 
220 0 AP891013-0069  170 0.03098 TREC_short 
221 0 AP890608-0149  171 0.03098 TREC_short 
222 0 AP890614-0249  172 0.03098 TREC_short 
223 0 AP891129-0178  173 0.03098 TREC_short 
224 0 AP890619-0259  174 0.03098 TREC_short 
225 0 AP891217-0040  175 0.03098 TREC_short 
226 0 AP890624-0007  176 0.03098 TREC_short 
227 0 AP890627-0100  177 0.03098 TREC_short 
228 0 AP890329-0113  178 0.03098 TREC_short 
229 0 AP890404-0239  179 0.03098 TREC_short 
230 0 AP890717-0014  180 0.03098 TREC_short 
231 0 AP890428-0054  181 0.03098 TREC_short 
232 0 AP890130-0021  182 0.03098 TREC_short 
233 0 AP890428-0191  183 0.03098 TREC_short 
234 0 AP890907-0273  184 0.03098 TREC_short 
235 0 AP890914-0041  185 0.03098 TREC_short 
236 0 AP890920-0049  186 0.03098 TREC_short 
237 0 AP890928-0135  187 0.03098 TREC_short 
238 0 AP890929-0181  188 0.03098 TREC_short 
239 0 AP891009-0123  189 0.02869 TREC_short 
240 0 AP890601-0260  190 0.02869 TREC_short 
241 0 AP890207-0133  191 0.02869 TREC_short 
242 0 AP891109-0201  192 0.02869 TREC_short 
243 0 AP891111-0084  193 0.02869 TREC_short 
244 0 AP890210-0048  194 0.02869 TREC_short 
245 0 AP891208-0263  195 0.02869 TREC_short 
246 0 AP890112-0007  196 0.02869 TREC_short 
247 0 AP890626-0112  197 0.02869 TREC_short 
248 0 AP890329-0255  198 0.02869 TREC_short 
249 0 AP890704-0174  199 0.02869 TREC_short 
250 0 AP890413-0014  200 0.02869 TREC_short 
251 0 AP890724-0005  201 0.02869 TREC_short 
252 0 AP890724-0067  202 0.02869 TREC_short 
253 0 AP890726-0019  203 0.02869 TREC_short 
254 0 AP890802-0237  204 0.02869 TREC_short 
255 0 AP890427-0275  205 0.02869 TREC_short 
256 0 AP890901-0071  206 0.02869 TREC_short 
257 0 AP890301-0257  207 0.02869 TREC_short 
258 0 AP890906-0116  208 0.02869 TREC_short 
259 0 AP890503-0254  209 0.02869 TREC_short 
260 0 AP890117-0087  210 0.02869 TREC_short 
261 0 AP890131-0178  211 0.02869 TREC_short 
262 0 AP890307-0140  212 0.02869 TREC_short 
263 0 AP891002-0120  213 0.02869 TREC_short 
264 0 AP891005-0128  214 0.02869 TREC_short 
265 0 AP890525-0163  215 0.02812 TREC_short 
266 0 AP891024-0197  216 0.02812 TREC_short 
267 0 AP891122-0035  217 0.02812 TREC_short 
268 0 AP891122-0148  218 0.02812 TREC_short 
269 0 AP890619-0026  219 0.02812 TREC_short 
270 0 AP890624-0023  220 0.02812 TREC_short 
271 0 AP891219-0166  221 0.02812 TREC_short 
272 0 AP890217-0022  222 0.02812 TREC_short 
273 0 AP890125-0185  223 0.02812 TREC_short 
274 0 AP890125-0184  224 0.02812 TREC_short 
275 0 AP890726-0269  225 0.02812 TREC_short 
276 0 AP890727-0192  226 0.02812 TREC_short 
277 0 AP890802-0097  227 0.02812 TREC_short 
278 0 AP890805-0010  228 0.02812 TREC_short 
279 0 AP890425-0029  229 0.02812 TREC_short 
280 0 AP890502-0207  230 0.02812 TREC_short 
281 0 AP890131-0123  231 0.02812 TREC_short 
282 0 AP890509-0155  232 0.02812 TREC_short 
283 0 AP890512-0039  233 0.02812 TREC_short 
284 0 AP890927-0152  234 0.02812 TREC_short 
285 0 AP890110-0048  235 0.02812 TREC_short 
286 0 AP891004-0135  236 0.02812 TREC_short 
287 0 AP890518-0116  237 0.02812 TREC_short 
288 0 AP891101-0286  238 0.02789 TREC_short 
289 0 AP890418-0312  239 0.02789 TREC_short 
290 0 AP890110-0304  240 0.02678 TREC_short 
291 0 AP890703-0072  241 0.02678 TREC_short 
292 0 AP890703-0134  242 0.02678 TREC_short 
293 0 AP890413-0262  243 0.02678 TREC_short 
294 0 AP890418-0290  244 0.02678 TREC_short 
295 0 AP890105-0233  245 0.02678 TREC_short 
296 0 AP890823-0099  246 0.02678 TREC_short 
297 0 AP890206-0237  247 0.02380 TREC_short 
298 0 AP890609-0270  248 0.02380 TREC_short 
299 0 AP890207-0277  249 0.02380 TREC_short 
300 0 AP890613-0247  250 0.02380 TREC_short 
301 0 AP890208-0268  251 0.02380 TREC_short 
302 0 AP890614-0287  252 0.02380 TREC_short 
303 0 AP890209-0229  253 0.02380 TREC_short 
304 0 AP890323-0197  254 0.02380 TREC_short 
305 0 AP891209-0045  255 0.02380 TREC_short 
306 0 AP890707-0114  256 0.02380 TREC_short 
307 0 AP890406-0263  257 0.02380 TREC_short 
308 0 AP890714-0212  258 0.02380 TREC_short 
309 0 AP890723-0061  259 0.02380 TREC_short 
310 0 AP890724-0045  260 0.02380 TREC_short 
311 0 AP890223-0276  261 0.02380 TREC_short 
312 0 AP890224-0066  262 0.02380 TREC_short 
313 0 AP890128-0159  263 0.02380 TREC_short 
314 0 AP890428-0002  264 0.02380 TREC_short 
315 0 AP890906-0311  265 0.02380 TREC_short 
316 0 AP890504-0256  266 0.02380 TREC_short 
317 0 AP890306-0244  267 0.02380 TREC_short 
318 0 AP890516-0077  268 0.02380 TREC_short 
319 0 AP890520-0011  269 0.02372 TREC_short 
320 0 AP890127-0155  270 0.02372 TREC_short 
321 0 AP890521-0093  271 0.02295 TREC_short 
322 0 AP891018-0047  272 0.02152 TREC_short 
323 0 AP890526-0152  273 0.02152 TREC_short 
324 0 AP891112-0040  274 0.02152 TREC_short 
325 0 AP890323-0016  275 0.02152 TREC_short 
326 0 AP891129-0157  276 0.02152 TREC_short 
327 0 AP891206-0009  277 0.02152 TREC_short 
328 0 AP891208-0020  278 0.02152 TREC_short 
329 0 AP890623-0029  279 0.02152 TREC_short 
330 0 AP891221-0118  280 0.02152 TREC_short 
331 0 AP891221-0129  281 0.02152 TREC_short 
332 0 AP890628-0021  282 0.02152 TREC_short 
333 0 AP890808-0010  283 0.02152 TREC_short 
334 0 AP890428-0224  284 0.02152 TREC_short 
335 0 AP890919-0084  285 0.02152 TREC_short 
336 0 AP890920-0009  286 0.02152 TREC_short 
337 0 AP891004-0231  287 0.02152 TREC_short 
338 0 AP891010-0009  288 0.02066 TREC_short 
339 0 AP891014-0013  289 0.02066 TREC_short 
340 0 AP890525-0093  290 0.02066 TREC_short 
341 0 AP890526-0012  291 0.02066 TREC_short 
342 0 AP891102-0199  292 0.02066 TREC_short 
343 0 AP890605-0085  293 0.02066 TREC_short 
344 0 AP891110-0213  294 0.02066 TREC_short 
345 0 AP890615-0177  295 0.02066 TREC_short 
346 0 AP891129-0234  296 0.02066 TREC_short 
347 0 AP891204-0277  297 0.02066 TREC_short 
348 0 AP891207-0179  298 0.02066 TREC_short 
349 0 AP890622-0003  299 0.02066 TREC_short 
350 0 AP891212-0198  300 0.02066 TREC_short 
351 0 AP890628-0169  301 0.02066 TREC_short 
352 0 AP890712-0032  302 0.02066 TREC_short 
353 0 AP890715-0053  303 0.02066 TREC_short 
354 0 AP890411-0011  304 0.02066 TREC_short 
355 0 AP890725-0269  305 0.02066 TREC_short 
356 0 AP890726-0130  306 0.02066 TREC_short 
357 0 AP890114-0004  307 0.02066 TREC_short 
358 0 AP890109-0007  308 0.02066 TREC_short 
359 0 AP890126-0243  309 0.02066 TREC_short 
360 0 AP890420-0016  310 0.02066 TREC_short 
361 0 AP890807-0163  311 0.02066 TREC_short 
362 0 AP890109-0098  312 0.02066 TREC_short 
363 0 AP890427-0195  313 0.02066 TREC_short 
364 0 AP890109-0187  314 0.02066 TREC_short 
365 0 AP890905-0132  315 0.02066 TREC_short 
366 0 AP890913-0036  316 0.02066 TREC_short 
367 0 AP890921-0158  317 0.02066 TREC_short 
368 0 AP890110-0033  318 0.02066 TREC_short 
369 0 AP890927-0025  319 0.02066 TREC_short 
370 0 AP890930-0029  320 0.02066 TREC_short 
371 0 AP890217-0158  321 0.01860 TREC_short 
372 0 AP890419-0227  322 0.01860 TREC_short 
373 0 AP890929-0096  323 0.01860 TREC_short 
374 0 AP890517-0089  324 0.01860 TREC_short 
375 0 AP891006-0222  325 0.01860 TREC_short 
376 0 AP891012-0047  326 0.01836 TREC_short 
377 0 AP891012-0312  327 0.01836 TREC_short 
378 0 AP891013-0068  328 0.01836 TREC_short 
379 0 AP890110-0197  329 0.01836 TREC_short 
380 0 AP890314-0027  330 0.01836 TREC_short 
381 0 AP891023-0137  331 0.01836 TREC_short 
382 0 AP891025-0252  332 0.01836 TREC_short 
383 0 AP890110-0178  333 0.01836 TREC_short 
384 0 AP891101-0033  334 0.01836 TREC_short 
385 0 AP891102-0020  335 0.01836 TREC_short 
386 0 AP891110-0064  336 0.01836 TREC_short 
387 0 AP891111-0009  337 0.01836 TREC_short 
388 0 AP891111-0010  338 0.01836 TREC_short 
389 0 AP891113-0165  339 0.01836 TREC_short 
390 0 AP890320-0144  340 0.01836 TREC_short 
391 0 AP891115-0136  341 0.01836 TREC_short 
392 0 AP891122-0216  342 0.01836 TREC_short 
393 0 AP890209-0158  343 0.01836 TREC_short 
394 0 AP890614-0129  344 0.01836 TREC_short 
395 0 AP890614-0132  345 0.01836 TREC_short 
396 0 AP890322-0212  346 0.01836 TREC_short 
397 0 AP890111-0166  347 0.01836 TREC_short 
398 0 AP891206-0199  348 0.01836 TREC_short 
399 0 AP891207-0233  349 0.01836 TREC_short 
400 0 AP891211-0178  350 0.01836 TREC_short 
401 0 AP891211-0314  351 0.01836 TREC_short 
402 0 AP890327-0138  352 0.01836 TREC_short 
403 0 AP890623-0158  353 0.01836 TREC_short 
404 0 AP891220-0110  354 0.01836 TREC_short 
405 0 AP890628-0040  355 0.01836 TREC_short 
406 0 AP890628-0214  356 0.01836 TREC_short 
407 0 AP890403-0048  357 0.01836 TREC_short 
408 0 AP890630-0178  358 0.01836 TREC_short 
409 0 AP890703-0007  359 0.01836 TREC_short 
410 0 AP890404-0155  360 0.01836 TREC_short 
411 0 AP890215-0002  361 0.01836 TREC_short 
412 0 AP890711-0050  362 0.01836 TREC_short 
413 0 AP890711-0112  363 0.01836 TREC_short 
414 0 AP890711-0135  364 0.01836 TREC_short 
415 0 AP890407-0231  365 0.01836 TREC_short 
416 0 AP890719-0241  366 0.01836 TREC_short 
417 0 AP890720-0027  367 0.01836 TREC_short 
418 0 AP890108-0009  368 0.01836 TREC_short 
419 0 AP890416-0036  369 0.01836 TREC_short 
420 0 AP890803-0159  370 0.01836 TREC_short 
421 0 AP890804-0075  371 0.01836 TREC_short 
422 0 AP890808-0172  372 0.01836 TREC_short 
423 0 AP890809-0195  373 0.01836 TREC_short 
424 0 AP890127-0163  374 0.01836 TREC_short 
425 0 AP890811-0144  375 0.01836 TREC_short 
426 0 AP890224-0128  376 0.01836 TREC_short 
427 0 AP890109-0100  377 0.01836 TREC_short 
428 0 AP890823-0173  378 0.01836 TREC_short 
429 0 AP890228-0134  379 0.01836 TREC_short 
430 0 AP890829-0186  380 0.01836 TREC_short 
431 0 AP890901-0221  381 0.01836 TREC_short 
432 0 AP890130-0234  382 0.01836 TREC_short 
433 0 AP890503-0307  383 0.01836 TREC_short 
434 0 AP890510-0266  384 0.01836 TREC_short 
435 0 AP890922-0024  385 0.01836 TREC_short 
436 0 AP890923-0004  386 0.01836 TREC_short 
437 0 AP890102-0116  387 0.01836 TREC_short 
438 0 AP890118-0078  388 0.01836 TREC_short 
439 0 AP890927-0158  389 0.01836 TREC_short 
440 0 AP890515-0141  390 0.01836 TREC_short 
441 0 AP890928-0186  391 0.01836 TREC_short 
442 0 AP890928-0202  392 0.01836 TREC_short 
443 0 AP891003-0186  393 0.01836 TREC_short 
444 0 AP891017-0091  394 0.01822 TREC_short 
445 0 AP891103-0231  395 0.01822 TREC_short 
446 0 AP890608-0032  396 0.01822 TREC_short 
447 0 AP891128-0199  397 0.01822 TREC_short 
448 0 AP890619-0204  398 0.01822 TREC_short 
449 0 AP890406-0027  399 0.01822 TREC_short 
450 0 AP890719-0300  400 0.01822 TREC_short 
451 0 AP890816-0246  401 0.01822 TREC_short 
452 0 AP890426-0268  402 0.01822 TREC_short 
453 0 AP890227-0288  403 0.01822 TREC_short 
454 0 AP890228-0177  404 0.01822 TREC_short 
455 0 AP890301-0076  405 0.01822 TREC_short 
456 0 AP890131-0301  406 0.01822 TREC_short 
457 0 AP890509-0269  407 0.01822 TREC_short 
458 0 AP890511-0035  408 0.01822 TREC_short 
459 0 AP890306-0264  409 0.01822 TREC_short 
460 0 AP891002-0334  410 0.01822 TREC_short 
461 0 AP890606-0169  411 0.01434 TREC_short 
462 0 AP891110-0196  412 0.01434 TREC_short 
463 0 AP891116-0209  413 0.01434 TREC_short 
464 0 AP890111-0138  414 0.01434 TREC_short 
465 0 AP890322-0114  415 0.01434 TREC_short 
466 0 AP890612-0008  416 0.01434 TREC_short 
467 0 AP891124-0188  417 0.01434 TREC_short 
468 0 AP891129-0240  418 0.01434 TREC_short 
469 0 AP890615-0232  419 0.01434 TREC_short 
470 0 AP891212-0080  420 0.01434 TREC_short 
471 0 AP890621-0107  421 0.01434 TREC_short 
472 0 AP891214-0023  422 0.01434 TREC_short 
473 0 AP891218-0128  423 0.01434 TREC_short 
474 0 AP890624-0045  424 0.01434 TREC_short 
475 0 AP890623-0279  425 0.01434 TREC_short 
476 0 AP890628-0187  426 0.01434 TREC_short 
477 0 AP890704-0088  427 0.01434 TREC_short 
478 0 AP890710-0252  428 0.01434 TREC_short 
479 0 AP890711-0155  429 0.01434 TREC_short 
480 0 AP890713-0014  430 0.01434 TREC_short 
481 0 AP890410-0049  431 0.01434 TREC_short 
482 0 AP890725-0183  432 0.01434 TREC_short 
483 0 AP890221-0003  433 0.01434 TREC_short 
484 0 AP890801-0149  434 0.01434 TREC_short 
485 0 AP890802-0203  435 0.01434 TREC_short 
486 0 AP890108-0096  436 0.01434 TREC_short 
487 0 AP890418-0315  437 0.01434 TREC_short 
488 0 AP890419-0026  438 0.01434 TREC_short 
489 0 AP890127-0165  439 0.01434 TREC_short 
490 0 AP890819-0020  440 0.01434 TREC_short 
491 0 AP890426-0083  441 0.01434 TREC_short 
492 0 AP890427-0259  442 0.01434 TREC_short 
493 0 AP890901-0172  443 0.01434 TREC_short 
494 0 AP890905-0017  444 0.01434 TREC_short 
495 0 AP890131-0097  445 0.01434 TREC_short 
496 0 AP890303-0040  446 0.01434 TREC_short 
497 0 AP890304-0074  447 0.01434 TREC_short 
498 0 AP890917-0002  448 0.01434 TREC_short 
499 0 AP890512-0222  449 0.01434 TREC_short 
500 0 AP890202-0195  450 0.01434 TREC_short 
501 0 AP891004-0025  451 0.01434 TREC_short 
502 0 AP891006-0017  452 0.01434 TREC_short 
503 0 AP891012-0009  453 0.01406 TREC_short 
504 0 AP891012-0138  454 0.01406 TREC_short 
505 0 AP891012-0158  455 0.01406 TREC_short 
506 0 AP890119-0006  456 0.01406 TREC_short 
507 0 AP890525-0161  457 0.01406 TREC_short 
508 0 AP890313-0008  458 0.01406 TREC_short 
509 0 AP891026-0032  459 0.01406 TREC_short 
510 0 AP891029-0046  460 0.01406 TREC_short 
511 0 AP890119-0193  461 0.01406 TREC_short 
512 0 AP890316-0176  462 0.01406 TREC_short 
513 0 AP891105-0096  463 0.01406 TREC_short 
514 0 AP890605-0001  464 0.01406 TREC_short 
515 0 AP891108-0139  465 0.01406 TREC_short 
516 0 AP891108-0282  466 0.01406 TREC_short 
517 0 AP891109-0031  467 0.01406 TREC_short 
518 0 AP890111-0015  468 0.01406 TREC_short 
519 0 AP891113-0151  469 0.01406 TREC_short 
520 0 AP891114-0149  470 0.01406 TREC_short 
521 0 AP891114-0183  471 0.01406 TREC_short 
522 0 AP891115-0032  472 0.01406 TREC_short 
523 0 AP891116-0172  473 0.01406 TREC_short 
524 0 AP891130-0213  474 0.01406 TREC_short 
525 0 AP891130-0232  475 0.01406 TREC_short 
526 0 AP890616-0219  476 0.01406 TREC_short 
527 0 AP890210-0075  477 0.01406 TREC_short 
528 0 AP890619-0134  478 0.01406 TREC_short 
529 0 AP890621-0156  479 0.01406 TREC_short 
530 0 AP891213-0036  480 0.01406 TREC_short 
531 0 AP891213-0201  481 0.01406 TREC_short 
532 0 AP890622-0111  482 0.01406 TREC_short 
533 0 AP891214-0236  483 0.01406 TREC_short 
534 0 AP891219-0116  484 0.01406 TREC_short 
535 0 AP891220-0189  485 0.01406 TREC_short 
536 0 AP891221-0160  486 0.01406 TREC_short 
537 0 AP890212-0094  487 0.01406 TREC_short 
538 0 AP890629-0046  488 0.01406 TREC_short 
539 0 AP890629-0254  489 0.01406 TREC_short 
540 0 AP890124-0161  490 0.01406 TREC_short 
541 0 AP890216-0029  491 0.01406 TREC_short 
542 0 AP890406-0151  492 0.01406 TREC_short 
543 0 AP890216-0120  493 0.01406 TREC_short 
544 0 AP890407-0263  494 0.01406 TREC_short 
545 0 AP890718-0185  495 0.01406 TREC_short 
546 0 AP890104-0147  496 0.01406 TREC_short 
547 0 AP890724-0059  497 0.01406 TREC_short 
548 0 AP890724-0142  498 0.01406 TREC_short 
549 0 AP890724-0159  499 0.01406 TREC_short 
550 0 AP890727-0268  500 0.01406 TREC_short 
551 0 AP890803-0210  501 0.01406 TREC_short 
552 0 AP890805-0028  502 0.01406 TREC_short 
553 0 AP890420-0110  503 0.01406 TREC_short 
554 0 AP890127-0162  504 0.01406 TREC_short 
555 0 AP890109-0074  505 0.01406 TREC_short 
556 0 AP890814-0108  506 0.01406 TREC_short 
557 0 AP890109-0084  507 0.01406 TREC_short 
558 0 AP890425-0230  508 0.01406 TREC_short 
559 0 AP890823-0168  509 0.01406 TREC_short 
560 0 AP890129-0060  510 0.01406 TREC_short 
561 0 AP890109-0191  511 0.01406 TREC_short 
562 0 AP890829-0178  512 0.01406 TREC_short 
563 0 AP890830-0072  513 0.01406 TREC_short 
564 0 AP890830-0145  514 0.01406 TREC_short 
565 0 AP890130-0133  515 0.01406 TREC_short 
566 0 AP890301-0039  516 0.01406 TREC_short 
567 0 AP890130-0207  517 0.01406 TREC_short 
568 0 AP890301-0217  518 0.01406 TREC_short 
569 0 AP890301-0230  519 0.01406 TREC_short 
570 0 AP890302-0032  520 0.01406 TREC_short 
571 0 AP890908-0191  521 0.01406 TREC_short 
572 0 AP890131-0281  522 0.01406 TREC_short 
573 0 AP890117-0157  523 0.01406 TREC_short 
574 0 AP890510-0161  524 0.01406 TREC_short 
575 0 AP890919-0158  525 0.01406 TREC_short 
576 0 AP890105-0168  526 0.01406 TREC_short 
577 0 AP890928-0156  527 0.01406 TREC_short 
578 0 AP890308-0145  528 0.01406 TREC_short 
579 0 AP890118-0248  529 0.01406 TREC_short 
580 0 AP890308-0151  530 0.01406 TREC_short 
581 0 AP890202-0156  531 0.01406 TREC_short 
582 0 AP891004-0109  532 0.01406 TREC_short 
583 0 AP890518-0201  533 0.01406 TREC_short 
584 0 AP891005-0250  534 0.01406 TREC_short 
585 0 AP890518-0243  535 0.01406 TREC_short 
586 0 AP891007-0099  536 0.01406 TREC_short 
587 0 AP890713-0026  537 0.01377 TREC_short 
