51 0 AP890908-0222    1 42.33588 BM25_long 
51 0 AP890817-0220  128 20.07151 BM25_long 
51 0 AP890617-0120  129 19.95119 BM25_long 
51 0 AP890720-0240  130 19.86994 BM25_long 
51 0 AP891030-0205  131 19.77645 BM25_long 
51 0 AP890722-0154  132 19.69907 BM25_long 
51 0 AP891020-0203  133 19.64208 BM25_long 
51 0 AP890212-0094  134 19.54004 BM25_long 
51 0 AP890112-0197  135 19.51077 BM25_long 
51 0 AP890908-0122  136 19.39755 BM25_long 
51 0 AP891003-0130  137 19.36007 BM25_long 
51 0 AP891207-0246  138 19.35328 BM25_long 
51 0 AP891011-0275  139 19.34923 BM25_long 
51 0 AP891026-0232  140 19.33670 BM25_long 
51 0 AP890715-0047  141 19.24740 BM25_long 
51 0 AP890519-0268  142 19.24553 BM25_long 
51 0 AP890418-0241  143 19.23141 BM25_long 
51 0 AP890608-0032  144 19.18001 BM25_long 
51 0 AP890428-0191  145 19.02537 BM25_long 
51 0 AP890406-0027  146 18.96133 BM25_long 
51 0 AP890328-0148  147 18.94241 BM25_long 
51 0 AP890519-0245  148 18.93174 BM25_long 
51 0 AP890130-0021  149 18.80287 BM25_long 
51 0 AP891102-0199  150 18.78434 BM25_long 
51 0 AP890925-0086  151 18.77094 BM25_long 
51 0 AP890406-0194  152 18.77003 BM25_long 
51 0 AP890502-0093  153 18.70604 BM25_long 
51 0 AP890526-0222  154 18.70567 BM25_long 
51 0 AP890131-0301  155 18.68118 BM25_long 
51 0 AP890726-0303  156 18.64743 BM25_long 
51 0 AP890322-0331  157 18.60333 BM25_long 
51 0 AP890429-0131  158 18.51158 BM25_long 
51 0 AP890617-0089  159 18.50514 BM25_long 
51 0 AP891002-0334  160 18.50434 BM25_long 
51 0 AP890928-0100  161 18.45850 BM25_long 
51 0 AP890408-0099  162 18.44731 BM25_long 
51 0 AP890821-0016  163 18.43904 BM25_long 
51 0 AP890818-0180  164 18.43546 BM25_long 
51 0 AP890208-0259  165 18.42904 BM25_long 
51 0 AP890428-0090  166 18.40462 BM25_long 
51 0 AP890810-0244  167 18.32421 BM25_long 
51 0 AP890301-0257  168 18.24677 BM25_long 
51 0 AP890721-0245  169 18.02427 BM25_long 
51 0 AP890406-0263  170 17.94641 BM25_long 
51 0 AP890723-0061  171 17.94641 BM25_long 
51 0 AP890107-0160  172 17.94040 BM25_long 
51 0 AP890407-0163  173 17.89589 BM25_long 
51 0 AP890120-0278  174 17.88693 BM25_long 
51 0 AP891122-0216  175 17.76948 BM25_long 
51 0 AP890628-0005  176 17.72179 BM25_long 
51 0 AP890109-0007  177 17.69981 BM25_long 
51 0 AP890123-0201  178 17.69759 BM25_long 
51 0 AP890130-0207  179 17.58139 BM25_long 
51 0 AP890501-0072  180 17.55721 BM25_long 
51 0 AP891027-0233  181 17.51558 BM25_long 
51 0 AP890228-0028  182 17.51490 BM25_long 
51 0 AP890304-0016  183 17.50703 BM25_long 
51 0 AP890507-0009  184 17.50578 BM25_long 
51 0 AP890816-0029  185 17.45896 BM25_long 
51 0 AP890112-0243  186 17.41927 BM25_long 
51 0 AP890920-0246  187 17.41264 BM25_long 
51 0 AP890323-0256  188 17.40977 BM25_long 
51 0 AP890517-0089  189 17.39691 BM25_long 
51 0 AP890201-0003  190 17.39235 BM25_long 
51 0 AP891120-0014  191 17.33785 BM25_long 
51 0 AP890327-0138  192 17.28210 BM25_long 
51 0 AP890125-0184  193 17.24219 BM25_long 
51 0 AP890623-0269  194 17.23529 BM25_long 
51 0 AP890521-0093  195 17.22522 BM25_long 
51 0 AP890211-0129  196 17.22514 BM25_long 
51 0 AP891129-0271  197 17.22449 BM25_long 
51 0 AP890330-0095  198 17.19481 BM25_long 
51 0 AP890428-0198  199 17.15603 BM25_long 
51 0 AP890823-0099  200 17.15357 BM25_long 
51 0 AP890407-0012  201 17.15355 BM25_long 
51 0 AP890412-0226  202 17.07590 BM25_long 
51 0 AP891002-0339  203 17.06534 BM25_long 
51 0 AP890426-0087  204 17.05080 BM25_long 
51 0 AP890929-0096  205 16.99931 BM25_long 
51 0 AP890911-0278  206 16.98263 BM25_long 
51 0 AP890201-0131  207 16.98127 BM25_long 
51 0 AP890527-0109  208 16.96474 BM25_long 
51 0 AP890617-0031  209 16.96420 BM25_long 
51 0 AP890419-0189  210 16.96352 BM25_long 
51 0 AP891219-0166  211 16.91793 BM25_long 
51 0 AP890323-0016  212 16.89813 BM25_long 
51 0 AP890112-0126  213 16.89246 BM25_long 
51 0 AP890518-0101  214 16.86544 BM25_long 
51 0 AP890103-0246  215 16.86473 BM25_long 
51 0 AP890410-0121  216 16.82674 BM25_long 
51 0 AP890221-0070  217 16.81415 BM25_long 
51 0 AP891219-0249  218 16.80083 BM25_long 
51 0 AP890907-0273  219 16.76467 BM25_long 
51 0 AP890814-0108  220 16.74821 BM25_long 
51 0 AP890609-0270  221 16.73981 BM25_long 
51 0 AP890613-0247  222 16.73981 BM25_long 
51 0 AP891209-0045  223 16.73981 BM25_long 
51 0 AP890621-0238  224 16.72602 BM25_long 
51 0 AP890626-0112  225 16.71137 BM25_long 
51 0 AP890804-0141  226 16.67279 BM25_long 
51 0 AP890208-0310  227 16.66323 BM25_long 
51 0 AP890716-0011  228 16.63832 BM25_long 
51 0 AP890124-0120  229 16.61845 BM25_long 
51 0 AP890413-0014  230 16.56014 BM25_long 
51 0 AP890503-0211  231 16.54761 BM25_long 
51 0 AP890622-0084  232 16.48907 BM25_long 
51 0 AP891220-0110  233 16.47361 BM25_long 
51 0 AP891004-0231  234 16.47006 BM25_long 
51 0 AP890306-0253  235 16.45314 BM25_long 
51 0 AP890211-0169  236 16.43141 BM25_long 
51 0 AP890211-0028  237 16.38314 BM25_long 
51 0 AP890516-0077  238 16.38012 BM25_long 
51 0 AP891216-0124  239 16.37895 BM25_long 
51 0 AP890726-0019  240 16.32957 BM25_long 
51 0 AP890619-0204  241 16.29855 BM25_long 
51 0 AP890330-0161  242 16.23326 BM25_long 
51 0 AP891206-0012  243 16.21356 BM25_long 
51 0 AP890131-0265  244 16.21012 BM25_long 
51 0 AP890218-0004  245 16.20427 BM25_long 
51 0 AP890329-0011  246 16.17038 BM25_long 
51 0 AP890808-0010  247 16.15476 BM25_long 
51 0 AP890323-0197  248 16.14799 BM25_long 
51 0 AP890204-0035  249 16.14156 BM25_long 
51 0 AP891202-0124  250 16.14085 BM25_long 
51 0 AP891011-0086  251 16.12050 BM25_long 
51 0 AP890504-0168  252 16.09718 BM25_long 
51 0 AP890726-0139  253 16.09502 BM25_long 
51 0 AP890523-0018  254 16.07824 BM25_long 
51 0 AP890110-0186  255 16.05162 BM25_long 
51 0 AP890519-0140  256 15.97439 BM25_long 
51 0 AP890120-0265  257 15.92229 BM25_long 
51 0 AP890502-0083  258 15.91350 BM25_long 
51 0 AP890322-0207  259 15.87813 BM25_long 
51 0 AP891024-0145  260 15.87314 BM25_long 
51 0 AP891214-0236  261 15.85456 BM25_long 
51 0 AP890718-0229  262 15.85135 BM25_long 
51 0 AP890506-0013  263 15.82661 BM25_long 
51 0 AP890104-0157  264 15.82088 BM25_long 
51 0 AP890217-0022  265 15.80998 BM25_long 
51 0 AP890128-0078  266 15.75784 BM25_long 
51 0 AP890509-0179  267 15.73909 BM25_long 
51 0 AP891208-0190  268 15.73082 BM25_long 
51 0 AP890830-0028  269 15.73000 BM25_long 
51 0 AP890525-0112  270 15.71947 BM25_long 
51 0 AP890113-0083  271 15.71062 BM25_long 
51 0 AP890411-0010  272 15.69789 BM25_long 
51 0 AP890911-0285  273 15.69678 BM25_long 
51 0 AP890522-0084  274 15.69226 BM25_long 
51 0 AP891116-0209  275 15.67159 BM25_long 
51 0 AP890306-0295  276 15.66401 BM25_long 
51 0 AP891123-0030  277 15.66207 BM25_long 
51 0 AP890421-0158  278 15.63648 BM25_long 
51 0 AP890407-0039  279 15.61112 BM25_long 
51 0 AP890608-0149  280 15.59459 BM25_long 
51 0 AP890124-0034  281 15.57960 BM25_long 
51 0 AP890605-0084  282 15.55208 BM25_long 
51 0 AP890110-0048  283 15.52997 BM25_long 
51 0 AP891102-0031  284 15.52684 BM25_long 
51 0 AP891110-0099  285 15.52494 BM25_long 
51 0 AP890502-0157  286 15.49481 BM25_long 
51 0 AP890628-0029  287 15.48989 BM25_long 
51 0 AP890306-0244  288 15.48515 BM25_long 
51 0 AP890518-0116  289 15.48032 BM25_long 
51 0 AP890612-0011  290 15.46308 BM25_long 
51 0 AP891011-0233  291 15.45508 BM25_long 
51 0 AP890306-0081  292 15.45139 BM25_long 
51 0 AP890427-0275  293 15.44926 BM25_long 
51 0 AP890410-0028  294 15.43147 BM25_long 
51 0 AP890506-0111  295 15.42821 BM25_long 
51 0 AP891221-0216  296 15.42368 BM25_long 
51 0 AP890110-0012  297 15.36694 BM25_long 
51 0 AP890405-0021  298 15.34376 BM25_long 
51 0 AP891222-0290  299 15.33771 BM25_long 
51 0 AP890214-0115  300 15.32952 BM25_long 
51 0 AP891208-0192  301 15.30862 BM25_long 
51 0 AP890407-0182  302 15.29104 BM25_long 
51 0 AP890420-0016  303 15.27032 BM25_long 
51 0 AP890428-0093  304 15.25142 BM25_long 
51 0 AP890107-0086  305 15.24974 BM25_long 
51 0 AP890628-0214  306 15.24610 BM25_long 
51 0 AP890810-0114  307 15.24352 BM25_long 
51 0 AP890501-0128  308 15.20846 BM25_long 
51 0 AP890719-0295  309 15.18874 BM25_long 
51 0 AP890405-0282  310 15.16217 BM25_long 
51 0 AP890330-0264  311 15.15835 BM25_long 
51 0 AP890327-0161  312 15.15588 BM25_long 
51 0 AP890701-0050  313 15.15588 BM25_long 
51 0 AP890914-0017  314 15.14916 BM25_long 
51 0 AP890226-0061  315 15.14210 BM25_long 
51 0 AP890113-0185  316 15.14096 BM25_long 
51 0 AP890714-0215  317 15.11861 BM25_long 
51 0 AP890609-0148  318 15.10281 BM25_long 
51 0 AP890118-0248  319 15.10044 BM25_long 
51 0 AP890119-0006  320 15.10044 BM25_long 
51 0 AP891215-0258  321 15.09430 BM25_long 
51 0 AP890716-0049  322 15.08578 BM25_long 
51 0 AP891103-0231  323 15.07861 BM25_long 
51 0 AP891002-0261  324 15.06603 BM25_long 
51 0 AP891007-0006  325 15.05888 BM25_long 
51 0 AP890712-0120  326 15.02800 BM25_long 
51 0 AP890228-0083  327 15.02763 BM25_long 
51 0 AP891115-0024  328 15.02663 BM25_long 
51 0 AP890115-0012  329 15.02040 BM25_long 
51 0 AP890110-0191  330 15.01301 BM25_long 
51 0 AP891025-0281  331 15.01076 BM25_long 
51 0 AP890202-0195  332 14.99710 BM25_long 
51 0 AP891004-0135  333 14.96930 BM25_long 
51 0 AP891110-0035  334 14.96428 BM25_long 
51 0 AP890813-0052  335 14.95451 BM25_long 
51 0 AP890719-0241  336 14.94634 BM25_long 
51 0 AP890616-0111  337 14.94506 BM25_long 
51 0 AP891129-0122  338 14.94009 BM25_long 
51 0 AP890326-0054  339 14.93065 BM25_long 
51 0 AP890227-0122  340 14.90136 BM25_long 
51 0 AP890211-0061  341 14.89380 BM25_long 
51 0 AP890607-0014  342 14.88578 BM25_long 
51 0 AP890920-0049  343 14.88322 BM25_long 
51 0 AP890721-0158  344 14.88234 BM25_long 
51 0 AP891201-0004  345 14.86311 BM25_long 
51 0 AP890112-0007  346 14.85012 BM25_long 
51 0 AP891220-0027  347 14.82804 BM25_long 
51 0 AP890920-0101  348 14.81330 BM25_long 
51 0 AP890114-0082  349 14.80971 BM25_long 
51 0 AP891108-0222  350 14.80716 BM25_long 
51 0 AP890607-0227  351 14.78231 BM25_long 
51 0 AP890512-0156  352 14.76525 BM25_long 
51 0 AP890425-0230  353 14.74955 BM25_long 
51 0 AP891013-0069  354 14.72931 BM25_long 
51 0 AP890227-0291  355 14.71476 BM25_long 
51 0 AP890227-0313  356 14.71476 BM25_long 
51 0 AP890513-0118  357 14.71397 BM25_long 
51 0 AP890726-0252  358 14.67299 BM25_long 
51 0 AP890108-0068  359 14.66206 BM25_long 
51 0 AP891127-0195  360 14.62821 BM25_long 
51 0 AP890504-0025  361 14.62587 BM25_long 
51 0 AP890505-0170  362 14.62581 BM25_long 
51 0 AP891108-0149  363 14.62265 BM25_long 
51 0 AP890326-0020  364 14.60406 BM25_long 
51 0 AP890217-0133  365 14.60341 BM25_long 
51 0 AP891208-0255  366 14.60145 BM25_long 
51 0 AP890428-0071  367 14.60104 BM25_long 
51 0 AP891115-0297  368 14.58375 BM25_long 
51 0 AP890102-0094  369 14.56867 BM25_long 
51 0 AP890526-0004  370 14.55418 BM25_long 
51 0 AP890505-0123  371 14.52258 BM25_long 
51 0 AP890710-0155  372 14.52033 BM25_long 
51 0 AP890320-0168  373 14.49338 BM25_long 
51 0 AP890315-0136  374 14.48839 BM25_long 
51 0 AP890223-0276  375 14.43708 BM25_long 
51 0 AP891206-0009  376 14.42950 BM25_long 
51 0 AP890511-0035  377 14.42621 BM25_long 
51 0 AP890209-0229  378 14.41798 BM25_long 
51 0 AP890103-0024  379 14.40585 BM25_long 
51 0 AP890907-0264  380 14.38793 BM25_long 
51 0 AP890310-0159  381 14.38531 BM25_long 
51 0 AP890929-0032  382 14.37970 BM25_long 
51 0 AP890407-0097  383 14.37705 BM25_long 
51 0 AP891103-0248  384 14.36911 BM25_long 
51 0 AP890820-0008  385 14.36629 BM25_long 
51 0 AP890725-0183  386 14.36548 BM25_long 
51 0 AP890111-0142  387 14.36484 BM25_long 
51 0 AP890811-0205  388 14.35452 BM25_long 
51 0 AP890823-0072  389 14.35452 BM25_long 
51 0 AP890324-0249  390 14.34031 BM25_long 
51 0 AP890421-0159  391 14.33936 BM25_long 
51 0 AP890612-0267  392 14.32107 BM25_long 
51 0 AP890122-0038  393 14.31565 BM25_long 
51 0 AP891129-0017  394 14.29703 BM25_long 
51 0 AP891214-0015  395 14.29217 BM25_long 
51 0 AP890724-0019  396 14.28131 BM25_long 
51 0 AP890213-0020  397 14.27700 BM25_long 
51 0 AP890425-0156  398 14.26343 BM25_long 
51 0 AP891106-0079  399 14.25327 BM25_long 
51 0 AP890315-0161  400 14.24628 BM25_long 
51 0 AP890111-0078  401 14.21135 BM25_long 
51 0 AP890907-0167  402 14.20559 BM25_long 
51 0 AP890213-0133  403 14.19879 BM25_long 
51 0 AP890131-0081  404 14.19228 BM25_long 
51 0 AP890918-0116  405 14.15492 BM25_long 
51 0 AP890801-0228  406 14.12300 BM25_long 
51 0 AP890726-0240  407 14.12162 BM25_long 
51 0 AP890929-0044  408 14.10370 BM25_long 
51 0 AP891025-0252  409 14.08187 BM25_long 
51 0 AP890805-0106  410 14.04684 BM25_long 
51 0 AP890105-0164  411 14.03676 BM25_long 
51 0 AP890122-0100  412 14.02064 BM25_long 
51 0 AP890306-0264  413 14.01837 BM25_long 
51 0 AP890130-0051  414 13.99929 BM25_long 
51 0 AP891107-0266  415 13.99499 BM25_long 
51 0 AP890714-0233  416 13.98302 BM25_long 
51 0 AP890617-0021  417 13.97941 BM25_long 
51 0 AP890617-0025  418 13.97941 BM25_long 
51 0 AP890921-0181  419 13.95437 BM25_long 
51 0 AP890102-0118  420 13.95246 BM25_long 
51 0 AP890311-0105  421 13.94826 BM25_long 
51 0 AP890314-0027  422 13.94286 BM25_long 
51 0 AP890212-0064  423 13.94246 BM25_long 
51 0 AP891031-0177  424 13.93923 BM25_long 
51 0 AP890313-0224  425 13.92831 BM25_long 
51 0 AP891207-0179  426 13.92096 BM25_long 
51 0 AP891212-0198  427 13.92096 BM25_long 
51 0 AP890420-0110  428 13.91997 BM25_long 
51 0 AP890427-0238  429 13.89422 BM25_long 
51 0 AP891208-0227  430 13.89344 BM25_long 
51 0 AP890429-0016  431 13.88402 BM25_long 
51 0 AP890310-0146  432 13.87471 BM25_long 
51 0 AP890628-0021  433 13.86743 BM25_long 
51 0 AP890429-0018  434 13.86388 BM25_long 
51 0 AP890119-0254  435 13.85154 BM25_long 
51 0 AP890503-0144  436 13.84699 BM25_long 
51 0 AP890809-0129  437 13.83392 BM25_long 
51 0 AP890110-0033  438 13.82138 BM25_long 
51 0 AP890708-0136  439 13.81326 BM25_long 
51 0 AP890414-0262  440 13.81157 BM25_long 
51 0 AP890107-0057  441 13.81112 BM25_long 
51 0 AP890131-0123  442 13.80822 BM25_long 
51 0 AP890111-0217  443 13.80097 BM25_long 
51 0 AP890928-0202  444 13.79924 BM25_long 
51 0 AP890707-0178  445 13.78668 BM25_long 
51 0 AP890404-0239  446 13.78159 BM25_long 
51 0 AP891019-0234  447 13.78149 BM25_long 
51 0 AP891124-0192  448 13.77221 BM25_long 
51 0 AP890523-0235  449 13.76328 BM25_long 
51 0 AP890404-0247  450 13.74576 BM25_long 
51 0 AP890419-0027  451 13.74039 BM25_long 
51 0 AP890111-0242  452 13.73091 BM25_long 
51 0 AP890726-0269  453 13.72543 BM25_long 
51 0 AP890908-0249  454 13.71843 BM25_long 
51 0 AP890604-0055  455 13.71280 BM25_long 
51 0 AP890109-0113  456 13.71046 BM25_long 
51 0 AP890814-0207  457 13.71032 BM25_long 
51 0 AP890914-0069  458 13.70998 BM25_long 
51 0 AP890307-0123  459 13.69541 BM25_long 
51 0 AP890124-0140  460 13.68850 BM25_long 
51 0 AP890927-0017  461 13.68621 BM25_long 
51 0 AP890515-0080  462 13.67649 BM25_long 
51 0 AP890105-0284  463 13.67606 BM25_long 
51 0 AP890308-0159  464 13.67341 BM25_long 
51 0 AP890720-0048  465 13.66365 BM25_long 
51 0 AP890501-0269  466 13.65188 BM25_long 
51 0 AP890615-0022  467 13.65131 BM25_long 
51 0 AP890105-0068  468 13.65103 BM25_long 
51 0 AP890227-0142  469 13.64615 BM25_long 
51 0 AP890313-0144  470 13.64046 BM25_long 
51 0 AP890601-0126  471 13.62974 BM25_long 
51 0 AP890616-0077  472 13.62764 BM25_long 
51 0 AP890127-0204  473 13.62006 BM25_long 
51 0 AP891125-0005  474 13.61921 BM25_long 
51 0 AP890510-0043  475 13.60955 BM25_long 
51 0 AP890311-0123  476 13.60335 BM25_long 
51 0 AP891203-0009  477 13.60108 BM25_long 
51 0 AP891026-0001  478 13.59949 BM25_long 
51 0 AP890802-0237  479 13.59038 BM25_long 
51 0 AP890506-0014  480 13.58865 BM25_long 
51 0 AP890816-0024  481 13.57990 BM25_long 
51 0 AP890927-0152  482 13.57047 BM25_long 
51 0 AP890503-0307  483 13.55031 BM25_long 
51 0 AP890227-0067  484 13.51538 BM25_long 
51 0 AP890518-0091  485 13.51496 BM25_long 
51 0 AP890525-0238  486 13.51481 BM25_long 
51 0 AP890308-0145  487 13.51176 BM25_long 
51 0 AP890503-0254  488 13.50809 BM25_long 
51 0 AP891127-0103  489 13.50708 BM25_long 
51 0 AP890929-0047  490 13.50266 BM25_long 
51 0 AP890109-0189  491 13.49568 BM25_long 
51 0 AP890727-0199  492 13.49185 BM25_long 
51 0 AP891018-0161  493 13.47622 BM25_long 
51 0 AP890928-0214  494 13.46268 BM25_long 
51 0 AP891006-0033  495 13.45972 BM25_long 
51 0 AP891108-0212  496 13.45692 BM25_long 
51 0 AP890525-0216  497 13.45011 BM25_long 
51 0 AP890725-0269  498 13.44157 BM25_long 
51 0 AP890108-0018  499 13.40353 BM25_long 
51 0 AP890218-0088  500 13.40128 BM25_long 
51 0 AP891025-0294  501 13.40093 BM25_long 
51 0 AP890405-0286  502 13.40023 BM25_long 
51 0 AP891101-0126  503 13.39138 BM25_long 
51 0 AP891107-0163  504 13.37839 BM25_long 
51 0 AP890326-0073  505 13.37316 BM25_long 
51 0 AP890303-0022  506 13.37312 BM25_long 
51 0 AP891201-0051  507 13.36749 BM25_long 
51 0 AP890325-0010  508 13.36525 BM25_long 
51 0 AP890412-0123  509 13.35656 BM25_long 
51 0 AP891221-0156  510 13.34215 BM25_long 
51 0 AP890510-0161  511 13.32600 BM25_long 
51 0 AP890301-0213  512 13.32494 BM25_long 
51 0 AP890831-0142  513 13.32022 BM25_long 
51 0 AP890815-0023  514 13.31589 BM25_long 
51 0 AP890123-0154  515 13.31339 BM25_long 
51 0 AP891116-0094  516 13.30992 BM25_long 
51 0 AP890418-0177  517 13.30517 BM25_long 
51 0 AP890511-0154  518 13.28474 BM25_long 
51 0 AP890207-0171  519 13.28150 BM25_long 
51 0 AP890126-0167  520 13.27712 BM25_long 
51 0 AP891026-0114  521 13.26364 BM25_long 
51 0 AP890706-0020  522 13.25918 BM25_long 
51 0 AP891121-0191  523 13.22592 BM25_long 
51 0 AP890215-0174  524 13.20736 BM25_long 
51 0 AP890222-0128  525 13.20691 BM25_long 
51 0 AP890814-0134  526 13.19618 BM25_long 
51 0 AP890120-0043  527 13.19586 BM25_long 
51 0 AP891009-0074  528 13.19422 BM25_long 
51 0 AP890128-0159  529 13.19230 BM25_long 
51 0 AP890224-0066  530 13.19230 BM25_long 
51 0 AP890724-0045  531 13.19230 BM25_long 
51 0 AP890503-0183  532 13.18676 BM25_long 
51 0 AP890816-0076  533 13.18140 BM25_long 
51 0 AP890726-0243  534 13.17511 BM25_long 
51 0 AP890307-0126  535 13.17354 BM25_long 
51 0 AP890908-0253  536 13.16572 BM25_long 
51 0 AP890208-0128  537 13.15258 BM25_long 
