51 0 AP890518-0275    1 20.99845 LMwDS_long 
51 0 AP890920-0131  209 7.39326 LMwDS_long 
51 0 AP891020-0203  210 7.37603 LMwDS_long 
51 0 AP890908-0122  211 7.36284 LMwDS_long 
51 0 AP891102-0199  212 7.35955 LMwDS_long 
51 0 AP890124-0034  213 7.33651 LMwDS_long 
51 0 AP890920-0246  214 7.30920 LMwDS_long 
51 0 AP890130-0021  215 7.30173 LMwDS_long 
51 0 AP890425-0029  216 7.29873 LMwDS_long 
51 0 AP890208-0146  217 7.29026 LMwDS_long 
51 0 AP890607-0086  218 7.29026 LMwDS_long 
51 0 AP890622-0084  219 7.28043 LMwDS_long 
51 0 AP891219-0213  220 7.26610 LMwDS_long 
51 0 AP890407-0163  221 7.26087 LMwDS_long 
51 0 AP890617-0089  222 7.24011 LMwDS_long 
51 0 AP890327-0161  223 7.23361 LMwDS_long 
51 0 AP890701-0050  224 7.23361 LMwDS_long 
51 0 AP891116-0258  225 7.23360 LMwDS_long 
51 0 AP890109-0007  226 7.23222 LMwDS_long 
51 0 AP890211-0129  227 7.22598 LMwDS_long 
51 0 AP890603-0150  228 7.22310 LMwDS_long 
51 0 AP890209-0229  229 7.22104 LMwDS_long 
51 0 AP890223-0276  230 7.22010 LMwDS_long 
51 0 AP890204-0035  231 7.21273 LMwDS_long 
51 0 AP890731-0095  232 7.20072 LMwDS_long 
51 0 AP890426-0268  233 7.18899 LMwDS_long 
51 0 AP890212-0094  234 7.18195 LMwDS_long 
51 0 AP890504-0168  235 7.16595 LMwDS_long 
51 0 AP890413-0014  236 7.15536 LMwDS_long 
51 0 AP890128-0159  237 7.15019 LMwDS_long 
51 0 AP890224-0066  238 7.15019 LMwDS_long 
51 0 AP890724-0045  239 7.15019 LMwDS_long 
51 0 AP890103-0117  240 7.12782 LMwDS_long 
51 0 AP890814-0108  241 7.08144 LMwDS_long 
51 0 AP890208-0310  242 7.06069 LMwDS_long 
51 0 AP890408-0097  243 7.04481 LMwDS_long 
51 0 AP890323-0016  244 7.04072 LMwDS_long 
51 0 AP890727-0042  245 6.99838 LMwDS_long 
51 0 AP890502-0157  246 6.99043 LMwDS_long 
51 0 AP890523-0018  247 6.98504 LMwDS_long 
51 0 AP891121-0110  248 6.98104 LMwDS_long 
51 0 AP890328-0148  249 6.92137 LMwDS_long 
51 0 AP890208-0259  250 6.90183 LMwDS_long 
51 0 AP890428-0191  251 6.89279 LMwDS_long 
51 0 AP890626-0236  252 6.89099 LMwDS_long 
51 0 AP890907-0273  253 6.86485 LMwDS_long 
51 0 AP890609-0148  254 6.86299 LMwDS_long 
51 0 AP890412-0226  255 6.85515 LMwDS_long 
51 0 AP891201-0004  256 6.85188 LMwDS_long 
51 0 AP890407-0182  257 6.83562 LMwDS_long 
51 0 AP890112-0197  258 6.82442 LMwDS_long 
51 0 AP890721-0245  259 6.82233 LMwDS_long 
51 0 AP890428-0090  260 6.81135 LMwDS_long 
51 0 AP890716-0049  261 6.80018 LMwDS_long 
51 0 AP890310-0235  262 6.79125 LMwDS_long 
51 0 AP891024-0145  263 6.75854 LMwDS_long 
51 0 AP890208-0128  264 6.74381 LMwDS_long 
51 0 AP890526-0004  265 6.71984 LMwDS_long 
51 0 AP890726-0303  266 6.71641 LMwDS_long 
51 0 AP890329-0011  267 6.70384 LMwDS_long 
51 0 AP890518-0116  268 6.63757 LMwDS_long 
51 0 AP890808-0010  269 6.63532 LMwDS_long 
51 0 AP890410-0121  270 6.63184 LMwDS_long 
51 0 AP890502-0083  271 6.63096 LMwDS_long 
51 0 AP890802-0237  272 6.62876 LMwDS_long 
51 0 AP890724-0019  273 6.62518 LMwDS_long 
51 0 AP890612-0011  274 6.62333 LMwDS_long 
51 0 AP890304-0016  275 6.61913 LMwDS_long 
51 0 AP890125-0184  276 6.61860 LMwDS_long 
51 0 AP891030-0205  277 6.61586 LMwDS_long 
51 0 AP890914-0017  278 6.61004 LMwDS_long 
51 0 AP890130-0207  279 6.59463 LMwDS_long 
51 0 AP890109-0331  280 6.59099 LMwDS_long 
51 0 AP890628-0214  281 6.58037 LMwDS_long 
51 0 AP890617-0031  282 6.56744 LMwDS_long 
51 0 AP890110-0048  283 6.54955 LMwDS_long 
51 0 AP890726-0252  284 6.54150 LMwDS_long 
51 0 AP891219-0249  285 6.53561 LMwDS_long 
51 0 AP890120-0278  286 6.52462 LMwDS_long 
51 0 AP890502-0093  287 6.51304 LMwDS_long 
51 0 AP890821-0145  288 6.50247 LMwDS_long 
51 0 AP890202-0195  289 6.49825 LMwDS_long 
51 0 AP890411-0010  290 6.49239 LMwDS_long 
51 0 AP891115-0024  291 6.48655 LMwDS_long 
51 0 AP890821-0016  292 6.48624 LMwDS_long 
51 0 AP890113-0185  293 6.46887 LMwDS_long 
51 0 AP890113-0083  294 6.46866 LMwDS_long 
51 0 AP890315-0136  295 6.45148 LMwDS_long 
51 0 AP890525-0112  296 6.45105 LMwDS_long 
51 0 AP890419-0189  297 6.44814 LMwDS_long 
51 0 AP890217-0133  298 6.43046 LMwDS_long 
51 0 AP891216-0124  299 6.42630 LMwDS_long 
51 0 AP890214-0115  300 6.42158 LMwDS_long 
51 0 AP890228-0083  301 6.41798 LMwDS_long 
51 0 AP891228-0161  302 6.41330 LMwDS_long 
51 0 AP891214-0236  303 6.38928 LMwDS_long 
51 0 AP890608-0149  304 6.38593 LMwDS_long 
51 0 AP890313-0194  305 6.38327 LMwDS_long 
51 0 AP890503-0211  306 6.37669 LMwDS_long 
51 0 AP891110-0035  307 6.37378 LMwDS_long 
51 0 AP890130-0051  308 6.34688 LMwDS_long 
51 0 AP891129-0027  309 6.32954 LMwDS_long 
51 0 AP891206-0012  310 6.32839 LMwDS_long 
51 0 AP890111-0142  311 6.31786 LMwDS_long 
51 0 AP891122-0216  312 6.31143 LMwDS_long 
51 0 AP890830-0028  313 6.29896 LMwDS_long 
51 0 AP891010-0171  314 6.27012 LMwDS_long 
51 0 AP890102-0094  315 6.25038 LMwDS_long 
51 0 AP891110-0099  316 6.24786 LMwDS_long 
51 0 AP890201-0131  317 6.23115 LMwDS_long 
51 0 AP890811-0242  318 6.21889 LMwDS_long 
51 0 AP890506-0013  319 6.21298 LMwDS_long 
51 0 AP890429-0131  320 6.20849 LMwDS_long 
51 0 AP890306-0295  321 6.20742 LMwDS_long 
51 0 AP890615-0022  322 6.18854 LMwDS_long 
51 0 AP890107-0086  323 6.18542 LMwDS_long 
51 0 AP890726-0139  324 6.17650 LMwDS_long 
51 0 AP891208-0192  325 6.17075 LMwDS_long 
51 0 AP890501-0072  326 6.16745 LMwDS_long 
51 0 AP890301-0046  327 6.16003 LMwDS_long 
51 0 AP890505-0123  328 6.15573 LMwDS_long 
51 0 AP890211-0028  329 6.15055 LMwDS_long 
51 0 AP890508-0014  330 6.13889 LMwDS_long 
51 0 AP890218-0004  331 6.13267 LMwDS_long 
51 0 AP891201-0051  332 6.12446 LMwDS_long 
51 0 AP890918-0116  333 6.11954 LMwDS_long 
51 0 AP890330-0161  334 6.10477 LMwDS_long 
51 0 AP890616-0111  335 6.10331 LMwDS_long 
51 0 AP890527-0109  336 6.09188 LMwDS_long 
51 0 AP890104-0106  337 6.09012 LMwDS_long 
51 0 AP891206-0009  338 6.08794 LMwDS_long 
51 0 AP890323-0123  339 6.07730 LMwDS_long 
51 0 AP890128-0078  340 6.07190 LMwDS_long 
51 0 AP890327-0138  341 6.06750 LMwDS_long 
51 0 AP890715-0074  342 6.05516 LMwDS_long 
51 0 AP890425-0230  343 6.05472 LMwDS_long 
51 0 AP890929-0044  344 6.04236 LMwDS_long 
51 0 AP890709-0052  345 6.02811 LMwDS_long 
51 0 AP890525-0288  346 6.01734 LMwDS_long 
51 0 AP890227-0122  347 5.99408 LMwDS_long 
51 0 AP890718-0148  348 5.99369 LMwDS_long 
51 0 AP891207-0179  349 5.98970 LMwDS_long 
51 0 AP891212-0198  350 5.98970 LMwDS_long 
51 0 AP890306-0081  351 5.98595 LMwDS_long 
51 0 AP890110-0191  352 5.96704 LMwDS_long 
51 0 AP890911-0285  353 5.96654 LMwDS_long 
51 0 AP890925-0079  354 5.96029 LMwDS_long 
51 0 AP890424-0155  355 5.95429 LMwDS_long 
51 0 AP891002-0261  356 5.95004 LMwDS_long 
51 0 AP890907-0167  357 5.93519 LMwDS_long 
51 0 AP890428-0071  358 5.92681 LMwDS_long 
51 0 AP890927-0017  359 5.92322 LMwDS_long 
51 0 AP891208-0190  360 5.91207 LMwDS_long 
51 0 AP890110-0012  361 5.90691 LMwDS_long 
51 0 AP890330-0264  362 5.90604 LMwDS_long 
51 0 AP890227-0142  363 5.90283 LMwDS_long 
51 0 AP891204-0198  364 5.90174 LMwDS_long 
51 0 AP890407-0039  365 5.89434 LMwDS_long 
51 0 AP890412-0175  366 5.88429 LMwDS_long 
51 0 AP891106-0079  367 5.87181 LMwDS_long 
51 0 AP890110-0186  368 5.87063 LMwDS_long 
51 0 AP891004-0135  369 5.87057 LMwDS_long 
51 0 AP890628-0021  370 5.87044 LMwDS_long 
51 0 AP890405-0021  371 5.86847 LMwDS_long 
51 0 AP890124-0120  372 5.86192 LMwDS_long 
51 0 AP890404-0053  373 5.85904 LMwDS_long 
51 0 AP891007-0101  374 5.84704 LMwDS_long 
51 0 AP891007-0112  375 5.84704 LMwDS_long 
51 0 AP890419-0027  376 5.84007 LMwDS_long 
51 0 AP890920-0101  377 5.83322 LMwDS_long 
51 0 AP890509-0179  378 5.83229 LMwDS_long 
51 0 AP890929-0032  379 5.82517 LMwDS_long 
51 0 AP890621-0107  380 5.81884 LMwDS_long 
51 0 AP890726-0019  381 5.81699 LMwDS_long 
51 0 AP891214-0023  382 5.81093 LMwDS_long 
51 0 AP891219-0166  383 5.80464 LMwDS_long 
51 0 AP890725-0269  384 5.80323 LMwDS_long 
51 0 AP890326-0020  385 5.79849 LMwDS_long 
51 0 AP891101-0270  386 5.79187 LMwDS_long 
51 0 AP890103-0024  387 5.78158 LMwDS_long 
51 0 AP890503-0307  388 5.77159 LMwDS_long 
51 0 AP890816-0076  389 5.76843 LMwDS_long 
51 0 AP890713-0014  390 5.76611 LMwDS_long 
51 0 AP891220-0027  391 5.75101 LMwDS_long 
51 0 AP891025-0294  392 5.74751 LMwDS_long 
51 0 AP891005-0219  393 5.74656 LMwDS_long 
51 0 AP890301-0115  394 5.74289 LMwDS_long 
51 0 AP890313-0144  395 5.73990 LMwDS_long 
51 0 AP890109-0189  396 5.73700 LMwDS_long 
51 0 AP890513-0118  397 5.73488 LMwDS_long 
51 0 AP890713-0145  398 5.72635 LMwDS_long 
51 0 AP890329-0113  399 5.72426 LMwDS_long 
51 0 AP890122-0038  400 5.71336 LMwDS_long 
51 0 AP891221-0216  401 5.70147 LMwDS_long 
51 0 AP890228-0028  402 5.68770 LMwDS_long 
51 0 AP891201-0094  403 5.68601 LMwDS_long 
51 0 AP890510-0161  404 5.68542 LMwDS_long 
51 0 AP890115-0012  405 5.68304 LMwDS_long 
51 0 AP890315-0161  406 5.67703 LMwDS_long 
51 0 AP891104-0020  407 5.67461 LMwDS_long 
51 0 AP890330-0095  408 5.67385 LMwDS_long 
51 0 AP890720-0048  409 5.67094 LMwDS_long 
51 0 AP890921-0042  410 5.66594 LMwDS_long 
51 0 AP890908-0253  411 5.66504 LMwDS_long 
51 0 AP890808-0134  412 5.66288 LMwDS_long 
51 0 AP890813-0052  413 5.65097 LMwDS_long 
51 0 AP890708-0108  414 5.64957 LMwDS_long 
51 0 AP890118-0248  415 5.64522 LMwDS_long 
51 0 AP890119-0006  416 5.64522 LMwDS_long 
51 0 AP891129-0122  417 5.64461 LMwDS_long 
51 0 AP890710-0155  418 5.64359 LMwDS_long 
51 0 AP890712-0120  419 5.64253 LMwDS_long 
51 0 AP890120-0265  420 5.63983 LMwDS_long 
51 0 AP890404-0062  421 5.63857 LMwDS_long 
51 0 AP890530-0122  422 5.63701 LMwDS_long 
51 0 AP890421-0158  423 5.63459 LMwDS_long 
51 0 AP890407-0097  424 5.62519 LMwDS_long 
51 0 AP890131-0265  425 5.61839 LMwDS_long 
51 0 AP891226-0014  426 5.61560 LMwDS_long 
51 0 AP890404-0247  427 5.61219 LMwDS_long 
51 0 AP891215-0258  428 5.60634 LMwDS_long 
51 0 AP890405-0282  429 5.60260 LMwDS_long 
51 0 AP890106-0202  430 5.59980 LMwDS_long 
51 0 AP890719-0241  431 5.58610 LMwDS_long 
51 0 AP890504-0025  432 5.58445 LMwDS_long 
51 0 AP890928-0214  433 5.57028 LMwDS_long 
51 0 AP891031-0177  434 5.56951 LMwDS_long 
51 0 AP890110-0033  435 5.55923 LMwDS_long 
51 0 AP890820-0008  436 5.55897 LMwDS_long 
51 0 AP890325-0010  437 5.55846 LMwDS_long 
51 0 AP890213-0144  438 5.55147 LMwDS_long 
51 0 AP890108-0096  439 5.55012 LMwDS_long 
51 0 AP890825-0022  440 5.54951 LMwDS_long 
51 0 AP890617-0081  441 5.54599 LMwDS_long 
51 0 AP890815-0023  442 5.54312 LMwDS_long 
51 0 AP890920-0049  443 5.53815 LMwDS_long 
51 0 AP890316-0195  444 5.53689 LMwDS_long 
51 0 AP890714-0233  445 5.53604 LMwDS_long 
51 0 AP891225-0071  446 5.51323 LMwDS_long 
51 0 AP891129-0017  447 5.50947 LMwDS_long 
51 0 AP890105-0164  448 5.50859 LMwDS_long 
51 0 AP890925-0086  449 5.50736 LMwDS_long 
51 0 AP891214-0015  450 5.50222 LMwDS_long 
51 0 AP890420-0016  451 5.50095 LMwDS_long 
51 0 AP890104-0211  452 5.49781 LMwDS_long 
51 0 AP890528-0081  453 5.49161 LMwDS_long 
51 0 AP890105-0005  454 5.49089 LMwDS_long 
51 0 AP891027-0128  455 5.48989 LMwDS_long 
51 0 AP891123-0030  456 5.48720 LMwDS_long 
51 0 AP890407-0235  457 5.48304 LMwDS_long 
51 0 AP890131-0097  458 5.48151 LMwDS_long 
51 0 AP890131-0123  459 5.47938 LMwDS_long 
51 0 AP890216-0154  460 5.47521 LMwDS_long 
51 0 AP890726-0149  461 5.47321 LMwDS_long 
51 0 AP890714-0289  462 5.47198 LMwDS_long 
51 0 AP890612-0267  463 5.46215 LMwDS_long 
51 0 AP890412-0116  464 5.46196 LMwDS_long 
51 0 AP890606-0042  465 5.45960 LMwDS_long 
51 0 AP891114-0149  466 5.45852 LMwDS_long 
51 0 AP890311-0105  467 5.45274 LMwDS_long 
51 0 AP890607-0014  468 5.45141 LMwDS_long 
51 0 AP890604-0055  469 5.45037 LMwDS_long 
51 0 AP890907-0264  470 5.44049 LMwDS_long 
51 0 AP891219-0110  471 5.43674 LMwDS_long 
51 0 AP891204-0277  472 5.41146 LMwDS_long 
51 0 AP891102-0031  473 5.40459 LMwDS_long 
51 0 AP890328-0227  474 5.40253 LMwDS_long 
51 0 AP890212-0064  475 5.40014 LMwDS_long 
51 0 AP890607-0097  476 5.39522 LMwDS_long 
51 0 AP891123-0082  477 5.39191 LMwDS_long 
51 0 AP891018-0128  478 5.38683 LMwDS_long 
51 0 AP890404-0239  479 5.38513 LMwDS_long 
51 0 AP891107-0266  480 5.38232 LMwDS_long 
51 0 AP891103-0248  481 5.38152 LMwDS_long 
51 0 AP890209-0265  482 5.38118 LMwDS_long 
51 0 AP891024-0197  483 5.38080 LMwDS_long 
51 0 AP891220-0110  484 5.37432 LMwDS_long 
51 0 AP890727-0268  485 5.37180 LMwDS_long 
51 0 AP890108-0068  486 5.36358 LMwDS_long 
51 0 AP890107-0057  487 5.36205 LMwDS_long 
51 0 AP890525-0163  488 5.35509 LMwDS_long 
51 0 AP891212-0080  489 5.34616 LMwDS_long 
51 0 AP891013-0069  490 5.34183 LMwDS_long 
51 0 AP890317-0175  491 5.34017 LMwDS_long 
51 0 AP890919-0084  492 5.33643 LMwDS_long 
51 0 AP890512-0120  493 5.33330 LMwDS_long 
51 0 AP890213-0020  494 5.31868 LMwDS_long 
51 0 AP891011-0233  495 5.31841 LMwDS_long 
51 0 AP890112-0007  496 5.31538 LMwDS_long 
51 0 AP891108-0149  497 5.31136 LMwDS_long 
51 0 AP890418-0257  498 5.31083 LMwDS_long 
51 0 AP890420-0110  499 5.30710 LMwDS_long 
