51 0 AP890908-0222    1 8.04724 LMwDS_short 
51 0 AP890310-0265  115 3.61681 LMwDS_short 
51 0 AP890327-0161  116 3.61681 LMwDS_short 
51 0 AP890418-0241  117 3.61681 LMwDS_short 
51 0 AP890701-0050  118 3.61681 LMwDS_short 
51 0 AP890723-0009  119 3.61681 LMwDS_short 
51 0 AP890911-0278  120 3.61681 LMwDS_short 
51 0 AP891120-0065  121 3.61681 LMwDS_short 
51 0 AP890108-0068  122 3.58661 LMwDS_short 
51 0 AP890314-0278  123 3.58661 LMwDS_short 
51 0 AP890407-0285  124 3.58661 LMwDS_short 
51 0 AP890515-0080  125 3.58661 LMwDS_short 
51 0 AP891018-0174  126 3.58661 LMwDS_short 
51 0 AP891103-0204  127 3.58661 LMwDS_short 
51 0 AP891207-0121  128 3.58661 LMwDS_short 
51 0 AP890128-0159  129 3.57510 LMwDS_short 
51 0 AP890206-0237  130 3.57510 LMwDS_short 
51 0 AP890207-0277  131 3.57510 LMwDS_short 
51 0 AP890208-0268  132 3.57510 LMwDS_short 
51 0 AP890209-0229  133 3.57510 LMwDS_short 
51 0 AP890223-0276  134 3.57510 LMwDS_short 
51 0 AP890224-0066  135 3.57510 LMwDS_short 
51 0 AP890306-0244  136 3.57510 LMwDS_short 
51 0 AP890323-0197  137 3.57510 LMwDS_short 
51 0 AP890406-0263  138 3.57510 LMwDS_short 
51 0 AP890428-0002  139 3.57510 LMwDS_short 
51 0 AP890504-0256  140 3.57510 LMwDS_short 
51 0 AP890516-0077  141 3.57510 LMwDS_short 
51 0 AP890609-0270  142 3.57510 LMwDS_short 
51 0 AP890613-0247  143 3.57510 LMwDS_short 
51 0 AP890614-0287  144 3.57510 LMwDS_short 
51 0 AP890707-0114  145 3.57510 LMwDS_short 
51 0 AP890714-0212  146 3.57510 LMwDS_short 
51 0 AP890723-0061  147 3.57510 LMwDS_short 
51 0 AP890724-0045  148 3.57510 LMwDS_short 
51 0 AP890906-0311  149 3.57510 LMwDS_short 
51 0 AP891209-0045  150 3.57510 LMwDS_short 
51 0 AP890521-0093  151 3.54616 LMwDS_short 
51 0 AP890131-0301  152 3.54095 LMwDS_short 
51 0 AP890227-0288  153 3.54095 LMwDS_short 
51 0 AP890228-0177  154 3.54095 LMwDS_short 
51 0 AP890301-0076  155 3.54095 LMwDS_short 
51 0 AP890306-0264  156 3.54095 LMwDS_short 
51 0 AP890406-0027  157 3.54095 LMwDS_short 
51 0 AP890426-0268  158 3.54095 LMwDS_short 
51 0 AP890509-0269  159 3.54095 LMwDS_short 
51 0 AP890511-0035  160 3.54095 LMwDS_short 
51 0 AP890608-0032  161 3.54095 LMwDS_short 
51 0 AP890619-0204  162 3.54095 LMwDS_short 
51 0 AP890719-0300  163 3.54095 LMwDS_short 
51 0 AP890816-0246  164 3.54095 LMwDS_short 
51 0 AP891002-0334  165 3.54095 LMwDS_short 
51 0 AP891017-0091  166 3.54095 LMwDS_short 
51 0 AP891103-0231  167 3.54095 LMwDS_short 
51 0 AP891128-0199  168 3.54095 LMwDS_short 
51 0 AP890110-0016  169 3.53618 LMwDS_short 
51 0 AP890115-0012  170 3.53618 LMwDS_short 
51 0 AP890330-0021  171 3.53618 LMwDS_short 
51 0 AP890427-0221  172 3.53618 LMwDS_short 
51 0 AP890506-0006  173 3.53618 LMwDS_short 
51 0 AP890606-0044  174 3.53618 LMwDS_short 
51 0 AP890907-0159  175 3.53618 LMwDS_short 
51 0 AP891002-0261  176 3.53618 LMwDS_short 
51 0 AP891006-0104  177 3.53618 LMwDS_short 
51 0 AP891018-0037  178 3.53618 LMwDS_short 
51 0 AP891110-0023  179 3.53618 LMwDS_short 
51 0 AP890103-0117  180 3.49052 LMwDS_short 
51 0 AP890112-0126  181 3.49052 LMwDS_short 
51 0 AP890112-0243  182 3.49052 LMwDS_short 
51 0 AP890117-0252  183 3.49052 LMwDS_short 
51 0 AP890207-0240  184 3.49052 LMwDS_short 
51 0 AP890207-0251  185 3.49052 LMwDS_short 
51 0 AP890208-0146  186 3.49052 LMwDS_short 
51 0 AP890211-0169  187 3.49052 LMwDS_short 
51 0 AP890306-0253  188 3.49052 LMwDS_short 
51 0 AP890411-0191  189 3.49052 LMwDS_short 
51 0 AP890427-0258  190 3.49052 LMwDS_short 
51 0 AP890518-0101  191 3.49052 LMwDS_short 
51 0 AP890519-0140  192 3.49052 LMwDS_short 
51 0 AP890607-0086  193 3.49052 LMwDS_short 
51 0 AP890623-0269  194 3.49052 LMwDS_short 
51 0 AP890720-0240  195 3.49052 LMwDS_short 
51 0 AP890803-0196  196 3.49052 LMwDS_short 
51 0 AP890804-0141  197 3.49052 LMwDS_short 
51 0 AP890816-0029  198 3.49052 LMwDS_short 
51 0 AP890816-0147  199 3.49052 LMwDS_short 
51 0 AP891002-0137  200 3.49052 LMwDS_short 
51 0 AP891002-0339  201 3.49052 LMwDS_short 
51 0 AP891013-0165  202 3.49052 LMwDS_short 
51 0 AP891101-0042  203 3.49052 LMwDS_short 
51 0 AP891116-0258  204 3.49052 LMwDS_short 
51 0 AP891121-0110  205 3.49052 LMwDS_short 
51 0 AP891129-0271  206 3.49052 LMwDS_short 
51 0 AP891219-0213  207 3.49052 LMwDS_short 
51 0 AP891222-0290  208 3.49052 LMwDS_short 
51 0 AP890112-0007  209 3.45778 LMwDS_short 
51 0 AP890210-0048  210 3.45778 LMwDS_short 
51 0 AP890301-0257  211 3.45778 LMwDS_short 
51 0 AP890413-0014  212 3.45778 LMwDS_short 
51 0 AP890503-0254  213 3.45778 LMwDS_short 
51 0 AP890724-0067  214 3.45778 LMwDS_short 
51 0 AP890726-0019  215 3.45778 LMwDS_short 
51 0 AP890802-0237  216 3.45778 LMwDS_short 
51 0 AP891002-0120  217 3.45778 LMwDS_short 
51 0 AP891111-0084  218 3.45778 LMwDS_short 
51 0 AP890107-0160  219 3.41211 LMwDS_short 
51 0 AP890111-0078  220 3.41211 LMwDS_short 
51 0 AP890111-0217  221 3.41211 LMwDS_short 
51 0 AP890201-0003  222 3.41211 LMwDS_short 
51 0 AP890305-0051  223 3.41211 LMwDS_short 
51 0 AP890322-0331  224 3.41211 LMwDS_short 
51 0 AP890323-0256  225 3.41211 LMwDS_short 
51 0 AP890329-0213  226 3.41211 LMwDS_short 
51 0 AP890407-0321  227 3.41211 LMwDS_short 
51 0 AP890413-0243  228 3.41211 LMwDS_short 
51 0 AP890419-0224  229 3.41211 LMwDS_short 
51 0 AP890425-0251  230 3.41211 LMwDS_short 
51 0 AP890427-0238  231 3.41211 LMwDS_short 
51 0 AP890511-0222  232 3.41211 LMwDS_short 
51 0 AP890519-0268  233 3.41211 LMwDS_short 
51 0 AP890602-0272  234 3.41211 LMwDS_short 
51 0 AP890603-0150  235 3.41211 LMwDS_short 
51 0 AP890617-0120  236 3.41211 LMwDS_short 
51 0 AP890621-0238  237 3.41211 LMwDS_short 
51 0 AP890626-0236  238 3.41211 LMwDS_short 
51 0 AP890719-0295  239 3.41211 LMwDS_short 
51 0 AP890722-0154  240 3.41211 LMwDS_short 
51 0 AP890727-0042  241 3.41211 LMwDS_short 
51 0 AP890810-0244  242 3.41211 LMwDS_short 
51 0 AP890811-0205  243 3.41211 LMwDS_short 
51 0 AP890818-0180  244 3.41211 LMwDS_short 
51 0 AP890823-0072  245 3.41211 LMwDS_short 
51 0 AP890920-0131  246 3.41211 LMwDS_short 
51 0 AP891011-0275  247 3.41211 LMwDS_short 
51 0 AP891117-0207  248 3.41211 LMwDS_short 
51 0 AP891118-0182  249 3.41211 LMwDS_short 
51 0 AP891207-0246  250 3.41211 LMwDS_short 
51 0 AP891208-0227  251 3.41211 LMwDS_short 
51 0 AP890712-0120  252 3.38267 LMwDS_short 
51 0 AP890121-0095  253 3.34096 LMwDS_short 
51 0 AP890315-0137  254 3.34096 LMwDS_short 
51 0 AP890322-0207  255 3.34096 LMwDS_short 
51 0 AP890502-0093  256 3.34096 LMwDS_short 
51 0 AP890813-0052  257 3.34096 LMwDS_short 
51 0 AP890929-0032  258 3.34096 LMwDS_short 
51 0 AP890929-0165  259 3.34096 LMwDS_short 
51 0 AP891017-0271  260 3.34096 LMwDS_short 
51 0 AP891220-0125  261 3.34096 LMwDS_short 
51 0 AP890314-0027  262 3.32778 LMwDS_short 
51 0 AP890628-0214  263 3.32778 LMwDS_short 
51 0 AP890119-0027  264 3.30681 LMwDS_short 
51 0 AP890317-0131  265 3.30681 LMwDS_short 
51 0 AP890419-0189  266 3.30681 LMwDS_short 
51 0 AP890914-0069  267 3.30681 LMwDS_short 
51 0 AP891030-0178  268 3.30681 LMwDS_short 
51 0 AP891219-0192  269 3.30681 LMwDS_short 
51 0 AP890310-0235  270 3.28211 LMwDS_short 
51 0 AP890311-0051  271 3.28211 LMwDS_short 
51 0 AP890731-0095  272 3.28211 LMwDS_short 
51 0 AP890818-0153  273 3.28211 LMwDS_short 
51 0 AP890130-0021  274 3.25638 LMwDS_short 
51 0 AP890329-0113  275 3.25638 LMwDS_short 
51 0 AP890404-0239  276 3.25638 LMwDS_short 
51 0 AP890428-0054  277 3.25638 LMwDS_short 
51 0 AP890428-0191  278 3.25638 LMwDS_short 
51 0 AP890608-0149  279 3.25638 LMwDS_short 
51 0 AP890614-0249  280 3.25638 LMwDS_short 
51 0 AP890619-0259  281 3.25638 LMwDS_short 
51 0 AP890624-0007  282 3.25638 LMwDS_short 
51 0 AP890627-0100  283 3.25638 LMwDS_short 
51 0 AP890717-0014  284 3.25638 LMwDS_short 
51 0 AP890907-0273  285 3.25638 LMwDS_short 
51 0 AP890914-0041  286 3.25638 LMwDS_short 
51 0 AP890920-0049  287 3.25638 LMwDS_short 
51 0 AP890928-0135  288 3.25638 LMwDS_short 
51 0 AP890929-0181  289 3.25638 LMwDS_short 
51 0 AP891013-0069  290 3.25638 LMwDS_short 
51 0 AP891129-0178  291 3.25638 LMwDS_short 
51 0 AP891217-0040  292 3.25638 LMwDS_short 
51 0 AP890323-0016  293 3.17797 LMwDS_short 
51 0 AP890428-0224  294 3.17797 LMwDS_short 
51 0 AP890526-0152  295 3.17797 LMwDS_short 
51 0 AP890623-0029  296 3.17797 LMwDS_short 
51 0 AP890628-0021  297 3.17797 LMwDS_short 
51 0 AP890808-0010  298 3.17797 LMwDS_short 
51 0 AP890919-0084  299 3.17797 LMwDS_short 
51 0 AP890920-0009  300 3.17797 LMwDS_short 
51 0 AP891004-0231  301 3.17797 LMwDS_short 
51 0 AP891018-0047  302 3.17797 LMwDS_short 
51 0 AP891112-0040  303 3.17797 LMwDS_short 
51 0 AP891129-0157  304 3.17797 LMwDS_short 
51 0 AP891206-0009  305 3.17797 LMwDS_short 
51 0 AP891208-0020  306 3.17797 LMwDS_short 
51 0 AP891221-0118  307 3.17797 LMwDS_short 
51 0 AP891221-0129  308 3.17797 LMwDS_short 
51 0 AP890109-0198  309 3.04797 LMwDS_short 
51 0 AP890713-0026  310 3.04797 LMwDS_short 
51 0 AP891005-0185  311 3.04797 LMwDS_short 
51 0 AP890523-0040  312 2.99277 LMwDS_short 
51 0 AP891020-0203  313 2.99277 LMwDS_short 
51 0 AP890103-0010  314 2.95106 LMwDS_short 
51 0 AP890104-0279  315 2.95106 LMwDS_short 
51 0 AP890110-0165  316 2.95106 LMwDS_short 
51 0 AP890122-0100  317 2.95106 LMwDS_short 
51 0 AP890204-0175  318 2.95106 LMwDS_short 
51 0 AP890223-0164  319 2.95106 LMwDS_short 
51 0 AP890223-0281  320 2.95106 LMwDS_short 
51 0 AP890227-0132  321 2.95106 LMwDS_short 
51 0 AP890301-0211  322 2.95106 LMwDS_short 
51 0 AP890302-0175  323 2.95106 LMwDS_short 
51 0 AP890313-0233  324 2.95106 LMwDS_short 
51 0 AP890405-0282  325 2.95106 LMwDS_short 
51 0 AP890408-0097  326 2.95106 LMwDS_short 
51 0 AP890504-0182  327 2.95106 LMwDS_short 
51 0 AP890607-0108  328 2.95106 LMwDS_short 
51 0 AP890627-0148  329 2.95106 LMwDS_short 
51 0 AP890812-0133  330 2.95106 LMwDS_short 
51 0 AP891026-0232  331 2.95106 LMwDS_short 
51 0 AP891117-0018  332 2.95106 LMwDS_short 
51 0 AP891215-0125  333 2.95106 LMwDS_short 
51 0 AP891219-0108  334 2.95106 LMwDS_short 
51 0 AP890110-0048  335 2.91692 LMwDS_short 
51 0 AP890125-0184  336 2.91692 LMwDS_short 
51 0 AP890125-0185  337 2.91692 LMwDS_short 
51 0 AP890131-0123  338 2.91692 LMwDS_short 
51 0 AP890217-0022  339 2.91692 LMwDS_short 
51 0 AP890425-0029  340 2.91692 LMwDS_short 
51 0 AP890502-0207  341 2.91692 LMwDS_short 
51 0 AP890509-0155  342 2.91692 LMwDS_short 
51 0 AP890512-0039  343 2.91692 LMwDS_short 
51 0 AP890518-0116  344 2.91692 LMwDS_short 
51 0 AP890525-0163  345 2.91692 LMwDS_short 
51 0 AP890619-0026  346 2.91692 LMwDS_short 
51 0 AP890624-0023  347 2.91692 LMwDS_short 
51 0 AP890726-0269  348 2.91692 LMwDS_short 
51 0 AP890727-0192  349 2.91692 LMwDS_short 
51 0 AP890802-0097  350 2.91692 LMwDS_short 
51 0 AP890805-0010  351 2.91692 LMwDS_short 
51 0 AP890927-0152  352 2.91692 LMwDS_short 
51 0 AP891004-0135  353 2.91692 LMwDS_short 
51 0 AP891024-0197  354 2.91692 LMwDS_short 
51 0 AP891122-0035  355 2.91692 LMwDS_short 
51 0 AP891122-0148  356 2.91692 LMwDS_short 
51 0 AP891219-0166  357 2.91692 LMwDS_short 
51 0 AP890109-0007  358 2.86648 LMwDS_short 
51 0 AP890109-0098  359 2.86648 LMwDS_short 
51 0 AP890109-0187  360 2.86648 LMwDS_short 
51 0 AP890110-0033  361 2.86648 LMwDS_short 
51 0 AP890114-0004  362 2.86648 LMwDS_short 
51 0 AP890126-0243  363 2.86648 LMwDS_short 
51 0 AP890411-0011  364 2.86648 LMwDS_short 
51 0 AP890420-0016  365 2.86648 LMwDS_short 
51 0 AP890427-0195  366 2.86648 LMwDS_short 
51 0 AP890525-0093  367 2.86648 LMwDS_short 
51 0 AP890526-0012  368 2.86648 LMwDS_short 
51 0 AP890605-0085  369 2.86648 LMwDS_short 
51 0 AP890615-0177  370 2.86648 LMwDS_short 
51 0 AP890622-0003  371 2.86648 LMwDS_short 
51 0 AP890628-0169  372 2.86648 LMwDS_short 
51 0 AP890712-0032  373 2.86648 LMwDS_short 
51 0 AP890715-0053  374 2.86648 LMwDS_short 
51 0 AP890725-0269  375 2.86648 LMwDS_short 
51 0 AP890726-0130  376 2.86648 LMwDS_short 
51 0 AP890807-0163  377 2.86648 LMwDS_short 
51 0 AP890905-0132  378 2.86648 LMwDS_short 
51 0 AP890913-0036  379 2.86648 LMwDS_short 
51 0 AP890921-0158  380 2.86648 LMwDS_short 
51 0 AP890927-0025  381 2.86648 LMwDS_short 
51 0 AP890930-0029  382 2.86648 LMwDS_short 
51 0 AP891010-0009  383 2.86648 LMwDS_short 
51 0 AP891014-0013  384 2.86648 LMwDS_short 
51 0 AP891102-0199  385 2.86648 LMwDS_short 
51 0 AP891110-0213  386 2.86648 LMwDS_short 
51 0 AP891129-0234  387 2.86648 LMwDS_short 
51 0 AP891204-0277  388 2.86648 LMwDS_short 
51 0 AP891207-0179  389 2.86648 LMwDS_short 
51 0 AP891212-0198  390 2.86648 LMwDS_short 
51 0 AP890108-0096  391 2.78808 LMwDS_short 
51 0 AP890111-0138  392 2.78808 LMwDS_short 
51 0 AP890127-0165  393 2.78808 LMwDS_short 
51 0 AP890131-0097  394 2.78808 LMwDS_short 
51 0 AP890202-0195  395 2.78808 LMwDS_short 
51 0 AP890221-0003  396 2.78808 LMwDS_short 
51 0 AP890303-0040  397 2.78808 LMwDS_short 
51 0 AP890304-0074  398 2.78808 LMwDS_short 
51 0 AP890322-0114  399 2.78808 LMwDS_short 
51 0 AP890410-0049  400 2.78808 LMwDS_short 
51 0 AP890418-0315  401 2.78808 LMwDS_short 
51 0 AP890419-0026  402 2.78808 LMwDS_short 
51 0 AP890426-0083  403 2.78808 LMwDS_short 
51 0 AP890427-0259  404 2.78808 LMwDS_short 
51 0 AP890512-0222  405 2.78808 LMwDS_short 
51 0 AP890606-0169  406 2.78808 LMwDS_short 
51 0 AP890612-0008  407 2.78808 LMwDS_short 
51 0 AP890615-0232  408 2.78808 LMwDS_short 
51 0 AP890621-0107  409 2.78808 LMwDS_short 
51 0 AP890623-0279  410 2.78808 LMwDS_short 
51 0 AP890624-0045  411 2.78808 LMwDS_short 
51 0 AP890628-0187  412 2.78808 LMwDS_short 
51 0 AP890704-0088  413 2.78808 LMwDS_short 
51 0 AP890710-0252  414 2.78808 LMwDS_short 
51 0 AP890711-0155  415 2.78808 LMwDS_short 
51 0 AP890713-0014  416 2.78808 LMwDS_short 
51 0 AP890725-0183  417 2.78808 LMwDS_short 
51 0 AP890801-0149  418 2.78808 LMwDS_short 
51 0 AP890802-0203  419 2.78808 LMwDS_short 
51 0 AP890819-0020  420 2.78808 LMwDS_short 
51 0 AP890901-0172  421 2.78808 LMwDS_short 
51 0 AP890905-0017  422 2.78808 LMwDS_short 
51 0 AP890917-0002  423 2.78808 LMwDS_short 
51 0 AP891004-0025  424 2.78808 LMwDS_short 
51 0 AP891006-0017  425 2.78808 LMwDS_short 
51 0 AP891110-0196  426 2.78808 LMwDS_short 
51 0 AP891116-0209  427 2.78808 LMwDS_short 
51 0 AP891124-0188  428 2.78808 LMwDS_short 
51 0 AP891129-0240  429 2.78808 LMwDS_short 
51 0 AP891212-0080  430 2.78808 LMwDS_short 
51 0 AP891214-0023  431 2.78808 LMwDS_short 
51 0 AP891218-0128  432 2.78808 LMwDS_short 
51 0 AP890109-0314  433 2.65808 LMwDS_short 
51 0 AP890109-0347  434 2.65808 LMwDS_short 
51 0 AP890120-0254  435 2.65808 LMwDS_short 
51 0 AP890209-0265  436 2.65808 LMwDS_short 
51 0 AP890219-0106  437 2.65808 LMwDS_short 
51 0 AP890228-0021  438 2.65808 LMwDS_short 
51 0 AP890505-0021  439 2.65808 LMwDS_short 
51 0 AP890617-0131  440 2.65808 LMwDS_short 
51 0 AP890709-0052  441 2.65808 LMwDS_short 
51 0 AP890715-0074  442 2.65808 LMwDS_short 
51 0 AP890927-0017  443 2.65808 LMwDS_short 
51 0 AP891021-0087  444 2.65808 LMwDS_short 
51 0 AP891023-0023  445 2.65808 LMwDS_short 
51 0 AP891125-0070  446 2.65808 LMwDS_short 
51 0 AP891208-0201  447 2.65808 LMwDS_short 
51 0 AP891212-0267  448 2.65808 LMwDS_short 
51 0 AP890516-0165  449 2.39217 LMwDS_short 
51 0 AP890108-0094  450 2.36834 LMwDS_short 
51 0 AP890109-0144  451 2.36834 LMwDS_short 
51 0 AP890210-0202  452 2.36834 LMwDS_short 
51 0 AP890522-0084  453 2.36834 LMwDS_short 
51 0 AP890605-0084  454 2.36834 LMwDS_short 
51 0 AP891003-0060  455 2.36834 LMwDS_short 
51 0 AP891030-0194  456 2.36834 LMwDS_short 
51 0 AP890117-0087  457 2.34493 LMwDS_short 
51 0 AP890131-0178  458 2.34493 LMwDS_short 
51 0 AP890207-0133  459 2.34493 LMwDS_short 
51 0 AP890307-0140  460 2.34493 LMwDS_short 
51 0 AP890329-0255  461 2.34493 LMwDS_short 
51 0 AP890427-0275  462 2.34493 LMwDS_short 
51 0 AP890601-0260  463 2.34493 LMwDS_short 
51 0 AP890626-0112  464 2.34493 LMwDS_short 
51 0 AP890704-0174  465 2.34493 LMwDS_short 
51 0 AP890724-0005  466 2.34493 LMwDS_short 
51 0 AP890901-0071  467 2.34493 LMwDS_short 
51 0 AP890906-0116  468 2.34493 LMwDS_short 
51 0 AP891005-0128  469 2.34493 LMwDS_short 
51 0 AP891009-0123  470 2.34493 LMwDS_short 
51 0 AP891109-0201  471 2.34493 LMwDS_short 
51 0 AP891208-0263  472 2.34493 LMwDS_short 
51 0 AP890102-0116  473 2.30323 LMwDS_short 
51 0 AP890108-0009  474 2.30323 LMwDS_short 
51 0 AP890109-0100  475 2.30323 LMwDS_short 
51 0 AP890110-0178  476 2.30323 LMwDS_short 
51 0 AP890110-0197  477 2.30323 LMwDS_short 
51 0 AP890111-0166  478 2.30323 LMwDS_short 
51 0 AP890118-0078  479 2.30323 LMwDS_short 
51 0 AP890127-0163  480 2.30323 LMwDS_short 
51 0 AP890130-0234  481 2.30323 LMwDS_short 
51 0 AP890209-0158  482 2.30323 LMwDS_short 
51 0 AP890215-0002  483 2.30323 LMwDS_short 
51 0 AP890224-0128  484 2.30323 LMwDS_short 
51 0 AP890228-0134  485 2.30323 LMwDS_short 
51 0 AP890320-0144  486 2.30323 LMwDS_short 
51 0 AP890322-0212  487 2.30323 LMwDS_short 
51 0 AP890327-0138  488 2.30323 LMwDS_short 
51 0 AP890403-0048  489 2.30323 LMwDS_short 
51 0 AP890404-0155  490 2.30323 LMwDS_short 
51 0 AP890407-0231  491 2.30323 LMwDS_short 
51 0 AP890416-0036  492 2.30323 LMwDS_short 
51 0 AP890503-0307  493 2.30323 LMwDS_short 
51 0 AP890510-0266  494 2.30323 LMwDS_short 
51 0 AP890515-0141  495 2.30323 LMwDS_short 
51 0 AP890614-0129  496 2.30323 LMwDS_short 
51 0 AP890614-0132  497 2.30323 LMwDS_short 
51 0 AP890623-0158  498 2.30323 LMwDS_short 
51 0 AP890628-0040  499 2.30323 LMwDS_short 
