51 0 AP890908-0222    1 10.20738 LMwJMS_short 
51 0 AP890108-0032   78 5.04984 LMwJMS_short 
51 0 AP890310-0316   79 5.04984 LMwJMS_short 
51 0 AP890729-0071   80 5.04984 LMwJMS_short 
51 0 AP890418-0312   81 5.04390 LMwJMS_short 
51 0 AP891101-0286   82 5.04390 LMwJMS_short 
51 0 AP890105-0233   83 5.00334 LMwJMS_short 
51 0 AP890110-0304   84 5.00334 LMwJMS_short 
51 0 AP890413-0262   85 5.00334 LMwJMS_short 
51 0 AP890418-0290   86 5.00334 LMwJMS_short 
51 0 AP890703-0072   87 5.00334 LMwJMS_short 
51 0 AP890703-0134   88 5.00334 LMwJMS_short 
51 0 AP890823-0099   89 5.00334 LMwJMS_short 
51 0 AP890516-0165   90 4.93286 LMwJMS_short 
51 0 AP890523-0235   91 4.93286 LMwJMS_short 
51 0 AP891221-0216   92 4.93286 LMwJMS_short 
51 0 AP890410-0121   93 4.91722 LMwJMS_short 
51 0 AP891011-0163   94 4.91722 LMwJMS_short 
51 0 AP890428-0090   95 4.88926 LMwJMS_short 
51 0 AP890707-0209   96 4.88926 LMwJMS_short 
51 0 AP890128-0159   97 4.88640 LMwJMS_short 
51 0 AP890206-0237   98 4.88640 LMwJMS_short 
51 0 AP890207-0277   99 4.88640 LMwJMS_short 
51 0 AP890208-0268  100 4.88640 LMwJMS_short 
51 0 AP890209-0229  101 4.88640 LMwJMS_short 
51 0 AP890223-0276  102 4.88640 LMwJMS_short 
51 0 AP890224-0066  103 4.88640 LMwJMS_short 
51 0 AP890306-0244  104 4.88640 LMwJMS_short 
51 0 AP890323-0197  105 4.88640 LMwJMS_short 
51 0 AP890406-0263  106 4.88640 LMwJMS_short 
51 0 AP890428-0002  107 4.88640 LMwJMS_short 
51 0 AP890504-0256  108 4.88640 LMwJMS_short 
51 0 AP890516-0077  109 4.88640 LMwJMS_short 
51 0 AP890609-0270  110 4.88640 LMwJMS_short 
51 0 AP890613-0247  111 4.88640 LMwJMS_short 
51 0 AP890614-0287  112 4.88640 LMwJMS_short 
51 0 AP890707-0114  113 4.88640 LMwJMS_short 
51 0 AP890714-0212  114 4.88640 LMwJMS_short 
51 0 AP890723-0061  115 4.88640 LMwJMS_short 
51 0 AP890724-0045  116 4.88640 LMwJMS_short 
51 0 AP890906-0311  117 4.88640 LMwJMS_short 
51 0 AP891209-0045  118 4.88640 LMwJMS_short 
51 0 AP890816-0187  119 4.80477 LMwJMS_short 
51 0 AP890503-0044  120 4.76429 LMwJMS_short 
51 0 AP890607-0014  121 4.76429 LMwJMS_short 
51 0 AP891130-0010  122 4.76429 LMwJMS_short 
51 0 AP891208-0192  123 4.76429 LMwJMS_short 
51 0 AP890523-0040  124 4.68801 LMwJMS_short 
51 0 AP891020-0203  125 4.68801 LMwJMS_short 
51 0 AP890108-0068  126 4.66800 LMwJMS_short 
51 0 AP890314-0278  127 4.66800 LMwJMS_short 
51 0 AP890407-0285  128 4.66800 LMwJMS_short 
51 0 AP890515-0080  129 4.66800 LMwJMS_short 
51 0 AP891018-0174  130 4.66800 LMwJMS_short 
51 0 AP891103-0204  131 4.66800 LMwJMS_short 
51 0 AP891207-0121  132 4.66800 LMwJMS_short 
51 0 AP890121-0095  133 4.64757 LMwJMS_short 
51 0 AP890315-0137  134 4.64757 LMwJMS_short 
51 0 AP890322-0207  135 4.64757 LMwJMS_short 
51 0 AP890502-0093  136 4.64757 LMwJMS_short 
51 0 AP890813-0052  137 4.64757 LMwJMS_short 
51 0 AP890929-0032  138 4.64757 LMwJMS_short 
51 0 AP890929-0165  139 4.64757 LMwJMS_short 
51 0 AP891017-0271  140 4.64757 LMwJMS_short 
51 0 AP891220-0125  141 4.64757 LMwJMS_short 
51 0 AP890217-0158  142 4.64165 LMwJMS_short 
51 0 AP890419-0227  143 4.64165 LMwJMS_short 
51 0 AP890517-0089  144 4.64165 LMwJMS_short 
51 0 AP890929-0096  145 4.64165 LMwJMS_short 
51 0 AP891006-0222  146 4.64165 LMwJMS_short 
51 0 AP890131-0301  147 4.62165 LMwJMS_short 
51 0 AP890227-0288  148 4.62165 LMwJMS_short 
51 0 AP890228-0177  149 4.62165 LMwJMS_short 
51 0 AP890301-0076  150 4.62165 LMwJMS_short 
51 0 AP890306-0264  151 4.62165 LMwJMS_short 
51 0 AP890406-0027  152 4.62165 LMwJMS_short 
51 0 AP890426-0268  153 4.62165 LMwJMS_short 
51 0 AP890509-0269  154 4.62165 LMwJMS_short 
51 0 AP890511-0035  155 4.62165 LMwJMS_short 
51 0 AP890608-0032  156 4.62165 LMwJMS_short 
51 0 AP890619-0204  157 4.62165 LMwJMS_short 
51 0 AP890719-0300  158 4.62165 LMwJMS_short 
51 0 AP890816-0246  159 4.62165 LMwJMS_short 
51 0 AP891002-0334  160 4.62165 LMwJMS_short 
51 0 AP891017-0091  161 4.62165 LMwJMS_short 
51 0 AP891103-0231  162 4.62165 LMwJMS_short 
51 0 AP891128-0199  163 4.62165 LMwJMS_short 
51 0 AP890412-0226  164 4.58367 LMwJMS_short 
51 0 AP890801-0228  165 4.58367 LMwJMS_short 
51 0 AP890908-0034  166 4.58367 LMwJMS_short 
51 0 AP891007-0018  167 4.58367 LMwJMS_short 
51 0 AP891019-0216  168 4.58367 LMwJMS_short 
51 0 AP890411-0010  169 4.55579 LMwJMS_short 
51 0 AP890612-0011  170 4.55579 LMwJMS_short 
51 0 AP890628-0005  171 4.55579 LMwJMS_short 
51 0 AP891002-0199  172 4.55579 LMwJMS_short 
51 0 AP891003-0103  173 4.46717 LMwJMS_short 
51 0 AP890918-0116  174 4.40339 LMwJMS_short 
51 0 AP891024-0145  175 4.40339 LMwJMS_short 
51 0 AP891128-0218  176 4.40339 LMwJMS_short 
51 0 AP891129-0025  177 4.40339 LMwJMS_short 
51 0 AP891218-0055  178 4.40339 LMwJMS_short 
51 0 AP890119-0027  179 4.38344 LMwJMS_short 
51 0 AP890317-0131  180 4.38344 LMwJMS_short 
51 0 AP890419-0189  181 4.38344 LMwJMS_short 
51 0 AP890914-0069  182 4.38344 LMwJMS_short 
51 0 AP891030-0178  183 4.38344 LMwJMS_short 
51 0 AP891219-0192  184 4.38344 LMwJMS_short 
51 0 AP890108-0094  185 4.36308 LMwJMS_short 
51 0 AP890109-0144  186 4.36308 LMwJMS_short 
51 0 AP890110-0016  187 4.36308 LMwJMS_short 
51 0 AP890115-0012  188 4.36308 LMwJMS_short 
51 0 AP890210-0202  189 4.36308 LMwJMS_short 
51 0 AP890330-0021  190 4.36308 LMwJMS_short 
51 0 AP890427-0221  191 4.36308 LMwJMS_short 
51 0 AP890506-0006  192 4.36308 LMwJMS_short 
51 0 AP890522-0084  193 4.36308 LMwJMS_short 
51 0 AP890605-0084  194 4.36308 LMwJMS_short 
51 0 AP890606-0044  195 4.36308 LMwJMS_short 
51 0 AP890907-0159  196 4.36308 LMwJMS_short 
51 0 AP891002-0261  197 4.36308 LMwJMS_short 
51 0 AP891003-0060  198 4.36308 LMwJMS_short 
51 0 AP891006-0104  199 4.36308 LMwJMS_short 
51 0 AP891018-0037  200 4.36308 LMwJMS_short 
51 0 AP891030-0194  201 4.36308 LMwJMS_short 
51 0 AP891110-0023  202 4.36308 LMwJMS_short 
51 0 AP890103-0117  203 4.31689 LMwJMS_short 
51 0 AP890112-0126  204 4.31689 LMwJMS_short 
51 0 AP890112-0243  205 4.31689 LMwJMS_short 
51 0 AP890117-0252  206 4.31689 LMwJMS_short 
51 0 AP890207-0240  207 4.31689 LMwJMS_short 
51 0 AP890207-0251  208 4.31689 LMwJMS_short 
51 0 AP890208-0146  209 4.31689 LMwJMS_short 
51 0 AP890211-0169  210 4.31689 LMwJMS_short 
51 0 AP890306-0253  211 4.31689 LMwJMS_short 
51 0 AP890411-0191  212 4.31689 LMwJMS_short 
51 0 AP890427-0258  213 4.31689 LMwJMS_short 
51 0 AP890518-0101  214 4.31689 LMwJMS_short 
51 0 AP890519-0140  215 4.31689 LMwJMS_short 
51 0 AP890607-0086  216 4.31689 LMwJMS_short 
51 0 AP890623-0269  217 4.31689 LMwJMS_short 
51 0 AP890720-0240  218 4.31689 LMwJMS_short 
51 0 AP890803-0196  219 4.31689 LMwJMS_short 
51 0 AP890804-0141  220 4.31689 LMwJMS_short 
51 0 AP890816-0029  221 4.31689 LMwJMS_short 
51 0 AP890816-0147  222 4.31689 LMwJMS_short 
51 0 AP891002-0137  223 4.31689 LMwJMS_short 
51 0 AP891002-0339  224 4.31689 LMwJMS_short 
51 0 AP891013-0165  225 4.31689 LMwJMS_short 
51 0 AP891101-0042  226 4.31689 LMwJMS_short 
51 0 AP891116-0258  227 4.31689 LMwJMS_short 
51 0 AP891121-0110  228 4.31689 LMwJMS_short 
51 0 AP891129-0271  229 4.31689 LMwJMS_short 
51 0 AP891219-0213  230 4.31689 LMwJMS_short 
51 0 AP891222-0290  231 4.31689 LMwJMS_short 
51 0 AP890103-0010  232 4.24689 LMwJMS_short 
51 0 AP890104-0279  233 4.24689 LMwJMS_short 
51 0 AP890110-0165  234 4.24689 LMwJMS_short 
51 0 AP890122-0100  235 4.24689 LMwJMS_short 
51 0 AP890204-0175  236 4.24689 LMwJMS_short 
51 0 AP890223-0164  237 4.24689 LMwJMS_short 
51 0 AP890223-0281  238 4.24689 LMwJMS_short 
51 0 AP890227-0132  239 4.24689 LMwJMS_short 
51 0 AP890301-0211  240 4.24689 LMwJMS_short 
51 0 AP890302-0175  241 4.24689 LMwJMS_short 
51 0 AP890313-0233  242 4.24689 LMwJMS_short 
51 0 AP890405-0282  243 4.24689 LMwJMS_short 
51 0 AP890408-0097  244 4.24689 LMwJMS_short 
51 0 AP890504-0182  245 4.24689 LMwJMS_short 
51 0 AP890607-0108  246 4.24689 LMwJMS_short 
51 0 AP890627-0148  247 4.24689 LMwJMS_short 
51 0 AP890812-0133  248 4.24689 LMwJMS_short 
51 0 AP891026-0232  249 4.24689 LMwJMS_short 
51 0 AP891117-0018  250 4.24689 LMwJMS_short 
51 0 AP891215-0125  251 4.24689 LMwJMS_short 
51 0 AP891219-0108  252 4.24689 LMwJMS_short 
51 0 AP890811-0028  253 4.22352 LMwJMS_short 
51 0 AP891027-0233  254 4.22352 LMwJMS_short 
51 0 AP890130-0021  255 4.07964 LMwJMS_short 
51 0 AP890329-0113  256 4.07964 LMwJMS_short 
51 0 AP890404-0239  257 4.07964 LMwJMS_short 
51 0 AP890428-0054  258 4.07964 LMwJMS_short 
51 0 AP890428-0191  259 4.07964 LMwJMS_short 
51 0 AP890608-0149  260 4.07964 LMwJMS_short 
51 0 AP890614-0249  261 4.07964 LMwJMS_short 
51 0 AP890619-0259  262 4.07964 LMwJMS_short 
51 0 AP890624-0007  263 4.07964 LMwJMS_short 
51 0 AP890627-0100  264 4.07964 LMwJMS_short 
51 0 AP890717-0014  265 4.07964 LMwJMS_short 
51 0 AP890907-0273  266 4.07964 LMwJMS_short 
51 0 AP890914-0041  267 4.07964 LMwJMS_short 
51 0 AP890920-0049  268 4.07964 LMwJMS_short 
51 0 AP890928-0135  269 4.07964 LMwJMS_short 
51 0 AP890929-0181  270 4.07964 LMwJMS_short 
51 0 AP891013-0069  271 4.07964 LMwJMS_short 
51 0 AP891129-0178  272 4.07964 LMwJMS_short 
51 0 AP891217-0040  273 4.07964 LMwJMS_short 
51 0 AP890112-0007  274 4.00403 LMwJMS_short 
51 0 AP890117-0087  275 4.00403 LMwJMS_short 
51 0 AP890131-0178  276 4.00403 LMwJMS_short 
51 0 AP890207-0133  277 4.00403 LMwJMS_short 
51 0 AP890210-0048  278 4.00403 LMwJMS_short 
51 0 AP890301-0257  279 4.00403 LMwJMS_short 
51 0 AP890307-0140  280 4.00403 LMwJMS_short 
51 0 AP890329-0255  281 4.00403 LMwJMS_short 
51 0 AP890413-0014  282 4.00403 LMwJMS_short 
51 0 AP890427-0275  283 4.00403 LMwJMS_short 
51 0 AP890503-0254  284 4.00403 LMwJMS_short 
51 0 AP890601-0260  285 4.00403 LMwJMS_short 
51 0 AP890626-0112  286 4.00403 LMwJMS_short 
51 0 AP890704-0174  287 4.00403 LMwJMS_short 
51 0 AP890724-0005  288 4.00403 LMwJMS_short 
51 0 AP890724-0067  289 4.00403 LMwJMS_short 
51 0 AP890726-0019  290 4.00403 LMwJMS_short 
51 0 AP890802-0237  291 4.00403 LMwJMS_short 
51 0 AP890901-0071  292 4.00403 LMwJMS_short 
51 0 AP890906-0116  293 4.00403 LMwJMS_short 
51 0 AP891002-0120  294 4.00403 LMwJMS_short 
51 0 AP891005-0128  295 4.00403 LMwJMS_short 
51 0 AP891009-0123  296 4.00403 LMwJMS_short 
51 0 AP891109-0201  297 4.00403 LMwJMS_short 
51 0 AP891111-0084  298 4.00403 LMwJMS_short 
51 0 AP891208-0263  299 4.00403 LMwJMS_short 
51 0 AP890110-0048  300 3.98420 LMwJMS_short 
51 0 AP890125-0184  301 3.98420 LMwJMS_short 
51 0 AP890125-0185  302 3.98420 LMwJMS_short 
51 0 AP890131-0123  303 3.98420 LMwJMS_short 
51 0 AP890217-0022  304 3.98420 LMwJMS_short 
51 0 AP890425-0029  305 3.98420 LMwJMS_short 
51 0 AP890502-0207  306 3.98420 LMwJMS_short 
51 0 AP890509-0155  307 3.98420 LMwJMS_short 
51 0 AP890512-0039  308 3.98420 LMwJMS_short 
51 0 AP890518-0116  309 3.98420 LMwJMS_short 
51 0 AP890525-0163  310 3.98420 LMwJMS_short 
51 0 AP890619-0026  311 3.98420 LMwJMS_short 
51 0 AP890624-0023  312 3.98420 LMwJMS_short 
51 0 AP890726-0269  313 3.98420 LMwJMS_short 
51 0 AP890727-0192  314 3.98420 LMwJMS_short 
51 0 AP890802-0097  315 3.98420 LMwJMS_short 
51 0 AP890805-0010  316 3.98420 LMwJMS_short 
51 0 AP890927-0152  317 3.98420 LMwJMS_short 
51 0 AP891004-0135  318 3.98420 LMwJMS_short 
51 0 AP891024-0197  319 3.98420 LMwJMS_short 
51 0 AP891122-0035  320 3.98420 LMwJMS_short 
51 0 AP891122-0148  321 3.98420 LMwJMS_short 
51 0 AP891219-0166  322 3.98420 LMwJMS_short 
51 0 AP890107-0160  323 3.95810 LMwJMS_short 
51 0 AP890111-0078  324 3.95810 LMwJMS_short 
51 0 AP890111-0217  325 3.95810 LMwJMS_short 
51 0 AP890201-0003  326 3.95810 LMwJMS_short 
51 0 AP890305-0051  327 3.95810 LMwJMS_short 
51 0 AP890322-0331  328 3.95810 LMwJMS_short 
51 0 AP890323-0256  329 3.95810 LMwJMS_short 
51 0 AP890329-0213  330 3.95810 LMwJMS_short 
51 0 AP890407-0321  331 3.95810 LMwJMS_short 
51 0 AP890413-0243  332 3.95810 LMwJMS_short 
51 0 AP890419-0224  333 3.95810 LMwJMS_short 
51 0 AP890425-0251  334 3.95810 LMwJMS_short 
51 0 AP890427-0238  335 3.95810 LMwJMS_short 
51 0 AP890511-0222  336 3.95810 LMwJMS_short 
51 0 AP890519-0268  337 3.95810 LMwJMS_short 
51 0 AP890602-0272  338 3.95810 LMwJMS_short 
51 0 AP890603-0150  339 3.95810 LMwJMS_short 
51 0 AP890617-0120  340 3.95810 LMwJMS_short 
51 0 AP890621-0238  341 3.95810 LMwJMS_short 
51 0 AP890626-0236  342 3.95810 LMwJMS_short 
51 0 AP890719-0295  343 3.95810 LMwJMS_short 
51 0 AP890722-0154  344 3.95810 LMwJMS_short 
51 0 AP890727-0042  345 3.95810 LMwJMS_short 
51 0 AP890810-0244  346 3.95810 LMwJMS_short 
51 0 AP890811-0205  347 3.95810 LMwJMS_short 
51 0 AP890818-0180  348 3.95810 LMwJMS_short 
51 0 AP890823-0072  349 3.95810 LMwJMS_short 
51 0 AP890920-0131  350 3.95810 LMwJMS_short 
51 0 AP891011-0275  351 3.95810 LMwJMS_short 
51 0 AP891117-0207  352 3.95810 LMwJMS_short 
51 0 AP891118-0182  353 3.95810 LMwJMS_short 
51 0 AP891207-0246  354 3.95810 LMwJMS_short 
51 0 AP891208-0227  355 3.95810 LMwJMS_short 
51 0 AP890521-0093  356 3.78543 LMwJMS_short 
51 0 AP890323-0016  357 3.72241 LMwJMS_short 
51 0 AP890428-0224  358 3.72241 LMwJMS_short 
51 0 AP890526-0152  359 3.72241 LMwJMS_short 
51 0 AP890623-0029  360 3.72241 LMwJMS_short 
51 0 AP890628-0021  361 3.72241 LMwJMS_short 
51 0 AP890808-0010  362 3.72241 LMwJMS_short 
51 0 AP890919-0084  363 3.72241 LMwJMS_short 
51 0 AP890920-0009  364 3.72241 LMwJMS_short 
51 0 AP891004-0231  365 3.72241 LMwJMS_short 
51 0 AP891018-0047  366 3.72241 LMwJMS_short 
51 0 AP891112-0040  367 3.72241 LMwJMS_short 
51 0 AP891129-0157  368 3.72241 LMwJMS_short 
51 0 AP891206-0009  369 3.72241 LMwJMS_short 
51 0 AP891208-0020  370 3.72241 LMwJMS_short 
51 0 AP891221-0118  371 3.72241 LMwJMS_short 
51 0 AP891221-0129  372 3.72241 LMwJMS_short 
51 0 AP890109-0007  373 3.68259 LMwJMS_short 
51 0 AP890109-0098  374 3.68259 LMwJMS_short 
51 0 AP890109-0187  375 3.68259 LMwJMS_short 
51 0 AP890110-0033  376 3.68259 LMwJMS_short 
51 0 AP890114-0004  377 3.68259 LMwJMS_short 
51 0 AP890126-0243  378 3.68259 LMwJMS_short 
51 0 AP890411-0011  379 3.68259 LMwJMS_short 
51 0 AP890420-0016  380 3.68259 LMwJMS_short 
51 0 AP890427-0195  381 3.68259 LMwJMS_short 
51 0 AP890525-0093  382 3.68259 LMwJMS_short 
51 0 AP890526-0012  383 3.68259 LMwJMS_short 
51 0 AP890605-0085  384 3.68259 LMwJMS_short 
51 0 AP890615-0177  385 3.68259 LMwJMS_short 
51 0 AP890622-0003  386 3.68259 LMwJMS_short 
51 0 AP890628-0169  387 3.68259 LMwJMS_short 
51 0 AP890712-0032  388 3.68259 LMwJMS_short 
51 0 AP890715-0053  389 3.68259 LMwJMS_short 
51 0 AP890725-0269  390 3.68259 LMwJMS_short 
51 0 AP890726-0130  391 3.68259 LMwJMS_short 
51 0 AP890807-0163  392 3.68259 LMwJMS_short 
51 0 AP890905-0132  393 3.68259 LMwJMS_short 
51 0 AP890913-0036  394 3.68259 LMwJMS_short 
51 0 AP890921-0158  395 3.68259 LMwJMS_short 
51 0 AP890927-0025  396 3.68259 LMwJMS_short 
51 0 AP890930-0029  397 3.68259 LMwJMS_short 
51 0 AP891010-0009  398 3.68259 LMwJMS_short 
51 0 AP891014-0013  399 3.68259 LMwJMS_short 
51 0 AP891102-0199  400 3.68259 LMwJMS_short 
51 0 AP891110-0213  401 3.68259 LMwJMS_short 
51 0 AP891129-0234  402 3.68259 LMwJMS_short 
51 0 AP891204-0277  403 3.68259 LMwJMS_short 
51 0 AP891207-0179  404 3.68259 LMwJMS_short 
51 0 AP891212-0198  405 3.68259 LMwJMS_short 
51 0 AP890102-0116  406 3.56795 LMwJMS_short 
51 0 AP890108-0009  407 3.56795 LMwJMS_short 
51 0 AP890109-0100  408 3.56795 LMwJMS_short 
51 0 AP890110-0178  409 3.56795 LMwJMS_short 
51 0 AP890110-0197  410 3.56795 LMwJMS_short 
51 0 AP890111-0166  411 3.56795 LMwJMS_short 
51 0 AP890118-0078  412 3.56795 LMwJMS_short 
51 0 AP890127-0163  413 3.56795 LMwJMS_short 
51 0 AP890130-0234  414 3.56795 LMwJMS_short 
51 0 AP890209-0158  415 3.56795 LMwJMS_short 
51 0 AP890215-0002  416 3.56795 LMwJMS_short 
51 0 AP890224-0128  417 3.56795 LMwJMS_short 
51 0 AP890228-0134  418 3.56795 LMwJMS_short 
51 0 AP890314-0027  419 3.56795 LMwJMS_short 
51 0 AP890320-0144  420 3.56795 LMwJMS_short 
51 0 AP890322-0212  421 3.56795 LMwJMS_short 
51 0 AP890327-0138  422 3.56795 LMwJMS_short 
51 0 AP890403-0048  423 3.56795 LMwJMS_short 
51 0 AP890404-0155  424 3.56795 LMwJMS_short 
51 0 AP890407-0231  425 3.56795 LMwJMS_short 
51 0 AP890416-0036  426 3.56795 LMwJMS_short 
51 0 AP890503-0307  427 3.56795 LMwJMS_short 
51 0 AP890510-0266  428 3.56795 LMwJMS_short 
51 0 AP890515-0141  429 3.56795 LMwJMS_short 
51 0 AP890614-0129  430 3.56795 LMwJMS_short 
51 0 AP890614-0132  431 3.56795 LMwJMS_short 
51 0 AP890623-0158  432 3.56795 LMwJMS_short 
51 0 AP890628-0040  433 3.56795 LMwJMS_short 
51 0 AP890628-0214  434 3.56795 LMwJMS_short 
51 0 AP890630-0178  435 3.56795 LMwJMS_short 
51 0 AP890703-0007  436 3.56795 LMwJMS_short 
51 0 AP890711-0050  437 3.56795 LMwJMS_short 
51 0 AP890711-0112  438 3.56795 LMwJMS_short 
51 0 AP890711-0135  439 3.56795 LMwJMS_short 
51 0 AP890719-0241  440 3.56795 LMwJMS_short 
51 0 AP890720-0027  441 3.56795 LMwJMS_short 
51 0 AP890803-0159  442 3.56795 LMwJMS_short 
51 0 AP890804-0075  443 3.56795 LMwJMS_short 
51 0 AP890808-0172  444 3.56795 LMwJMS_short 
51 0 AP890809-0195  445 3.56795 LMwJMS_short 
51 0 AP890811-0144  446 3.56795 LMwJMS_short 
51 0 AP890823-0173  447 3.56795 LMwJMS_short 
51 0 AP890829-0186  448 3.56795 LMwJMS_short 
51 0 AP890901-0221  449 3.56795 LMwJMS_short 
51 0 AP890922-0024  450 3.56795 LMwJMS_short 
51 0 AP890923-0004  451 3.56795 LMwJMS_short 
51 0 AP890927-0158  452 3.56795 LMwJMS_short 
51 0 AP890928-0186  453 3.56795 LMwJMS_short 
51 0 AP890928-0202  454 3.56795 LMwJMS_short 
51 0 AP891003-0186  455 3.56795 LMwJMS_short 
51 0 AP891012-0047  456 3.56795 LMwJMS_short 
51 0 AP891012-0312  457 3.56795 LMwJMS_short 
51 0 AP891013-0068  458 3.56795 LMwJMS_short 
51 0 AP891023-0137  459 3.56795 LMwJMS_short 
51 0 AP891025-0252  460 3.56795 LMwJMS_short 
51 0 AP891101-0033  461 3.56795 LMwJMS_short 
51 0 AP891102-0020  462 3.56795 LMwJMS_short 
51 0 AP891110-0064  463 3.56795 LMwJMS_short 
51 0 AP891111-0009  464 3.56795 LMwJMS_short 
51 0 AP891111-0010  465 3.56795 LMwJMS_short 
51 0 AP891113-0165  466 3.56795 LMwJMS_short 
51 0 AP891115-0136  467 3.56795 LMwJMS_short 
51 0 AP891122-0216  468 3.56795 LMwJMS_short 
51 0 AP891206-0199  469 3.56795 LMwJMS_short 
51 0 AP891207-0233  470 3.56795 LMwJMS_short 
51 0 AP891211-0178  471 3.56795 LMwJMS_short 
51 0 AP891211-0314  472 3.56795 LMwJMS_short 
51 0 AP891220-0110  473 3.56795 LMwJMS_short 
51 0 AP890310-0235  474 3.52250 LMwJMS_short 
51 0 AP890311-0051  475 3.52250 LMwJMS_short 
51 0 AP890731-0095  476 3.52250 LMwJMS_short 
51 0 AP890818-0153  477 3.52250 LMwJMS_short 
51 0 AP890108-0096  478 3.32896 LMwJMS_short 
51 0 AP890111-0138  479 3.32896 LMwJMS_short 
51 0 AP890127-0165  480 3.32896 LMwJMS_short 
51 0 AP890131-0097  481 3.32896 LMwJMS_short 
